m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,
n_40-x,n_40,d10_40-x,d10_40,d32_40-x,d32_40,d43_40-x,d43_40,w00_40-x,w00_40,w33_40-x,w33_40,f_40-x,f_40,n_60-x,n_60,d10_60-x,d10_60,d32_60-x,d32_60,d43_60-x,d43_60,w00_60-x,w00_60,w33_60-x,w33_60,f_60-x,f_60
-2.8000000E-001, 6.4659698E+005,-2.8000000E-001, 1.0085637E-004,-2.8000000E-001, 1.0160244E-004,-2.8000000E-001, 1.0209480E-004,-2.8000000E-001,-8.1014404E-001,-2.8000000E-001,-1.1153795E+000,-2.8000000E-001,-3.4588227E-004,-2.8000000E-001, 7.2093699E+005,-2.8000000E-001, 1.1934152E-004,-2.8000000E-001, 1.2160138E-004,-2.8000000E-001, 1.2301081E-004,-2.8000000E-001,-5.6666871E-001,-2.8000000E-001,-7.4941785E-001,-2.8000000E-001,-5.6275674E-004
-2.7050847E-001, 1.0968843E+006,-2.7050847E-001, 9.9828309E-005,-2.7050847E-001, 1.0048909E-004,-2.7050847E-001, 1.0095318E-004,-2.7050847E-001,-6.6930818E-001,-2.7050847E-001,-9.3132155E-001,-2.7050847E-001,-5.6204222E-004,-2.7050847E-001, 8.8656297E+005,-2.7050847E-001, 1.2024303E-004,-2.7050847E-001, 1.2257095E-004,-2.7050847E-001, 1.2405107E-004,-2.7050847E-001,-6.9068367E-001,-2.7050847E-001,-9.7964097E-001,-2.7050847E-001,-7.8683486E-004
-2.6101695E-001, 8.1968152E+005,-2.6101695E-001, 1.0035944E-004,-2.6101695E-001, 1.0131815E-004,-2.6101695E-001, 1.0202856E-004,-2.6101695E-001,-8.4856724E-001,-2.6101695E-001,-1.2381477E+000,-2.6101695E-001,-5.8750806E-004,-2.6101695E-001, 1.3285714E+006,-2.6101695E-001, 1.1788218E-004,-2.6101695E-001, 1.2006027E-004,-2.6101695E-001, 1.2140964E-004,-2.6101695E-001,-6.4940864E-001,-2.6101695E-001,-9.1920924E-001,-2.6101695E-001,-1.1532407E-003
-2.5152542E-001, 2.2519123E+006,-2.5152542E-001, 9.5727648E-005,-2.5152542E-001, 9.6378952E-005,-2.5152542E-001, 9.6890782E-005,-2.5152542E-001,-5.3196740E-001,-2.5152542E-001,-7.6013839E-001,-2.5152542E-001,-7.2564750E-004,-2.5152542E-001, 2.3367231E+006,-2.5152542E-001, 1.1270503E-004,-2.5152542E-001, 1.1475612E-004,-2.5152542E-001, 1.1600608E-004,-2.5152542E-001,-5.2220633E-001,-2.5152542E-001,-7.1651720E-001,-2.5152542E-001,-1.2031925E-003
-2.4203390E-001, 2.3887664E+006,-2.4203390E-001, 9.3362323E-005,-2.4203390E-001, 9.4082621E-005,-2.4203390E-001, 9.4698326E-005,-2.4203390E-001,-4.8785512E-001,-2.4203390E-001,-7.9419142E-001,-2.4203390E-001,-6.7606321E-004,-2.4203390E-001, 3.6651967E+006,-2.4203390E-001, 1.1236085E-004,-2.4203390E-001, 1.1398510E-004,-2.4203390E-001, 1.1493487E-004,-2.4203390E-001,-4.9133525E-001,-2.4203390E-001,-6.0756735E-001,-2.4203390E-001,-1.6126310E-003
-2.3254237E-001, 1.3569829E+006,-2.3254237E-001, 9.8717276E-005,-2.3254237E-001, 1.0087030E-004,-2.3254237E-001, 1.0245181E-004,-2.3254237E-001,-1.2733392E+000,-2.3254237E-001,-2.0474969E+000,-2.3254237E-001,-1.0821007E-003,-2.3254237E-001, 4.3672738E+006,-2.3254237E-001, 1.1204112E-004,-2.3254237E-001, 1.1373185E-004,-2.3254237E-001, 1.1467253E-004,-2.3254237E-001,-4.9333685E-001,-2.3254237E-001,-6.0469861E-001,-2.3254237E-001,-1.5947425E-003
-2.2305085E-001, 2.8676608E+006,-2.2305085E-001, 9.6240462E-005,-2.2305085E-001, 9.7375559E-005,-2.2305085E-001, 9.8211457E-005,-2.2305085E-001,-1.0265720E+000,-2.2305085E-001,-1.4562639E+000,-2.2305085E-001,-2.2614833E-003,-2.2305085E-001, 6.6924800E+006,-2.2305085E-001, 1.1034617E-004,-2.2305085E-001, 1.1204182E-004,-2.2305085E-001, 1.1297736E-004,-2.2305085E-001,-4.7942934E-001,-2.2305085E-001,-5.8350114E-001,-2.2305085E-001,-2.9277425E-003
-2.1355932E-001, 2.2462566E+006,-2.1355932E-001, 9.7356547E-005,-2.1355932E-001, 9.8770072E-005,-2.1355932E-001, 9.9794986E-005,-2.1355932E-001,-1.4043471E+000,-2.1355932E-001,-1.9363929E+000,-2.1355932E-001,-2.1633244E-003,-2.1355932E-001, 6.6054103E+006,-2.1355932E-001, 1.1157465E-004,-2.1355932E-001, 1.1334215E-004,-2.1355932E-001, 1.1428450E-004,-2.1355932E-001,-5.1172672E-001,-2.1355932E-001,-6.3065744E-001,-2.1355932E-001,-2.8348747E-003
-2.0406780E-001, 3.5297250E+006,-2.0406780E-001, 9.2505506E-005,-2.0406780E-001, 9.4154297E-005,-2.0406780E-001, 9.5347741E-005,-2.0406780E-001,-1.0557582E+000,-2.0406780E-001,-1.6374120E+000,-2.0406780E-001,-2.2959312E-003,-2.0406780E-001, 9.2636458E+006,-2.0406780E-001, 1.0419129E-004,-2.0406780E-001, 1.0741325E-004,-2.0406780E-001, 1.0911177E-004,-2.0406780E-001,-4.7764668E-001,-2.0406780E-001,-6.0968561E-001,-2.0406780E-001,-3.5435115E-003
-1.9457627E-001, 3.5783290E+006,-1.9457627E-001, 9.1908129E-005,-1.9457627E-001, 9.3733084E-005,-1.9457627E-001, 9.5111184E-005,-1.9457627E-001,-1.1798948E+000,-1.9457627E-001,-1.8652779E+000,-1.9457627E-001,-2.3245722E-003,-1.9457627E-001, 1.2855395E+007,-1.9457627E-001, 1.0153191E-004,-1.9457627E-001, 1.0432199E-004,-1.9457627E-001, 1.0588996E-004,-1.9457627E-001,-4.6856163E-001,-1.9457627E-001,-5.9918287E-001,-1.9457627E-001,-4.6571207E-003
