m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,
n_40-x,n_40,d10_40-x,d10_40,d32_40-x,d32_40,d43_40-x,d43_40,w00_40-x,w00_40,w33_40-x,w33_40,f_40-x,f_40,n_60-x,n_60,d10_60-x,d10_60,d32_60-x,d32_60,d43_60-x,d43_60,w00_60-x,w00_60,w33_60-x,w33_60,f_60-x,f_60
-2.8000000E-001, 2.6143580E+005,-2.8000000E-001, 1.0675608E-004,-2.8000000E-001, 1.0855838E-004,-2.8000000E-001, 1.0966532E-004,-2.8000000E-001,-1.3478698E+000,-2.8000000E-001,-1.8961302E+000,-2.8000000E-001,-3.0770273E-004,-2.8000000E-001, 1.5160665E+006,-2.8000000E-001, 1.2515979E-004,-2.8000000E-001, 1.2634031E-004,-2.8000000E-001, 1.2700654E-004,-2.8000000E-001,-5.1345695E-001,-2.8000000E-001,-6.0905031E-001,-2.8000000E-001,-1.2140373E-003
-2.7050847E-001, 5.0044820E+005,-2.7050847E-001, 1.0389065E-004,-2.7050847E-001, 1.0515637E-004,-2.7050847E-001, 1.0597538E-004,-2.7050847E-001,-9.5898167E-001,-2.7050847E-001,-1.3502417E+000,-2.7050847E-001,-5.4053221E-004,-2.7050847E-001, 1.9618669E+006,-2.7050847E-001, 1.2281126E-004,-2.7050847E-001, 1.2414728E-004,-2.7050847E-001, 1.2490207E-004,-2.7050847E-001,-5.1749878E-001,-2.7050847E-001,-6.2212953E-001,-2.7050847E-001,-1.2199886E-003
-2.6101695E-001, 4.3617140E+005,-2.6101695E-001, 1.0505522E-004,-2.6101695E-001, 1.0667193E-004,-2.6101695E-001, 1.0771349E-004,-2.6101695E-001,-1.2953661E+000,-2.6101695E-001,-1.8359790E+000,-2.6101695E-001,-5.3867490E-004,-2.6101695E-001, 2.4628972E+006,-2.6101695E-001, 1.2053057E-004,-2.6101695E-001, 1.2175124E-004,-2.6101695E-001, 1.2244420E-004,-2.6101695E-001,-5.0805275E-001,-2.6101695E-001,-6.0310193E-001,-2.6101695E-001,-1.4428555E-003
-2.5152542E-001, 6.1425558E+005,-2.5152542E-001, 1.0177211E-004,-2.5152542E-001, 1.0354533E-004,-2.5152542E-001, 1.0479525E-004,-2.5152542E-001,-9.2288851E-001,-2.5152542E-001,-1.4692239E+000,-2.5152542E-001,-5.9278815E-004,-2.5152542E-001, 2.6426005E+006,-2.5152542E-001, 1.1828054E-004,-2.5152542E-001, 1.1972959E-004,-2.5152542E-001, 1.2053970E-004,-2.5152542E-001,-5.1277058E-001,-2.5152542E-001,-6.2019657E-001,-2.5152542E-001,-1.3815744E-003
-2.4203390E-001, 8.2822380E+005,-2.4203390E-001, 1.0246422E-004,-2.4203390E-001, 1.0447065E-004,-2.4203390E-001, 1.0586919E-004,-2.4203390E-001,-1.2593478E+000,-2.4203390E-001,-1.9200791E+000,-2.4203390E-001,-9.6756460E-004,-2.4203390E-001, 1.7736837E+006,-2.4203390E-001, 1.1867937E-004,-2.4203390E-001, 1.2095224E-004,-2.4203390E-001, 1.2221797E-004,-2.4203390E-001,-6.1827618E-001,-2.4203390E-001,-8.4077708E-001,-2.4203390E-001,-1.3480441E-003
-2.3254237E-001, 6.1842788E+005,-2.3254237E-001, 1.0362281E-004,-2.3254237E-001, 1.0577425E-004,-2.3254237E-001, 1.0721398E-004,-2.3254237E-001,-1.6234280E+000,-2.3254237E-001,-2.2408408E+000,-2.3254237E-001,-7.6224393E-004,-2.3254237E-001, 2.5443059E+006,-2.3254237E-001, 1.1518513E-004,-2.3254237E-001, 1.1774323E-004,-2.3254237E-001, 1.1915688E-004,-2.3254237E-001,-5.8175485E-001,-2.3254237E-001,-7.7754162E-001,-2.3254237E-001,-1.5275675E-003
-2.2305085E-001, 1.8205160E+006,-2.2305085E-001, 9.9597026E-005,-2.2305085E-001, 1.0105520E-004,-2.2305085E-001, 1.0211675E-004,-2.2305085E-001,-1.1049286E+000,-2.2305085E-001,-1.6143105E+000,-2.2305085E-001,-1.3641588E-003,-2.2305085E-001, 3.3528698E+006,-2.2305085E-001, 1.1280175E-004,-2.2305085E-001, 1.1511120E-004,-2.2305085E-001, 1.1643120E-004,-2.2305085E-001,-5.3098983E-001,-2.2305085E-001,-6.9572783E-001,-2.2305085E-001,-1.6820797E-003
-2.1355932E-001, 2.7509394E+006,-2.1355932E-001, 9.8447179E-005,-2.1355932E-001, 9.9909725E-005,-2.1355932E-001, 1.0095087E-004,-2.1355932E-001,-1.1502841E+000,-2.1355932E-001,-1.6940376E+000,-2.1355932E-001,-1.9245742E-003,-2.1355932E-001, 4.4907551E+006,-2.1355932E-001, 1.1181543E-004,-2.1355932E-001, 1.1409439E-004,-2.1355932E-001, 1.1535634E-004,-2.1355932E-001,-5.2052868E-001,-2.1355932E-001,-6.7118105E-001,-2.1355932E-001,-2.4075999E-003
-2.0406780E-001, 3.2044095E+006,-2.0406780E-001, 9.6318259E-005,-2.0406780E-001, 9.8317225E-005,-2.0406780E-001, 9.9669583E-005,-2.0406780E-001,-1.1378610E+000,-2.0406780E-001,-1.7507998E+000,-2.0406780E-001,-1.9455990E-003,-2.0406780E-001, 4.8059698E+006,-2.0406780E-001, 1.1111585E-004,-2.0406780E-001, 1.1358582E-004,-2.0406780E-001, 1.1498139E-004,-2.0406780E-001,-5.9050936E-001,-2.0406780E-001,-7.8189442E-001,-2.0406780E-001,-2.7176206E-003
