m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,
n_40-x,n_40,d10_40-x,d10_40,d32_40-x,d32_40,d43_40-x,d43_40,w00_40-x,w00_40,w33_40-x,w33_40,f_40-x,f_40,n_60-x,n_60,d10_60-x,d10_60,d32_60-x,d32_60,d43_60-x,d43_60,w00_60-x,w00_60,w33_60-x,w33_60,f_60-x,f_60
-2.8000000E-001, 1.3185556E+005,-2.8000000E-001, 1.1335506E-004,-2.8000000E-001, 1.1470850E-004,-2.8000000E-001, 1.1564416E-004,-2.8000000E-001,-1.7566228E+000,-2.8000000E-001,-2.2616205E+000,-2.8000000E-001,-2.4631684E-004,-2.8000000E-001, 6.6606030E+005,-2.8000000E-001, 1.2428131E-004,-2.8000000E-001, 1.2676212E-004,-2.8000000E-001, 1.2802886E-004,-2.8000000E-001,-7.0413958E-001,-2.8000000E-001,-8.9365729E-001,-2.8000000E-001,-6.7282050E-004
-2.7050847E-001, 3.4443653E+005,-2.7050847E-001, 1.0467006E-004,-2.7050847E-001, 1.0650963E-004,-2.7050847E-001, 1.0793066E-004,-2.7050847E-001,-9.4979170E-001,-2.7050847E-001,-1.6004708E+000,-2.7050847E-001,-3.2124878E-004,-2.7050847E-001, 1.4068861E+006,-2.7050847E-001, 1.2224234E-004,-2.7050847E-001, 1.2384213E-004,-2.7050847E-001, 1.2467239E-004,-2.7050847E-001,-5.4789940E-001,-2.7050847E-001,-6.5406297E-001,-2.7050847E-001,-8.4146872E-004
-2.6101695E-001, 6.3890177E+005,-2.6101695E-001, 1.0161748E-004,-2.6101695E-001, 1.0264794E-004,-2.6101695E-001, 1.0352309E-004,-2.6101695E-001,-6.1603877E-001,-2.6101695E-001,-1.1115860E+000,-2.6101695E-001,-3.8054619E-004,-2.6101695E-001, 1.6727876E+006,-2.6101695E-001, 1.2219398E-004,-2.6101695E-001, 1.2347832E-004,-2.6101695E-001, 1.2415197E-004,-2.6101695E-001,-5.3978479E-001,-2.6101695E-001,-6.3132609E-001,-2.6101695E-001,-1.1098858E-003
-2.5152542E-001, 1.4058452E+006,-2.5152542E-001, 9.8251492E-005,-2.5152542E-001, 9.9327356E-005,-2.5152542E-001, 1.0007443E-004,-2.5152542E-001,-5.7375879E-001,-2.5152542E-001,-8.7213910E-001,-2.5152542E-001,-5.7368608E-004,-2.5152542E-001, 1.3397521E+006,-2.5152542E-001, 1.2268861E-004,-2.5152542E-001, 1.2409190E-004,-2.5152542E-001, 1.2485518E-004,-2.5152542E-001,-5.6410447E-001,-2.5152542E-001,-6.9974969E-001,-2.5152542E-001,-9.7100594E-004
-2.4203390E-001, 1.9936209E+006,-2.4203390E-001, 9.6814910E-005,-2.4203390E-001, 9.7868305E-005,-2.4203390E-001, 9.8634145E-005,-2.4203390E-001,-4.7605528E-001,-2.4203390E-001,-7.0484948E-001,-2.4203390E-001,-6.7469786E-004,-2.4203390E-001, 1.6698925E+006,-2.4203390E-001, 1.2029520E-004,-2.4203390E-001, 1.2166961E-004,-2.4203390E-001, 1.2247567E-004,-2.4203390E-001,-5.4047408E-001,-2.4203390E-001,-6.9923875E-001,-2.4203390E-001,-1.1457988E-003
-2.3254237E-001, 1.4670085E+006,-2.3254237E-001, 9.8278508E-005,-2.3254237E-001, 9.9903907E-005,-2.3254237E-001, 1.0111674E-004,-2.3254237E-001,-6.1439119E-001,-2.3254237E-001,-1.0182196E+000,-2.3254237E-001,-8.5929547E-004,-2.3254237E-001, 3.0044335E+006,-2.3254237E-001, 1.1664901E-004,-2.3254237E-001, 1.1806886E-004,-2.3254237E-001, 1.1892235E-004,-2.3254237E-001,-5.2273202E-001,-2.3254237E-001,-6.8588362E-001,-2.3254237E-001,-1.8805108E-003
-2.2305085E-001, 4.1499989E+006,-2.2305085E-001, 9.3648634E-005,-2.2305085E-001, 9.4741264E-005,-2.2305085E-001, 9.5547563E-005,-2.2305085E-001,-4.7946864E-001,-2.2305085E-001,-7.7165821E-001,-2.2305085E-001,-1.3291140E-003,-2.2305085E-001, 3.8147483E+006,-2.2305085E-001, 1.1586563E-004,-2.2305085E-001, 1.1749160E-004,-2.2305085E-001, 1.1838825E-004,-2.2305085E-001,-5.4784612E-001,-2.2305085E-001,-6.9608610E-001,-2.2305085E-001,-2.3398209E-003
-2.1355932E-001, 6.1051450E+006,-2.1355932E-001, 9.2753167E-005,-2.1355932E-001, 9.3816078E-005,-2.1355932E-001, 9.4597977E-005,-2.1355932E-001,-4.5765595E-001,-2.1355932E-001,-7.0253611E-001,-2.1355932E-001,-2.2347192E-003,-2.1355932E-001, 4.7072189E+006,-2.1355932E-001, 1.1458820E-004,-2.1355932E-001, 1.1611352E-004,-2.1355932E-001, 1.1695510E-004,-2.1355932E-001,-5.4415779E-001,-2.1355932E-001,-6.7253252E-001,-2.1355932E-001,-2.5266221E-003
-2.0406780E-001, 7.2164986E+006,-2.0406780E-001, 9.2388398E-005,-2.0406780E-001, 9.3491084E-005,-2.0406780E-001, 9.4332008E-005,-2.0406780E-001,-5.3122438E-001,-2.0406780E-001,-8.3509866E-001,-2.0406780E-001,-2.4265977E-003,-2.0406780E-001, 6.8201908E+006,-2.0406780E-001, 1.1147594E-004,-2.0406780E-001, 1.1328681E-004,-2.0406780E-001, 1.1428597E-004,-2.0406780E-001,-5.4572279E-001,-2.0406780E-001,-6.8598372E-001,-2.0406780E-001,-3.6665238E-003
-1.9457627E-001, 6.8595475E+006,-1.9457627E-001, 9.2799183E-005,-1.9457627E-001, 9.4207429E-005,-1.9457627E-001, 9.5260118E-005,-1.9457627E-001,-7.9512128E-001,-1.9457627E-001,-1.2962517E+000,-1.9457627E-001,-3.5421483E-003,-1.9457627E-001, 8.2239871E+006,-1.9457627E-001, 1.0715190E-004,-1.9457627E-001, 1.0971338E-004,-1.9457627E-001, 1.1112409E-004,-1.9457627E-001,-5.3187853E-001,-1.9457627E-001,-6.9115280E-001,-1.9457627E-001,-4.1248800E-003
-1.8508475E-001, 4.9269382E+006,-1.8508475E-001, 9.4807027E-005,-1.8508475E-001, 9.6530151E-005,-1.8508475E-001, 9.7761569E-005,-1.8508475E-001,-1.2628326E+000,-1.8508475E-001,-1.8884060E+000,-1.8508475E-001,-4.4202061E-003,-1.8508475E-001, 8.7837172E+006,-1.8508475E-001, 1.0503658E-004,-1.8508475E-001, 1.0785742E-004,-1.8508475E-001, 1.0935590E-004,-1.8508475E-001,-5.1975159E-001,-1.8508475E-001,-6.7726954E-001,-1.8508475E-001,-3.6651534E-003
-1.7559322E-001, 8.0918447E+006,-1.7559322E-001, 9.2443372E-005,-1.7559322E-001, 9.4150613E-005,-1.7559322E-001, 9.5304775E-005,-1.7559322E-001,-1.2376370E+000,-1.7559322E-001,-1.8445840E+000,-1.7559322E-001,-5.9283147E-003,-1.7559322E-001, 1.8130482E+007,-1.7559322E-001, 1.0110987E-004,-1.7559322E-001, 1.0377716E-004,-1.7559322E-001, 1.0522388E-004,-1.7559322E-001,-5.0716402E-001,-1.7559322E-001,-6.3915103E-001,-1.7559322E-001,-7.1270647E-003
-1.6610169E-001, 1.1261548E+007,-1.6610169E-001, 8.9678513E-005,-1.6610169E-001, 9.1218607E-005,-1.6610169E-001, 9.2345183E-005,-1.6610169E-001,-9.4358998E-001,-1.6610169E-001,-1.5152782E+000,-1.6610169E-001,-6.4197678E-003,-1.6610169E-001, 2.4135039E+007,-1.6610169E-001, 1.0038322E-004,-1.6610169E-001, 1.0263222E-004,-1.6610169E-001, 1.0385775E-004,-1.6610169E-001,-5.2697376E-001,-1.6610169E-001,-6.5824366E-001,-1.6610169E-001,-8.7245353E-003
-1.5661017E-001, 2.2318568E+007,-1.5661017E-001, 8.5942164E-005,-1.5661017E-001, 8.7212945E-005,-1.5661017E-001, 8.8154718E-005,-1.5661017E-001,-7.2347765E-001,-1.5661017E-001,-1.1924127E+000,-1.5661017E-001,-8.8288411E-003,-1.5661017E-001, 2.6311435E+007,-1.5661017E-001, 1.0002619E-004,-1.5661017E-001, 1.0204610E-004,-1.5661017E-001, 1.0316522E-004,-1.5661017E-001,-5.6840409E-001,-1.5661017E-001,-6.9778815E-001,-1.5661017E-001,-1.0138697E-002
-1.4711864E-001, 2.4752127E+007,-1.4711864E-001, 8.4251974E-005,-1.4711864E-001, 8.5724854E-005,-1.4711864E-001, 8.6824417E-005,-1.4711864E-001,-7.5920811E-001,-1.4711864E-001,-1.2318415E+000,-1.4711864E-001,-1.0115516E-002,-1.4711864E-001, 2.9881892E+007,-1.4711864E-001, 9.9025919E-005,-1.4711864E-001, 1.0090964E-004,-1.4711864E-001, 1.0200017E-004,-1.4711864E-001,-6.3360886E-001,-1.4711864E-001,-7.7896832E-001,-1.4711864E-001,-1.1896147E-002
-1.3762712E-001, 3.1386796E+007,-1.3762712E-001, 8.2499415E-005,-1.3762712E-001, 8.4284082E-005,-1.3762712E-001, 8.5579854E-005,-1.3762712E-001,-8.6120063E-001,-1.3762712E-001,-1.4039666E+000,-1.3762712E-001,-1.4285599E-002,-1.3762712E-001, 3.8025558E+007,-1.3762712E-001, 9.5063518E-005,-1.3762712E-001, 9.7333309E-005,-1.3762712E-001, 9.8630672E-005,-1.3762712E-001,-6.5532082E-001,-1.3762712E-001,-8.1800719E-001,-1.3762712E-001,-1.4673020E-002
-1.2813559E-001, 4.3762392E+007,-1.2813559E-001, 8.0206453E-005,-1.2813559E-001, 8.2134304E-005,-1.2813559E-001, 8.3568874E-005,-1.2813559E-001,-9.1130881E-001,-1.2813559E-001,-1.5211526E+000,-1.2813559E-001,-1.9555254E-002,-1.2813559E-001, 4.4549965E+007,-1.2813559E-001, 9.1996050E-005,-1.2813559E-001, 9.4822386E-005,-1.2813559E-001, 9.6375120E-005,-1.2813559E-001,-7.1351605E-001,-1.2813559E-001,-8.9672122E-001,-1.2813559E-001,-1.7929824E-002
-1.1864407E-001, 5.8476346E+007,-1.1864407E-001, 7.8195556E-005,-1.1864407E-001, 8.0001971E-005,-1.1864407E-001, 8.1328186E-005,-1.1864407E-001,-9.1310622E-001,-1.1864407E-001,-1.4722128E+000,-1.1864407E-001,-2.5013799E-002,-1.1864407E-001, 6.7619285E+007,-1.1864407E-001, 8.3048383E-005,-1.1864407E-001, 8.8931617E-005,-1.1864407E-001, 9.1515221E-005,-1.1864407E-001,-8.2652505E-001,-1.1864407E-001,-1.0246997E+000,-1.1864407E-001,-2.2977324E-002
-1.0915254E-001, 7.8503228E+007,-1.0915254E-001, 7.5083064E-005,-1.0915254E-001, 7.7450959E-005,-1.0915254E-001, 7.9066740E-005,-1.0915254E-001,-1.0438474E+000,-1.0915254E-001,-1.6683624E+000,-1.0915254E-001,-3.3128928E-002,-1.0915254E-001, 1.0955023E+008,-1.0915254E-001, 7.4660666E-005,-1.0915254E-001, 8.3388239E-005,-1.0915254E-001, 8.6576289E-005,-1.0915254E-001,-9.7170213E-001,-1.0915254E-001,-1.1186381E+000,-1.0915254E-001,-3.3043043E-002
-9.9661017E-002, 1.1590044E+008,-9.9661017E-002, 7.0378241E-005,-9.9661017E-002, 7.3291059E-005,-9.9661017E-002, 7.5243893E-005,-9.9661017E-002,-1.1862005E+000,-9.9661017E-002,-1.8906696E+000,-9.9661017E-002,-4.3590712E-002,-9.9661017E-002, 1.6513741E+008,-9.9661017E-002, 6.7567133E-005,-9.9661017E-002, 7.7954157E-005,-9.9661017E-002, 8.1874263E-005,-9.9661017E-002,-1.1985617E+000,-9.9661017E-002,-1.2686206E+000,-9.9661017E-002,-4.2747001E-002
-9.0169492E-002, 1.7181572E+008,-9.0169492E-002, 6.5605936E-005,-9.0169492E-002, 6.9402529E-005,-9.0169492E-002, 7.1724058E-005,-9.0169492E-002,-1.3699834E+000,-9.0169492E-002,-2.1558502E+000,-9.0169492E-002,-5.8015027E-002,-9.0169492E-002, 2.2862695E+008,-9.0169492E-002, 6.1047538E-005,-9.0169492E-002, 7.2484716E-005,-9.0169492E-002, 7.7248253E-005,-9.0169492E-002,-1.4766874E+000,-9.0169492E-002,-1.5177869E+000,-9.0169492E-002,-5.5242634E-002
-8.0677966E-002, 2.5902421E+008,-8.0677966E-002, 6.0898504E-005,-8.0677966E-002, 6.5191776E-005,-8.0677966E-002, 6.7832818E-005,-8.0677966E-002,-1.6409642E+000,-8.0677966E-002,-2.3858506E+000,-8.0677966E-002,-8.2530067E-002,-8.0677966E-002, 3.1631037E+008,-8.0677966E-002, 5.4800030E-005,-8.0677966E-002, 6.7664209E-005,-8.0677966E-002, 7.3149802E-005,-8.0677966E-002,-1.8770242E+000,-8.0677966E-002,-1.8759404E+000,-8.0677966E-002,-7.0271245E-002
-7.1186441E-002, 3.5193931E+008,-7.1186441E-002, 5.5939077E-005,-7.1186441E-002, 6.1157946E-005,-7.1186441E-002, 6.4229468E-005,-7.1186441E-002,-2.0119896E+000,-7.1186441E-002,-2.7484376E+000,-7.1186441E-002,-1.0181618E-001,-7.1186441E-002, 4.0034690E+008,-7.1186441E-002, 4.9375849E-005,-7.1186441E-002, 6.3419437E-005,-7.1186441E-002, 6.9603575E-005,-7.1186441E-002,-2.3010101E+000,-7.1186441E-002,-2.2848100E+000,-7.1186441E-002,-8.2017836E-002
-6.1694915E-002, 4.7540749E+008,-6.1694915E-002, 5.0032721E-005,-6.1694915E-002, 5.6669135E-005,-6.1694915E-002, 6.0635070E-005,-6.1694915E-002,-2.6005923E+000,-6.1694915E-002,-3.3663012E+000,-6.1694915E-002,-1.2151794E-001,-6.1694915E-002, 5.5624561E+008,-6.1694915E-002, 4.3668644E-005,-6.1694915E-002, 5.8956153E-005,-6.1694915E-002, 6.5875437E-005,-6.1694915E-002,-2.8944212E+000,-6.1694915E-002,-2.8287319E+000,-6.1694915E-002,-1.0490070E-001
-5.2203390E-002, 6.9134448E+008,-5.2203390E-002, 4.5120302E-005,-5.2203390E-002, 5.2556356E-005,-5.2203390E-002, 5.6997983E-005,-5.2203390E-002,-3.2616267E+000,-5.2203390E-002,-4.0224070E+000,-5.2203390E-002,-1.7009359E-001,-5.2203390E-002, 8.2627061E+008,-5.2203390E-002, 3.8999060E-005,-5.2203390E-002, 5.4402847E-005,-5.2203390E-002, 6.1548751E-005,-5.2203390E-002,-3.4816542E+000,-5.2203390E-002,-3.4002539E+000,-5.2203390E-002,-1.4313355E-001
-4.2711864E-002, 1.0490397E+009,-4.2711864E-002, 3.8362664E-005,-4.2711864E-002, 4.7858278E-005,-4.2711864E-002, 5.3241857E-005,-4.2711864E-002,-4.1196136E+000,-4.2711864E-002,-4.8471452E+000,-4.2711864E-002,-2.0903838E-001,-4.2711864E-002, 1.1597958E+009,-4.2711864E-002, 3.4968941E-005,-4.2711864E-002, 4.9853887E-005,-4.2711864E-002, 5.7178981E-005,-4.2711864E-002,-4.0923637E+000,-4.2711864E-002,-4.0594253E+000,-4.2711864E-002,-1.7942618E-001
