s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0018211E+000, 8.8991571E-002, 8.8991571E-002, 1.0000000E+000
 2.0094094E+000, 4.9218033E-002, 4.9218033E-002, 1.0000000E+000
 3.0043090E+000, 3.3861325E-002, 3.3861325E-002, 1.0000000E+000
 4.0128140E+000, 2.8203136E-002, 2.8203136E-002, 1.0000000E+000
 5.0019930E+000, 3.0151227E-002, 3.0151227E-002, 1.0000000E+000
 6.0072609E+000, 2.6875324E-002, 2.6875324E-002, 1.0000000E+000
 7.0063720E+000, 2.5688114E-002, 2.5688114E-002, 1.0000000E+000
 8.0018994E+000, 2.5253426E-002, 2.5253426E-002, 1.0000000E+000
 9.0024798E+000, 4.5080713E-002, 4.5080713E-002, 1.0000000E+000
 1.0001221E+001, 6.4012634E-002, 6.4012634E-002, 1.0000000E+000
 1.1003495E+001, 7.0981187E-002, 7.0981187E-002, 1.0000000E+000
 1.2003679E+001, 9.8952083E-002, 9.8952083E-002, 1.0000000E+000
 1.3006053E+001, 1.1547303E-001, 1.1547303E-001, 1.0000000E+000
 1.4001417E+001, 1.2149057E-001, 1.2149057E-001, 1.0000000E+000
 1.5005352E+001, 1.2371803E-001, 1.2371803E-001, 1.0000000E+000
 1.6000671E+001, 1.3225705E-001, 1.3225705E-001, 1.0000000E+000
 1.7002267E+001, 1.3485142E-001, 1.3485142E-001, 1.0000000E+000
 1.8001102E+001, 1.4822360E-001, 1.4822360E-001, 1.0000000E+000
 1.9004461E+001, 1.6983307E-001, 1.6983307E-001, 1.0000000E+000
 2.0001924E+001, 1.7735113E-001, 1.7735113E-001, 1.0000000E+000
 2.1003543E+001, 1.7860396E-001, 1.7860396E-001, 1.0000000E+000
 2.2005075E+001, 1.8747111E-001, 1.8747111E-001, 1.0000000E+000
 2.3000297E+001, 2.0018588E-001, 2.0018588E-001, 1.0000000E+000
 2.4004034E+001, 2.0713085E-001, 2.0713085E-001, 1.0000000E+000
 2.5001470E+001, 1.8834208E-001, 1.8834208E-001, 1.0000000E+000
 2.6001257E+001, 1.8819766E-001, 1.8819766E-001, 1.0000000E+000
 2.7003010E+001, 1.9928691E-001, 1.9928691E-001, 1.0000000E+000
 2.8004454E+001, 2.4717965E-001, 2.4717965E-001, 1.0000000E+000
 2.9002660E+001, 2.7127639E-001, 2.7127639E-001, 1.0000000E+000
 3.0002871E+001, 2.9595694E-001, 2.9595694E-001, 1.0000000E+000
 3.1005028E+001, 3.9999875E-001, 3.9999875E-001, 1.0000000E+000
