s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0092635E+000, 6.3355177E-002, 6.3355177E-002, 1.0000000E+000
 2.0113886E+000, 3.8960931E-002, 3.8960931E-002, 1.0000000E+000
 3.0101478E+000, 3.0102604E-002, 3.0102604E-002, 1.0000000E+000
 4.0089069E+000, 2.8652627E-002, 2.8652627E-002, 1.0000000E+000
 5.0029540E+000, 2.6345026E-002, 2.6345026E-002, 1.0000000E+000
 6.0032297E+000, 2.6367043E-002, 2.6367043E-002, 1.0000000E+000
 7.0042373E+000, 5.7177567E-002, 5.7177567E-002, 1.0000000E+000
 8.0047817E+000, 8.3485437E-002, 8.3485437E-002, 1.0000000E+000
 9.0057329E+000, 1.0979277E-001, 1.0979277E-001, 1.0000000E+000
 1.0002131E+001, 1.1940397E-001, 1.1940397E-001, 1.0000000E+000
 1.1004530E+001, 1.2295332E-001, 1.2295332E-001, 1.0000000E+000
 1.2005449E+001, 1.3025088E-001, 1.3025088E-001, 1.0000000E+000
 1.3004306E+001, 1.5819318E-001, 1.5819318E-001, 1.0000000E+000
 1.4000823E+001, 1.6881545E-001, 1.6881545E-001, 1.0000000E+000
 1.5004398E+001, 1.7159976E-001, 1.7159976E-001, 1.0000000E+000
 1.6003916E+001, 1.7375218E-001, 1.7375218E-001, 1.0000000E+000
 1.7005042E+001, 1.9192152E-001, 1.9192152E-001, 1.0000000E+000
 1.8003782E+001, 1.6538518E-001, 1.6538518E-001, 1.0000000E+000
 1.9001502E+001, 1.5395024E-001, 1.5395024E-001, 1.0000000E+000
 2.0002558E+001, 1.8865747E-001, 1.8865747E-001, 1.0000000E+000
 2.1000164E+001, 3.0435961E-001, 3.0435961E-001, 1.0000000E+000
 2.2001458E+001, 2.8751306E-001, 2.8751306E-001, 1.0000000E+000
 2.3003999E+001, 2.1876752E-001, 2.1876752E-001, 1.0000000E+000
 2.4004322E+001, 4.2883243E-001, 4.2883243E-001, 1.0000000E+000
 2.5001183E+001, 6.9729415E-001, 6.9729415E-001, 1.0000000E+000
 2.6001996E+001, 7.0934935E-001, 7.0934935E-001, 1.0000000E+000
 2.7000226E+001, 7.2393978E-001, 7.2393978E-001, 1.0000000E+000
 2.8002987E+001, 6.3474397E-001, 6.3474397E-001, 1.0000000E+000
 2.9002508E+001, 7.3397448E-001, 7.3397448E-001, 1.0000000E+000
 3.0003976E+001, 6.8623601E-001, 6.8623601E-001, 1.0000000E+000
 3.1003439E+001, 5.4461661E-001, 5.4461661E-001, 1.0000000E+000
