s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0009981E+000, 1.6482652E-001, 1.6482652E-001, 1.0000000E+000
 2.0012573E+000, 7.6159080E-002, 7.6159080E-002, 1.0000000E+000
 3.0062067E+000, 4.3643713E-002, 4.3643713E-002, 1.0000000E+000
 4.0084996E+000, 3.1811235E-002, 3.1811235E-002, 1.0000000E+000
 5.0053931E+000, 2.7502385E-002, 2.7502385E-002, 1.0000000E+000
 6.0027560E+000, 2.5919160E-002, 2.5919160E-002, 1.0000000E+000
 7.0005168E+000, 2.5337450E-002, 2.5337450E-002, 1.0000000E+000
 8.0024627E+000, 2.5123346E-002, 2.5123346E-002, 1.0000000E+000
 9.0078439E+000, 2.5044948E-002, 2.5044948E-002, 1.0000000E+000
 1.0003835E+001, 2.5016536E-002, 2.5016536E-002, 1.0000000E+000
 1.1000341E+001, 2.5006081E-002, 2.5006081E-002, 1.0000000E+000
 1.2002935E+001, 2.5002224E-002, 2.5002224E-002, 1.0000000E+000
 1.3000913E+001, 2.5000817E-002, 2.5000817E-002, 1.0000000E+000
 1.4004237E+001, 2.5000299E-002, 2.5000299E-002, 1.0000000E+000
 1.5001545E+001, 2.5000110E-002, 2.5000110E-002, 1.0000000E+000
 1.6005185E+001, 2.5000040E-002, 2.5000040E-002, 1.0000000E+000
 1.7003598E+001, 2.5000015E-002, 2.5000015E-002, 1.0000000E+000
 1.8004510E+001, 2.5000005E-002, 2.5000005E-002, 1.0000000E+000
 1.9002350E+001, 2.5000002E-002, 2.5000002E-002, 1.0000000E+000
 2.0003010E+001, 2.5000001E-002, 2.5000001E-002, 1.0000000E+000
 2.1003264E+001, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 2.2003111E+001, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 2.3002742E+001, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 2.4003979E+001, 3.9018140E-002, 3.9018140E-002, 1.0000000E+000
 2.5002857E+001, 5.7027199E-002, 5.7027199E-002, 1.0000000E+000
 2.6003447E+001, 6.2913226E-002, 6.2913226E-002, 1.0000000E+000
 2.7000451E+001, 5.3407540E-002, 5.3407540E-002, 1.0000000E+000
 2.8001805E+001, 4.5932996E-002, 4.5932996E-002, 1.0000000E+000
 2.9002492E+001, 4.4466839E-002, 4.4466839E-002, 1.0000000E+000
 3.0004988E+001, 4.7530474E-002, 4.7530474E-002, 1.0000000E+000
 3.1000087E+001, 5.3879009E-002, 5.3879009E-002, 1.0000000E+000
