s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0111886E+000, 9.8946292E-002, 9.8946292E-002, 1.0000000E+000
 2.0045890E+000, 7.1630876E-002, 7.1630876E-002, 1.0000000E+000
 3.0124010E+000, 7.3780036E-002, 7.3780036E-002, 1.0000000E+000
 4.0030813E+000, 5.5872832E-002, 5.5872832E-002, 1.0000000E+000
 5.0081105E+000, 3.8534189E-002, 3.8534189E-002, 1.0000000E+000
 6.0005554E+000, 2.9991339E-002, 2.9991339E-002, 1.0000000E+000
 7.0009366E+000, 2.6827254E-002, 2.6827254E-002, 1.0000000E+000
 8.0017188E+000, 2.5669280E-002, 2.5669280E-002, 1.0000000E+000
 9.0047932E+000, 2.5582943E-002, 2.5582943E-002, 1.0000000E+000
 1.0004049E+001, 5.6866438E-002, 5.6866438E-002, 1.0000000E+000
 1.1001103E+001, 6.8328671E-002, 6.8328671E-002, 1.0000000E+000
 1.2004222E+001, 7.2560329E-002, 7.2560329E-002, 1.0000000E+000
 1.3004103E+001, 8.2800124E-002, 8.2800124E-002, 1.0000000E+000
 1.4001817E+001, 1.0948778E-001, 1.0948778E-001, 1.0000000E+000
 1.5002876E+001, 1.1931702E-001, 1.1931702E-001, 1.0000000E+000
 1.6000659E+001, 1.2291145E-001, 1.2291145E-001, 1.0000000E+000
 1.7001973E+001, 1.2423514E-001, 1.2423514E-001, 1.0000000E+000
 1.8000078E+001, 1.2471897E-001, 1.2471897E-001, 1.0000000E+000
 1.9004081E+001, 1.4006020E-001, 1.4006020E-001, 1.0000000E+000
 2.0000011E+001, 1.6213200E-001, 1.6213200E-001, 1.0000000E+000
 2.1003119E+001, 1.6287937E-001, 1.6287937E-001, 1.0000000E+000
 2.2003461E+001, 1.5413351E-001, 1.5413351E-001, 1.0000000E+000
 2.3000088E+001, 1.6731947E-001, 1.6731947E-001, 1.0000000E+000
 2.4003243E+001, 1.7219035E-001, 1.7219035E-001, 1.0000000E+000
 2.5003359E+001, 1.7230797E-001, 1.7230797E-001, 1.0000000E+000
 2.6002313E+001, 1.7401107E-001, 1.7401107E-001, 1.0000000E+000
 2.7001451E+001, 1.6768144E-001, 1.6768144E-001, 1.0000000E+000
 2.8004299E+001, 1.5885812E-001, 1.5885812E-001, 1.0000000E+000
 2.9004026E+001, 1.9953197E-001, 1.9953197E-001, 1.0000000E+000
 3.0000660E+001, 2.1333764E-001, 2.1333764E-001, 1.0000000E+000
 3.1000165E+001, 1.7135769E-001, 1.7135769E-001, 1.0000000E+000
