s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0143957E+000, 7.8902289E-002, 7.8902289E-002, 1.0000000E+000
 2.0040294E+000, 5.6294122E-002, 5.6294122E-002, 1.0000000E+000
 3.0119148E+000, 5.3532244E-002, 5.3532244E-002, 1.0000000E+000
 4.0076772E+000, 5.1096903E-002, 5.1096903E-002, 1.0000000E+000
 5.0016691E+000, 5.2627146E-002, 5.2627146E-002, 1.0000000E+000
 6.0056261E+000, 3.5079747E-002, 3.5079747E-002, 1.0000000E+000
 7.0012375E+000, 2.8711228E-002, 2.8711228E-002, 1.0000000E+000
 8.0023463E+000, 4.6121126E-002, 4.6121126E-002, 1.0000000E+000
 9.0048172E+000, 6.4080433E-002, 6.4080433E-002, 1.0000000E+000
 1.0004395E+001, 7.1675502E-002, 7.1675502E-002, 1.0000000E+000
 1.1001970E+001, 1.0539289E-001, 1.0539289E-001, 1.0000000E+000
 1.2005544E+001, 1.1783636E-001, 1.1783636E-001, 1.0000000E+000
 1.3003507E+001, 1.2236760E-001, 1.2236760E-001, 1.0000000E+000
 1.4001295E+001, 1.2403273E-001, 1.2403273E-001, 1.0000000E+000
 1.5006096E+001, 1.4260630E-001, 1.4260630E-001, 1.0000000E+000
 1.6004260E+001, 1.6310041E-001, 1.6310041E-001, 1.0000000E+000
 1.7005346E+001, 1.6509155E-001, 1.6509155E-001, 1.0000000E+000
 1.8000084E+001, 1.6875670E-001, 1.6875670E-001, 1.0000000E+000
 1.9003294E+001, 1.7271796E-001, 1.7271796E-001, 1.0000000E+000
 2.0000787E+001, 1.7416105E-001, 1.7416105E-001, 1.0000000E+000
 2.1003471E+001, 1.7469313E-001, 1.7469313E-001, 1.0000000E+000
 2.2001101E+001, 1.8801450E-001, 1.8801450E-001, 1.0000000E+000
 2.3002192E+001, 1.5552950E-001, 1.5552950E-001, 1.0000000E+000
 2.4003006E+001, 1.4062730E-001, 1.4062730E-001, 1.0000000E+000
 2.5005316E+001, 1.8398288E-001, 1.8398288E-001, 1.0000000E+000
 2.6000935E+001, 2.3680197E-001, 2.3680197E-001, 1.0000000E+000
 2.7004366E+001, 3.2169748E-001, 3.2169748E-001, 1.0000000E+000
 2.8001480E+001, 2.8025308E-001, 2.8025308E-001, 1.0000000E+000
 2.9000524E+001, 2.5042192E-001, 2.5042192E-001, 1.0000000E+000
 3.0003745E+001, 3.4143944E-001, 3.4143944E-001, 1.0000000E+000
 3.1001397E+001, 4.1432981E-001, 4.1432981E-001, 1.0000000E+000
