s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0033991E+000, 1.5997077E-001, 1.5997077E-001, 1.0000000E+000
 2.0026880E+000, 7.4397222E-002, 7.4397222E-002, 1.0000000E+000
 3.0084725E+000, 4.8947443E-002, 4.8947443E-002, 1.0000000E+000
 4.0003590E+000, 3.5384703E-002, 3.5384703E-002, 1.0000000E+000
 5.0019106E+000, 2.8798351E-002, 2.8798351E-002, 1.0000000E+000
 6.0012971E+000, 2.6392240E-002, 2.6392240E-002, 1.0000000E+000
 7.0009836E+000, 2.6348301E-002, 2.6348301E-002, 1.0000000E+000
 8.0042188E+000, 3.5861607E-002, 3.5861607E-002, 1.0000000E+000
 9.0040579E+000, 2.8983939E-002, 2.8983939E-002, 1.0000000E+000
 1.0003087E+001, 2.6463408E-002, 2.6463408E-002, 1.0000000E+000
 1.1003082E+001, 2.5537151E-002, 2.5537151E-002, 1.0000000E+000
 1.2000708E+001, 2.5197571E-002, 2.5197571E-002, 1.0000000E+000
 1.3005665E+001, 2.5072121E-002, 2.5072121E-002, 1.0000000E+000
 1.4002551E+001, 3.9512066E-002, 3.9512066E-002, 1.0000000E+000
 1.5002482E+001, 5.6631173E-002, 5.6631173E-002, 1.0000000E+000
 1.6004654E+001, 6.0080344E-002, 6.0080344E-002, 1.0000000E+000
 1.7004993E+001, 5.5023702E-002, 5.5023702E-002, 1.0000000E+000
 1.8003802E+001, 3.6292627E-002, 3.6292627E-002, 1.0000000E+000
 1.9003078E+001, 5.6009365E-002, 5.6009365E-002, 1.0000000E+000
 2.0002787E+001, 6.8033017E-002, 6.8033017E-002, 1.0000000E+000
 2.1004133E+001, 7.2448056E-002, 7.2448056E-002, 1.0000000E+000
 2.2004361E+001, 7.4064053E-002, 7.4064053E-002, 1.0000000E+000
 2.3000014E+001, 7.4655310E-002, 7.4655310E-002, 1.0000000E+000
 2.4000650E+001, 7.4873642E-002, 7.4873642E-002, 1.0000000E+000
 2.5003498E+001, 7.4953776E-002, 7.4953776E-002, 1.0000000E+000
 2.6002373E+001, 7.4983022E-002, 7.4983022E-002, 1.0000000E+000
 2.7005754E+001, 7.4993794E-002, 7.4993794E-002, 1.0000000E+000
 2.8002838E+001, 8.9373547E-002, 8.9373547E-002, 1.0000000E+000
 2.9001160E+001, 8.4399506E-002, 8.4399506E-002, 1.0000000E+000
 3.0002211E+001, 7.9572980E-002, 7.9572980E-002, 1.0000000E+000
 3.1000484E+001, 1.2075503E-001, 1.2075503E-001, 1.0000000E+000
