s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0067029E+000, 3.8761880E-002, 3.8761880E-002, 1.0000000E+000
 2.0001312E+000, 4.3164009E-002, 4.3164009E-002, 1.0000000E+000
 3.0011647E+000, 6.1955642E-002, 6.1955642E-002, 1.0000000E+000
 4.0015994E+000, 6.9242884E-002, 6.9242884E-002, 1.0000000E+000
 5.0100624E+000, 7.2272459E-002, 7.2272459E-002, 1.0000000E+000
 6.0011168E+000, 7.1782793E-002, 7.1782793E-002, 1.0000000E+000
 7.0059669E+000, 4.6967549E-002, 4.6967549E-002, 1.0000000E+000
 8.0095413E+000, 3.3012963E-002, 3.3012963E-002, 1.0000000E+000
 9.0021175E+000, 2.7956695E-002, 2.7956695E-002, 1.0000000E+000
 1.0006217E+001, 2.6079837E-002, 2.6079837E-002, 1.0000000E+000
 1.1002516E+001, 3.2183597E-002, 3.2183597E-002, 1.0000000E+000
 1.2003391E+001, 5.9317846E-002, 5.9317846E-002, 1.0000000E+000
 1.3005441E+001, 6.9264565E-002, 6.9264565E-002, 1.0000000E+000
 1.4002909E+001, 7.2893027E-002, 7.2893027E-002, 1.0000000E+000
 1.5006823E+001, 9.6625030E-002, 9.6625030E-002, 1.0000000E+000
 1.6003765E+001, 1.1456367E-001, 1.1456367E-001, 1.0000000E+000
 1.7003456E+001, 1.2117306E-001, 1.2117306E-001, 1.0000000E+000
 1.8004630E+001, 1.2359883E-001, 1.2359883E-001, 1.0000000E+000
 1.9004812E+001, 1.2448655E-001, 1.2448655E-001, 1.0000000E+000
 2.0007194E+001, 1.2554155E-001, 1.2554155E-001, 1.0000000E+000
 2.1000574E+001, 1.5675328E-001, 1.5675328E-001, 1.0000000E+000
 2.2001788E+001, 1.6832235E-001, 1.6832235E-001, 1.0000000E+000
 2.3001924E+001, 1.7255357E-001, 1.7255357E-001, 1.0000000E+000
 2.4002587E+001, 1.7410386E-001, 1.7410386E-001, 1.0000000E+000
 2.5001404E+001, 1.7467110E-001, 1.7467110E-001, 1.0000000E+000
 2.6003672E+001, 1.7487971E-001, 1.7487971E-001, 1.0000000E+000
 2.7007616E+001, 1.7495609E-001, 1.7495609E-001, 1.0000000E+000
 2.8003471E+001, 1.7754874E-001, 1.7754874E-001, 1.0000000E+000
 2.9004842E+001, 2.0763243E-001, 2.0763243E-001, 1.0000000E+000
 3.0006793E+001, 2.1864592E-001, 2.1864592E-001, 1.0000000E+000
 3.1004047E+001, 2.2266327E-001, 2.2266327E-001, 1.0000000E+000
