s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0067031E+000, 3.8761877E-002, 3.8761877E-002, 1.0000000E+000
 2.0011909E+000, 5.0418553E-002, 5.0418553E-002, 1.0000000E+000
 3.0085373E+000, 6.6072400E-002, 6.6072400E-002, 1.0000000E+000
 4.0100111E+000, 7.1737439E-002, 7.1737439E-002, 1.0000000E+000
 5.0017801E+000, 7.3427265E-002, 7.3427265E-002, 1.0000000E+000
 6.0095592E+000, 5.7799136E-002, 5.7799136E-002, 1.0000000E+000
 7.0058552E+000, 3.7054939E-002, 3.7054939E-002, 1.0000000E+000
 8.0075864E+000, 2.9406944E-002, 2.9406944E-002, 1.0000000E+000
 9.0006650E+000, 2.6626432E-002, 2.6626432E-002, 1.0000000E+000
 1.0002144E+001, 2.5595659E-002, 2.5595659E-002, 1.0000000E+000
 1.1004064E+001, 4.9585213E-002, 4.9585213E-002, 1.0000000E+000
 1.2002835E+001, 6.5672514E-002, 6.5672514E-002, 1.0000000E+000
 1.3005908E+001, 7.1592848E-002, 7.1592848E-002, 1.0000000E+000
 1.4004897E+001, 8.0770106E-002, 8.0770106E-002, 1.0000000E+000
 1.5003958E+001, 1.0877543E-001, 1.0877543E-001, 1.0000000E+000
 1.6004609E+001, 1.1905704E-001, 1.1905704E-001, 1.0000000E+000
 1.7003927E+001, 1.2282108E-001, 1.2282108E-001, 1.0000000E+000
 1.8002458E+001, 1.2420010E-001, 1.2420010E-001, 1.0000000E+000
 1.9005914E+001, 1.2470783E-001, 1.2470783E-001, 1.0000000E+000
 2.0001650E+001, 1.4889183E-001, 1.4889183E-001, 1.0000000E+000
 2.1006796E+001, 1.6548144E-001, 1.6548144E-001, 1.0000000E+000
 2.2003511E+001, 1.7150058E-001, 1.7150058E-001, 1.0000000E+000
 2.3005151E+001, 1.7371962E-001, 1.7371962E-001, 1.0000000E+000
 2.4006042E+001, 1.7453096E-001, 1.7453096E-001, 1.0000000E+000
 2.5003259E+001, 1.7482753E-001, 1.7482753E-001, 1.0000000E+000
 2.6002177E+001, 1.7493672E-001, 1.7493672E-001, 1.0000000E+000
 2.7003147E+001, 1.7497682E-001, 1.7497682E-001, 1.0000000E+000
 2.8004995E+001, 1.9811755E-001, 1.9811755E-001, 1.0000000E+000
 2.9002430E+001, 2.1511923E-001, 2.1511923E-001, 1.0000000E+000
 3.0006029E+001, 2.2138920E-001, 2.2138920E-001, 1.0000000E+000
 3.1003986E+001, 2.2367327E-001, 2.2367327E-001, 1.0000000E+000
