s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0050335E+000, 8.8110917E-002, 8.8110917E-002, 1.0000000E+000
 2.0019130E+000, 1.0726783E-001, 1.0726783E-001, 1.0000000E+000
 3.0016736E+000, 1.1850880E-001, 1.1850880E-001, 1.0000000E+000
 4.0033053E+000, 1.4758677E-001, 1.4758677E-001, 1.0000000E+000
 5.0040447E+000, 2.1275581E-001, 2.1275581E-001, 1.0000000E+000
 6.0016538E+000, 2.7806422E-001, 2.7806422E-001, 1.0000000E+000
 7.0011303E+000, 2.9820375E-001, 2.9820375E-001, 1.0000000E+000
 8.0022184E+000, 4.1500076E-001, 4.1500076E-001, 1.0000000E+000
 9.0002203E+000, 4.6753719E-001, 4.6753719E-001, 1.0000000E+000
 1.0001000E+001, 5.7518500E-001, 5.7518500E-001, 1.0000000E+000
 1.1000754E+001, 6.1366160E-001, 6.1366160E-001, 1.0000000E+000
 1.2004807E+001, 8.2506556E-001, 8.2506556E-001, 1.0000000E+000
 1.3000556E+001, 1.0719497E+000, 1.0719497E+000, 1.0000000E+000
 1.4005221E+001, 1.1838447E+000, 1.1838447E+000, 1.0000000E+000
 1.5002122E+001, 1.4468669E+000, 1.4468669E+000, 1.0000000E+000
 1.6002765E+001, 1.6563438E+000, 1.6563438E+000, 1.0000000E+000
 1.7000411E+001, 1.8480987E+000, 1.8480987E+000, 1.0000000E+000
 1.8000018E+001, 2.0743659E+000, 2.0743659E+000, 1.0000000E+000
 1.9000569E+001, 2.2293431E+000, 2.2293431E+000, 1.0000000E+000
 2.0002644E+001, 2.3867785E+000, 2.3867785E+000, 1.0000000E+000
 2.1005181E+001, 2.5275685E+000, 2.5275685E+000, 1.0000000E+000
 2.2003100E+001, 2.6662742E+000, 2.6662742E+000, 1.0000000E+000
 2.3003274E+001, 2.7996888E+000, 2.7996888E+000, 1.0000000E+000
 2.4005134E+001, 2.9616375E+000, 2.9616375E+000, 1.0000000E+000
 2.5003503E+001, 3.0813640E+000, 3.0813640E+000, 1.0000000E+000
 2.6004046E+001, 3.2207561E+000, 3.2207561E+000, 1.0000000E+000
 2.7001401E+001, 3.3708562E+000, 3.3708562E+000, 1.0000000E+000
 2.8003031E+001, 3.4942958E+000, 3.4942958E+000, 1.0000000E+000
 2.9003377E+001, 3.6413233E+000, 3.6413233E+000, 1.0000000E+000
 3.0002403E+001, 3.7979742E+000, 3.7979742E+000, 1.0000000E+000
 3.1002316E+001, 3.9399028E+000, 3.9399028E+000, 1.0000000E+000
 3.2001659E+001, 4.0908889E+000, 4.0908889E+000, 1.0000000E+000
 3.3006107E+001, 4.2754044E+000, 4.2754044E+000, 1.0000000E+000
 3.4001951E+001, 4.4456931E+000, 4.4456931E+000, 1.0000000E+000
 3.5001725E+001, 4.5981123E+000, 4.5981123E+000, 1.0000000E+000
 3.6004331E+001, 4.7456115E+000, 4.7456115E+000, 1.0000000E+000
 3.7000513E+001, 4.8918629E+000, 4.8918629E+000, 1.0000000E+000
 3.8003677E+001, 5.0428077E+000, 5.0428077E+000, 1.0000000E+000
 3.9000940E+001, 5.2112643E+000, 5.2112643E+000, 1.0000000E+000
 4.0004350E+001, 5.2864388E+000, 5.2864388E+000, 1.0000000E+000
 4.1001478E+001, 5.5238318E+000, 5.5238318E+000, 1.0000000E+000
 4.2001250E+001, 5.7230428E+000, 5.7230428E+000, 1.0000000E+000
 4.3000651E+001, 5.9391078E+000, 5.9391078E+000, 1.0000000E+000
 4.4002438E+001, 6.1329046E+000, 6.1329046E+000, 1.0000000E+000
 4.5003348E+001, 6.3397886E+000, 6.3397886E+000, 1.0000000E+000
 4.6005289E+001, 6.5309798E+000, 6.5309798E+000, 1.0000000E+000
 4.7001706E+001, 6.6996954E+000, 6.6996954E+000, 1.0000000E+000
 4.8004536E+001, 6.9002403E+000, 6.9002403E+000, 1.0000000E+000
 4.9005751E+001, 7.0434275E+000, 7.0434275E+000, 1.0000000E+000
 5.0001120E+001, 7.2422984E+000, 7.2422984E+000, 1.0000000E+000
 5.1000075E+001, 7.4133496E+000, 7.4133496E+000, 1.0000000E+000
 5.2002257E+001, 7.5699930E+000, 7.5699930E+000, 1.0000000E+000
 5.3000000E+001, 7.7745888E+000, 7.7745888E+000, 1.0000000E+000
