s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0096616E+000, 1.6639689E-001, 1.6639689E-001, 1.0000000E+000
 2.0031099E+000, 7.7105626E-002, 7.7105626E-002, 1.0000000E+000
 3.0006078E+000, 4.4132964E-002, 4.4132964E-002, 1.0000000E+000
 4.0005274E+000, 3.2009198E-002, 3.2009198E-002, 1.0000000E+000
 5.0064311E+000, 2.7552659E-002, 2.7552659E-002, 1.0000000E+000
 6.0021745E+000, 2.5939715E-002, 2.5939715E-002, 1.0000000E+000
 7.0037130E+000, 2.5344077E-002, 2.5344077E-002, 1.0000000E+000
 8.0022632E+000, 2.5126339E-002, 2.5126339E-002, 1.0000000E+000
 9.0036655E+000, 3.0337462E-002, 3.0337462E-002, 1.0000000E+000
 1.0000694E+001, 3.6492729E-002, 3.6492729E-002, 1.0000000E+000
 1.1004739E+001, 2.9452705E-002, 2.9452705E-002, 1.0000000E+000
 1.2004945E+001, 2.6632371E-002, 2.6632371E-002, 1.0000000E+000
 1.3005990E+001, 3.6135904E-002, 3.6135904E-002, 1.0000000E+000
 1.4000555E+001, 4.5972562E-002, 4.5972562E-002, 1.0000000E+000
 1.5002013E+001, 6.0707404E-002, 6.0707404E-002, 1.0000000E+000
 1.6005198E+001, 6.8965395E-002, 6.8965395E-002, 1.0000000E+000
 1.7001603E+001, 7.0564863E-002, 7.0564863E-002, 1.0000000E+000
 1.8002574E+001, 7.1448581E-002, 7.1448581E-002, 1.0000000E+000
 1.9003975E+001, 6.9906018E-002, 6.9906018E-002, 1.0000000E+000
 2.0004825E+001, 8.2847011E-002, 8.2847011E-002, 1.0000000E+000
 2.1000176E+001, 7.6115894E-002, 7.6115894E-002, 1.0000000E+000
 2.2005476E+001, 7.4375437E-002, 7.4375437E-002, 1.0000000E+000
 2.3000463E+001, 7.3489494E-002, 7.3489494E-002, 1.0000000E+000
 2.4000592E+001, 6.9547017E-002, 6.9547017E-002, 1.0000000E+000
 2.5002849E+001, 6.7884395E-002, 6.7884395E-002, 1.0000000E+000
 2.6000537E+001, 6.7060094E-002, 6.7060094E-002, 1.0000000E+000
 2.7004789E+001, 6.8089387E-002, 6.8089387E-002, 1.0000000E+000
 2.8001333E+001, 6.7141725E-002, 6.7141725E-002, 1.0000000E+000
 2.9000153E+001, 7.1787086E-002, 7.1787086E-002, 1.0000000E+000
 3.0006552E+001, 5.6386621E-002, 5.6386621E-002, 1.0000000E+000
 3.1006750E+001, 5.1409387E-002, 5.1409387E-002, 1.0000000E+000
