s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0054065E+000, 8.7568222E-002, 8.7568222E-002, 1.0000000E+000
 2.0018576E+000, 7.9615402E-002, 7.9615402E-002, 1.0000000E+000
 3.0055695E+000, 7.8554393E-002, 7.8554393E-002, 1.0000000E+000
 4.0092382E+000, 1.0805921E-001, 1.0805921E-001, 1.0000000E+000
 5.0087969E+000, 9.6167075E-002, 9.6167075E-002, 1.0000000E+000
 6.0002069E+000, 8.6570251E-002, 8.6570251E-002, 1.0000000E+000
 7.0039806E+000, 7.9226665E-002, 7.9226665E-002, 1.0000000E+000
 8.0006574E+000, 1.0815115E-001, 1.0815115E-001, 1.0000000E+000
 9.0021467E+000, 1.1882995E-001, 1.1882995E-001, 1.0000000E+000
 1.0005832E+001, 1.2274559E-001, 1.2274559E-001, 1.0000000E+000
 1.1005296E+001, 1.2417280E-001, 1.2417280E-001, 1.0000000E+000
 1.2004202E+001, 1.4955867E-001, 1.4955867E-001, 1.0000000E+000
 1.3005812E+001, 1.8185031E-001, 1.8185031E-001, 1.0000000E+000
 1.4000973E+001, 2.0909138E-001, 2.0909138E-001, 1.0000000E+000
 1.5000446E+001, 2.1066835E-001, 2.1066835E-001, 1.0000000E+000
 1.6003289E+001, 2.4390130E-001, 2.4390130E-001, 1.0000000E+000
 1.7005675E+001, 2.4417660E-001, 2.4417660E-001, 1.0000000E+000
 1.8003233E+001, 2.6077444E-001, 2.6077444E-001, 1.0000000E+000
 1.9003139E+001, 2.4992211E-001, 2.4992211E-001, 1.0000000E+000
 2.0000322E+001, 2.9365196E-001, 2.9365196E-001, 1.0000000E+000
 2.1002567E+001, 3.1352645E-001, 3.1352645E-001, 1.0000000E+000
 2.2002510E+001, 2.9490079E-001, 2.9490079E-001, 1.0000000E+000
 2.3003487E+001, 3.4563593E-001, 3.4563593E-001, 1.0000000E+000
 2.4000097E+001, 3.0893717E-001, 3.0893717E-001, 1.0000000E+000
 2.5001822E+001, 3.7826809E-001, 3.7826809E-001, 1.0000000E+000
 2.6000054E+001, 4.0781943E-001, 4.0781943E-001, 1.0000000E+000
 2.7001568E+001, 4.1870523E-001, 4.1870523E-001, 1.0000000E+000
 2.8003251E+001, 3.9648217E-001, 3.9648217E-001, 1.0000000E+000
 2.9003307E+001, 5.1358905E-001, 5.1358905E-001, 1.0000000E+000
 3.0002220E+001, 5.5378514E-001, 5.5378514E-001, 1.0000000E+000
 3.1000298E+001, 1.0421902E+000, 1.0421902E+000, 1.0000000E+000
