s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0139444E+000, 1.5853130E-001, 1.5853130E-001, 1.0000000E+000
 2.0091909E+000, 7.4021878E-002, 7.4021878E-002, 1.0000000E+000
 3.0085465E+000, 4.2960368E-002, 4.2960368E-002, 1.0000000E+000
 4.0037172E+000, 3.1608633E-002, 3.1608633E-002, 1.0000000E+000
 5.0060189E+000, 2.7414155E-002, 2.7414155E-002, 1.0000000E+000
 6.0011888E+000, 3.7306414E-002, 3.7306414E-002, 1.0000000E+000
 7.0044670E+000, 5.7034258E-002, 5.7034258E-002, 1.0000000E+000
 8.0007379E+000, 3.6915451E-002, 3.6915451E-002, 1.0000000E+000
 9.0021189E+000, 2.9367363E-002, 2.9367363E-002, 1.0000000E+000
 1.0000345E+001, 2.6606258E-002, 2.6606258E-002, 1.0000000E+000
 1.1000308E+001, 2.5589777E-002, 2.5589777E-002, 1.0000000E+000
 1.2002140E+001, 2.7669591E-002, 2.7669591E-002, 1.0000000E+000
 1.3001446E+001, 5.7609741E-002, 5.7609741E-002, 1.0000000E+000
 1.4001173E+001, 6.8614105E-002, 6.8614105E-002, 1.0000000E+000
 1.5000030E+001, 7.2652959E-002, 7.2652959E-002, 1.0000000E+000
 1.6002942E+001, 7.4141031E-002, 7.4141031E-002, 1.0000000E+000
 1.7000935E+001, 7.4684096E-002, 7.4684096E-002, 1.0000000E+000
 1.8000439E+001, 7.6598053E-002, 7.6598053E-002, 1.0000000E+000
 1.9002605E+001, 7.7200331E-002, 7.7200331E-002, 1.0000000E+000
 2.0002424E+001, 9.1268213E-002, 9.1268213E-002, 1.0000000E+000
 2.1004085E+001, 1.0793823E-001, 1.0793823E-001, 1.0000000E+000
 2.2002677E+001, 1.0864969E-001, 1.0864969E-001, 1.0000000E+000
 2.3001602E+001, 1.2513628E-001, 1.2513628E-001, 1.0000000E+000
 2.4003356E+001, 1.3837051E-001, 1.3837051E-001, 1.0000000E+000
 2.5001038E+001, 1.6324093E-001, 1.6324093E-001, 1.0000000E+000
 2.6002666E+001, 1.8460749E-001, 1.8460749E-001, 1.0000000E+000
 2.7003822E+001, 2.6889539E-001, 2.6889539E-001, 1.0000000E+000
 2.8000477E+001, 3.2906588E-001, 3.2906588E-001, 1.0000000E+000
 2.9001577E+001, 3.9776743E-001, 3.9776743E-001, 1.0000000E+000
 3.0002130E+001, 4.1545880E-001, 4.1545880E-001, 1.0000000E+000
 3.1000996E+001, 4.3260018E-001, 4.3260018E-001, 1.0000000E+000
