s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0006305E+000, 6.7421103E-002, 6.7421103E-002, 1.0000000E+000
 2.0086212E+000, 7.2248638E-002, 7.2248638E-002, 1.0000000E+000
 3.0043430E+000, 5.9668335E-002, 5.9668335E-002, 1.0000000E+000
 4.0050813E+000, 6.9390178E-002, 6.9390178E-002, 1.0000000E+000
 5.0038529E+000, 5.1741727E-002, 5.1741727E-002, 1.0000000E+000
 6.0048193E+000, 4.8818618E-002, 4.8818618E-002, 1.0000000E+000
 7.0024597E+000, 6.5824231E-002, 6.5824231E-002, 1.0000000E+000
 8.0026312E+000, 1.0142457E-001, 1.0142457E-001, 1.0000000E+000
 9.0033077E+000, 1.2870072E-001, 1.2870072E-001, 1.0000000E+000
 1.0004822E+001, 1.5804759E-001, 1.5804759E-001, 1.0000000E+000
 1.1005235E+001, 1.6878560E-001, 1.6878560E-001, 1.0000000E+000
 1.2003330E+001, 2.0322434E-001, 2.0322434E-001, 1.0000000E+000
 1.3004318E+001, 2.1702182E-001, 2.1702182E-001, 1.0000000E+000
 1.4003965E+001, 2.2468696E-001, 2.2468696E-001, 1.0000000E+000
 1.5003095E+001, 2.5653177E-001, 2.5653177E-001, 1.0000000E+000
 1.6004757E+001, 2.6824001E-001, 2.6824001E-001, 1.0000000E+000
 1.7005473E+001, 2.7252278E-001, 2.7252278E-001, 1.0000000E+000
 1.8001892E+001, 2.6238056E-001, 2.6238056E-001, 1.0000000E+000
 1.9001691E+001, 3.0203064E-001, 3.0203064E-001, 1.0000000E+000
 2.0001125E+001, 2.7064907E-001, 2.7064907E-001, 1.0000000E+000
 2.1003195E+001, 3.0510109E-001, 3.0510109E-001, 1.0000000E+000
 2.2005052E+001, 3.4397847E-001, 3.4397847E-001, 1.0000000E+000
 2.3004413E+001, 3.6361108E-001, 3.6361108E-001, 1.0000000E+000
 2.4003359E+001, 3.7110084E-001, 3.7110084E-001, 1.0000000E+000
 2.5003668E+001, 3.2510080E-001, 3.2510080E-001, 1.0000000E+000
 2.6000445E+001, 3.6796349E-001, 3.6796349E-001, 1.0000000E+000
 2.7004974E+001, 3.8911692E-001, 3.8911692E-001, 1.0000000E+000
 2.8004197E+001, 4.3231419E-001, 4.3231419E-001, 1.0000000E+000
 2.9003234E+001, 4.8047602E-001, 4.8047602E-001, 1.0000000E+000
 3.0004724E+001, 4.3193035E-001, 4.3193035E-001, 1.0000000E+000
 3.1004635E+001, 5.0340048E-001, 5.0340048E-001, 1.0000000E+000
