s,m,,
Time,xT,x,flag val
 7.9005674E+001, 2.4945113E+000, 2.4945113E+000, 1.0000000E+000
 8.0000773E+001, 2.5323859E+000, 2.5323859E+000, 1.0000000E+000
 8.1002110E+001, 2.5717625E+000, 2.5717625E+000, 1.0000000E+000
 8.2004246E+001, 2.6100187E+000, 2.6100187E+000, 1.0000000E+000
 8.3000877E+001, 2.6445655E+000, 2.6445655E+000, 1.0000000E+000
 8.4002502E+001, 2.6757250E+000, 2.6757250E+000, 1.0000000E+000
 8.5001269E+001, 2.7026846E+000, 2.7026846E+000, 1.0000000E+000
 8.6006129E+001, 2.7216984E+000, 2.7216984E+000, 1.0000000E+000
 8.7005389E+001, 2.7518704E+000, 2.7518704E+000, 1.0000000E+000
 8.8005448E+001, 2.7791720E+000, 2.7791720E+000, 1.0000000E+000
 8.9004540E+001, 2.8047066E+000, 2.8047066E+000, 1.0000000E+000
 9.0004979E+001, 2.8270447E+000, 2.8270447E+000, 1.0000000E+000
 9.1006061E+001, 2.8568581E+000, 2.8568581E+000, 1.0000000E+000
 9.2001315E+001, 2.8788238E+000, 2.8788238E+000, 1.0000000E+000
 9.3003324E+001, 2.9080994E+000, 2.9080994E+000, 1.0000000E+000
 9.4004930E+001, 2.9505108E+000, 2.9505108E+000, 1.0000000E+000
 9.5005423E+001, 2.9795174E+000, 2.9795174E+000, 1.0000000E+000
 9.6007179E+001, 3.0082358E+000, 3.0082358E+000, 1.0000000E+000
 9.7004724E+001, 3.0335003E+000, 3.0335003E+000, 1.0000000E+000
 9.8004172E+001, 3.0597721E+000, 3.0597721E+000, 1.0000000E+000
 9.9003026E+001, 3.0942190E+000, 3.0942190E+000, 1.0000000E+000
 1.0000274E+002, 3.1137085E+000, 3.1137085E+000, 1.0000000E+000
 1.0100099E+002, 3.1445904E+000, 3.1445904E+000, 1.0000000E+000
 1.0200039E+002, 3.1664135E+000, 3.1664135E+000, 1.0000000E+000
 1.0300550E+002, 3.1979688E+000, 3.1979688E+000, 1.0000000E+000
 1.0400578E+002, 3.2264718E+000, 3.2264718E+000, 1.0000000E+000
 1.0500375E+002, 3.2604593E+000, 3.2604593E+000, 1.0000000E+000
 1.0600483E+002, 3.2836783E+000, 3.2836783E+000, 1.0000000E+000
 1.0700518E+002, 3.3110631E+000, 3.3110631E+000, 1.0000000E+000
 1.0800082E+002, 3.3416266E+000, 3.3416266E+000, 1.0000000E+000
 1.0900055E+002, 3.3655761E+000, 3.3655761E+000, 1.0000000E+000
 1.1000376E+002, 3.4028104E+000, 3.4028104E+000, 1.0000000E+000
 1.1100361E+002, 3.4411198E+000, 3.4411198E+000, 1.0000000E+000
 1.1200031E+002, 3.4795152E+000, 3.4795152E+000, 1.0000000E+000
 1.1300480E+002, 3.5117146E+000, 3.5117146E+000, 1.0000000E+000
 1.1400423E+002, 3.5534373E+000, 3.5534373E+000, 1.0000000E+000
 1.1500306E+002, 3.5887294E+000, 3.5887294E+000, 1.0000000E+000
 1.1600505E+002, 3.6319165E+000, 3.6319165E+000, 1.0000000E+000
 1.1700478E+002, 3.6654570E+000, 3.6654570E+000, 1.0000000E+000
 1.1800303E+002, 3.7012458E+000, 3.7012458E+000, 1.0000000E+000
 1.1900315E+002, 3.7327543E+000, 3.7327543E+000, 1.0000000E+000
 1.2000289E+002, 3.7737276E+000, 3.7737276E+000, 1.0000000E+000
 1.2100582E+002, 3.8065916E+000, 3.8065916E+000, 1.0000000E+000
 1.2200395E+002, 3.8454549E+000, 3.8454549E+000, 1.0000000E+000
 1.2300531E+002, 3.8819879E+000, 3.8819879E+000, 1.0000000E+000
 1.2400559E+002, 3.9158805E+000, 3.9158805E+000, 1.0000000E+000
 1.2500090E+002, 3.9618790E+000, 3.9618790E+000, 1.0000000E+000
 1.2600299E+002, 4.0125981E+000, 4.0125981E+000, 1.0000000E+000
 1.2700461E+002, 4.0728646E+000, 4.0728646E+000, 1.0000000E+000
