s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0151202E+000, 1.1049610E-001, 1.1049610E-001, 1.0000000E+000
 2.0081834E+000, 6.8067047E-002, 6.8067047E-002, 1.0000000E+000
 3.0094828E+000, 5.6890824E-002, 5.6890824E-002, 1.0000000E+000
 4.0098084E+000, 5.9440542E-002, 5.9440542E-002, 1.0000000E+000
 5.0055918E+000, 4.1579170E-002, 4.1579170E-002, 1.0000000E+000
 6.0030287E+000, 4.5935938E-002, 4.5935938E-002, 1.0000000E+000
 7.0006979E+000, 3.3206783E-002, 3.3206783E-002, 1.0000000E+000
 8.0047603E+000, 4.7405148E-002, 4.7405148E-002, 1.0000000E+000
 9.0048097E+000, 6.4885430E-002, 6.4885430E-002, 1.0000000E+000
 1.0002692E+001, 7.1283865E-002, 7.1283865E-002, 1.0000000E+000
 1.1002265E+001, 8.9822201E-002, 8.9822201E-002, 1.0000000E+000
 1.2001054E+001, 1.1027609E-001, 1.1027609E-001, 1.0000000E+000
 1.3003965E+001, 1.1938279E-001, 1.1938279E-001, 1.0000000E+000
 1.4003504E+001, 1.2249481E-001, 1.2249481E-001, 1.0000000E+000
 1.5004738E+001, 1.2408217E-001, 1.2408217E-001, 1.0000000E+000
 1.6004837E+001, 1.2501341E-001, 1.2501341E-001, 1.0000000E+000
 1.7005328E+001, 1.4424994E-001, 1.4424994E-001, 1.0000000E+000
 1.8002415E+001, 1.6151508E-001, 1.6151508E-001, 1.0000000E+000
 1.9000483E+001, 1.7652245E-001, 1.7652245E-001, 1.0000000E+000
 2.0004408E+001, 1.8549061E-001, 1.8549061E-001, 1.0000000E+000
 2.1000994E+001, 2.0287785E-001, 2.0287785E-001, 1.0000000E+000
 2.2000940E+001, 2.2642605E-001, 2.2642605E-001, 1.0000000E+000
 2.3003209E+001, 2.3540031E-001, 2.3540031E-001, 1.0000000E+000
 2.4001258E+001, 1.8388236E-001, 1.8388236E-001, 1.0000000E+000
 2.5002179E+001, 2.4628783E-001, 2.4628783E-001, 1.0000000E+000
 2.6003554E+001, 3.1208468E-001, 3.1208468E-001, 1.0000000E+000
 2.7002025E+001, 2.9105485E-001, 2.9105485E-001, 1.0000000E+000
 2.8000226E+001, 4.6855954E-001, 4.6855954E-001, 1.0000000E+000
 2.9004016E+001, 6.1193754E-001, 6.1193754E-001, 1.0000000E+000
 3.0000220E+001, 6.9862561E-001, 6.9862561E-001, 1.0000000E+000
 3.1000462E+001, 7.6270177E-001, 7.6270177E-001, 1.0000000E+000
