s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0019057E+000, 4.3300471E-002, 4.3300471E-002, 1.0000000E+000
 2.0072802E+000, 3.1661827E-002, 3.1661827E-002, 1.0000000E+000
 3.0019947E+000, 2.7451071E-002, 2.7451071E-002, 1.0000000E+000
 4.0045284E+000, 2.5893525E-002, 2.5893525E-002, 1.0000000E+000
 5.0041756E+000, 2.5327014E-002, 2.5327014E-002, 1.0000000E+000
 6.0083974E+000, 2.5119178E-002, 2.5119178E-002, 1.0000000E+000
 7.0066545E+000, 2.5043722E-002, 2.5043722E-002, 1.0000000E+000
 8.0020800E+000, 2.5016103E-002, 2.5016103E-002, 1.0000000E+000
 9.0056756E+000, 2.5005884E-002, 2.5005884E-002, 1.0000000E+000
 1.0002617E+001, 4.7775714E-002, 4.7775714E-002, 1.0000000E+000
 1.1005024E+001, 6.5040825E-002, 6.5040825E-002, 1.0000000E+000
 1.2005507E+001, 7.1349964E-002, 7.1349964E-002, 1.0000000E+000
 1.3000229E+001, 7.3655332E-002, 7.3655332E-002, 1.0000000E+000
 1.4006582E+001, 7.4510173E-002, 7.4510173E-002, 1.0000000E+000
 1.5001345E+001, 7.4819453E-002, 7.4819453E-002, 1.0000000E+000
 1.6001289E+001, 1.0436091E-001, 1.0436091E-001, 1.0000000E+000
 1.7003278E+001, 9.9621288E-002, 9.9621288E-002, 1.0000000E+000
 1.8003103E+001, 1.0825173E-001, 1.0825173E-001, 1.0000000E+000
 1.9005544E+001, 1.1886969E-001, 1.1886969E-001, 1.0000000E+000
 2.0004494E+001, 1.2275014E-001, 1.2275014E-001, 1.0000000E+000
 2.1004476E+001, 1.2417531E-001, 1.2417531E-001, 1.0000000E+000
 2.2001701E+001, 1.2469665E-001, 1.2469665E-001, 1.0000000E+000
 2.3005752E+001, 1.2488922E-001, 1.2488922E-001, 1.0000000E+000
 2.4004102E+001, 1.2252517E-001, 1.2252517E-001, 1.0000000E+000
 2.5005003E+001, 1.2409301E-001, 1.2409301E-001, 1.0000000E+000
 2.6000124E+001, 1.2466566E-001, 1.2466566E-001, 1.0000000E+000
 2.7000943E+001, 1.0178261E-001, 1.0178261E-001, 1.0000000E+000
 2.8006704E+001, 8.4764665E-002, 8.4764665E-002, 1.0000000E+000
 2.9000992E+001, 1.2274843E-001, 1.2274843E-001, 1.0000000E+000
 3.0005032E+001, 1.3060611E-001, 1.3060611E-001, 1.0000000E+000
 3.1002918E+001, 1.4991224E-001, 1.4991224E-001, 1.0000000E+000
