s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0021021E+000, 8.3876430E-002, 8.3876430E-002, 1.0000000E+000
 2.0038589E+000, 7.8242432E-002, 7.8242432E-002, 1.0000000E+000
 3.0056157E+000, 6.2180069E-002, 6.2180069E-002, 1.0000000E+000
 4.0073725E+000, 3.8985836E-002, 3.8985836E-002, 1.0000000E+000
 5.0063922E+000, 3.2106891E-002, 3.2106891E-002, 1.0000000E+000
 6.0022106E+000, 5.5245771E-002, 5.5245771E-002, 1.0000000E+000
 7.0072938E+000, 5.6544690E-002, 5.6544690E-002, 1.0000000E+000
 8.0071137E+000, 6.4798331E-002, 6.4798331E-002, 1.0000000E+000
 9.0044539E+000, 5.9689955E-002, 5.9689955E-002, 1.0000000E+000
 1.0007168E+001, 6.8321644E-002, 6.8321644E-002, 1.0000000E+000
 1.1005112E+001, 9.5884100E-002, 9.5884100E-002, 1.0000000E+000
 1.2003715E+001, 9.9619932E-002, 9.9619932E-002, 1.0000000E+000
 1.3000951E+001, 9.5669141E-002, 9.5669141E-002, 1.0000000E+000
 1.4006008E+001, 1.5172814E-001, 1.5172814E-001, 1.0000000E+000
 1.5000398E+001, 1.1635114E-001, 1.1635114E-001, 1.0000000E+000
 1.6001704E+001, 1.3394496E-001, 1.3394496E-001, 1.0000000E+000
 1.7002691E+001, 1.6953163E-001, 1.6953163E-001, 1.0000000E+000
 1.8001068E+001, 1.6525341E-001, 1.6525341E-001, 1.0000000E+000
 1.9003716E+001, 1.7167590E-001, 1.7167590E-001, 1.0000000E+000
 2.0000347E+001, 1.7641602E-001, 1.7641602E-001, 1.0000000E+000
 2.1002095E+001, 1.9599874E-001, 1.9599874E-001, 1.0000000E+000
 2.2004660E+001, 1.9256178E-001, 1.9256178E-001, 1.0000000E+000
 2.3003332E+001, 1.9632726E-001, 1.9632726E-001, 1.0000000E+000
 2.4002505E+001, 1.8709592E-001, 1.8709592E-001, 1.0000000E+000
 2.5002774E+001, 1.7168594E-001, 1.7168594E-001, 1.0000000E+000
 2.6003280E+001, 3.2737732E-001, 3.2737732E-001, 1.0000000E+000
 2.7000742E+001, 4.7981239E-001, 4.7981239E-001, 1.0000000E+000
 2.8003961E+001, 4.9084275E-001, 4.9084275E-001, 1.0000000E+000
 2.9001335E+001, 5.2697548E-001, 5.2697548E-001, 1.0000000E+000
 3.0000888E+001, 5.2472058E-001, 5.2472058E-001, 1.0000000E+000
 3.1003833E+001, 5.8892927E-001, 5.8892927E-001, 1.0000000E+000
