s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0091237E+000, 8.1924936E-002, 8.1924936E-002, 1.0000000E+000
 2.0019650E+000, 7.7551462E-002, 7.7551462E-002, 1.0000000E+000
 3.0008751E+000, 7.5934800E-002, 7.5934800E-002, 1.0000000E+000
 4.0100833E+000, 7.5338963E-002, 7.5338963E-002, 1.0000000E+000
 5.0066092E+000, 8.0200766E-002, 8.0200766E-002, 1.0000000E+000
 6.0024445E+000, 1.0850471E-001, 1.0850471E-001, 1.0000000E+000
 7.0003454E+000, 1.0456901E-001, 1.0456901E-001, 1.0000000E+000
 8.0002451E+000, 1.3461570E-001, 1.3461570E-001, 1.0000000E+000
 9.0025768E+000, 1.7160569E-001, 1.7160569E-001, 1.0000000E+000
 1.0005221E+001, 2.0547562E-001, 2.0547562E-001, 1.0000000E+000
 1.1005272E+001, 2.4210185E-001, 2.4210185E-001, 1.0000000E+000
 1.2003269E+001, 2.6291279E-001, 2.6291279E-001, 1.0000000E+000
 1.3003646E+001, 2.9768319E-001, 2.9768319E-001, 1.0000000E+000
 1.4006104E+001, 3.1500581E-001, 3.1500581E-001, 1.0000000E+000
 1.5003461E+001, 3.4732509E-001, 3.4732509E-001, 1.0000000E+000
 1.6001026E+001, 3.6482584E-001, 3.6482584E-001, 1.0000000E+000
 1.7004916E+001, 3.8754397E-001, 3.8754397E-001, 1.0000000E+000
 1.8000944E+001, 4.1120877E-001, 4.1120877E-001, 1.0000000E+000
 1.9004975E+001, 4.1996046E-001, 4.1996046E-001, 1.0000000E+000
 2.0001206E+001, 4.5135898E-001, 4.5135898E-001, 1.0000000E+000
 2.1000737E+001, 4.6632357E-001, 4.6632357E-001, 1.0000000E+000
 2.2005776E+001, 4.6740823E-001, 4.6740823E-001, 1.0000000E+000
 2.3000332E+001, 5.0375420E-001, 5.0375420E-001, 1.0000000E+000
 2.4002402E+001, 5.1721799E-001, 5.1721799E-001, 1.0000000E+000
 2.5003354E+001, 5.1420145E-001, 5.1420145E-001, 1.0000000E+000
 2.6001804E+001, 5.3402945E-001, 5.3402945E-001, 1.0000000E+000
 2.7004152E+001, 5.5999845E-001, 5.5999845E-001, 1.0000000E+000
 2.8001199E+001, 5.6947879E-001, 5.6947879E-001, 1.0000000E+000
 2.9004275E+001, 5.8991766E-001, 5.8991766E-001, 1.0000000E+000
 3.0003725E+001, 6.1211637E-001, 6.1211637E-001, 1.0000000E+000
 3.1003231E+001, 6.2026854E-001, 6.2026854E-001, 1.0000000E+000
