s,m
Time,"x"
 1.5901508E+002, 9.0696721E-001
 1.6001042E+002, 9.8250000E-001
 1.6100577E+002, 9.7500000E-001
 1.6200111E+002, 5.9666667E-001
 1.6301305E+002, 9.8155738E-001
 1.6400839E+002, 9.9333333E-001
 1.6500374E+002, 6.2416667E-001
 1.6601567E+002, 9.7909836E-001
 1.6701102E+002, 8.5166667E-001
 1.6800636E+002, 9.0583333E-001
 1.6900171E+002, 9.7500000E-001
 1.7001364E+002, 9.2254098E-001
 1.7100899E+002, 1.0108333E+000
 1.7200433E+002, 9.8666667E-001
 1.7301626E+002, 9.8155738E-001
 1.7401161E+002, 9.7500000E-001
 1.7500695E+002, 8.2583333E-001
 1.7600230E+002, 9.8416667E-001
 1.7701423E+002, 6.8073770E-001
 1.7800958E+002, 9.6250000E-001
 1.7900492E+002, 8.1916667E-001
 1.8000027E+002, 4.1583333E-001
 1.8100266E+002, 7.9160590E-001
 1.8201006E+002, 9.7500000E-001
 1.8300121E+002, 7.5614754E-001
 1.8400861E+002, 9.9677419E-001
 1.8501600E+002, 7.8951613E-001
 1.8600715E+002, 7.6106557E-001
 1.8701455E+002, 9.6612903E-001
 1.8800570E+002, 9.7500000E-001
 1.8901309E+002, 9.7500000E-001
 1.9000424E+002, 9.8975410E-001
 1.9101164E+002, 1.0112903E+000
 1.9200279E+002, 8.9057377E-001
 1.9301019E+002, 1.0008065E+000
 1.9400133E+002, 8.6270492E-001
 1.9500354E+002, 6.0750694E-001
 1.9600038E+002, 9.9193548E-001
 1.9700043E+002, 7.1085209E-001
 1.9801044E+002, 9.8756433E-001
 1.9901011E+002, 7.1637931E-001
 2.0000978E+002, 9.4568966E-001
 2.0100946E+002, 9.7672414E-001
 2.0200913E+002, 8.0689655E-001
 2.0300277E+002, 9.8367305E-001
 2.0400402E+002, 9.8940678E-001
 2.0500527E+002, 9.0466102E-001
 2.0600652E+002, 8.8347458E-001
 2.0700777E+002, 8.7245763E-001
 2.0800859E+002, 1.0122413E+000
 2.0901469E+002, 9.7500000E-001
 2.1000403E+002, 9.8601695E-001
 2.1101013E+002, 9.7333333E-001
 2.1201623E+002, 9.7916667E-001
 2.1300557E+002, 9.7669492E-001
 2.1401167E+002, 9.8750000E-001
 2.1500101E+002, 9.0889831E-001
 2.1600711E+002, 9.7250000E-001
 2.1701321E+002, 8.2250000E-001
 2.1800255E+002, 7.8601695E-001
 2.1900865E+002, 6.7166667E-001
 2.2001476E+002, 7.9833333E-001
 2.2100409E+002, 8.8177966E-001
 2.2201020E+002, 9.9750000E-001
 2.2301630E+002, 7.1500000E-001
 2.2400564E+002, 9.8262712E-001
 2.2501174E+002, 9.7500000E-001
 2.2600107E+002, 4.5720339E-001
 2.2700718E+002, 9.7833333E-001
 2.2801328E+002, 9.5166667E-001
 2.2900262E+002, 8.2330508E-001
 2.3000872E+002, 9.5333333E-001
 2.3101482E+002, 8.7916667E-001
 2.3200416E+002, 9.7500000E-001
 2.3301026E+002, 9.9083333E-001
 2.3401637E+002, 9.5833333E-001
 2.3500570E+002, 3.6737288E-001
 2.3601181E+002, 9.3750000E-001
 2.3700114E+002, 9.7500000E-001
 2.3800725E+002, 9.5000000E-001
 2.3901335E+002, 9.8166667E-001
 2.4000268E+002, 9.5381356E-001
 2.4100879E+002, 1.0475000E+000
 2.4201489E+002, 1.0033333E+000
 2.4300423E+002, 9.8177966E-001
 2.4401033E+002, 8.4916667E-001
 2.4500000E+002, 8.3938508E-001
