s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0127211E+000, 5.5682660E-002, 5.5682660E-002, 1.0000000E+000
 2.0159898E+000, 3.6144466E-002, 3.6144466E-002, 1.0000000E+000
 3.0044417E+000, 2.9106559E-002, 2.9106559E-002, 1.0000000E+000
 4.0005146E+000, 2.6502852E-002, 2.6502852E-002, 1.0000000E+000
 5.0027393E+000, 2.5547134E-002, 2.5547134E-002, 1.0000000E+000
 6.0080825E+000, 2.5198705E-002, 2.5198705E-002, 1.0000000E+000
 7.0046036E+000, 2.5072899E-002, 2.5072899E-002, 1.0000000E+000
 8.0001641E+000, 2.5026809E-002, 2.5026809E-002, 1.0000000E+000
 9.0054411E+000, 2.5009774E-002, 2.5009774E-002, 1.0000000E+000
 1.0006297E+001, 2.5003581E-002, 2.5003581E-002, 1.0000000E+000
 1.1002943E+001, 2.5001318E-002, 2.5001318E-002, 1.0000000E+000
 1.2003523E+001, 2.5000483E-002, 2.5000483E-002, 1.0000000E+000
 1.3000447E+001, 2.5000178E-002, 2.5000178E-002, 1.0000000E+000
 1.4005028E+001, 5.3187826E-002, 5.3187826E-002, 1.0000000E+000
 1.5001623E+001, 6.6973140E-002, 6.6973140E-002, 1.0000000E+000
 1.6003926E+001, 7.2065095E-002, 7.2065095E-002, 1.0000000E+000
 1.7003920E+001, 7.3924188E-002, 7.3924188E-002, 1.0000000E+000
 1.8006600E+001, 7.4606560E-002, 7.4606560E-002, 1.0000000E+000
 1.9003863E+001, 7.4855327E-002, 7.4855327E-002, 1.0000000E+000
 2.0004020E+001, 7.4946958E-002, 7.4946958E-002, 1.0000000E+000
 2.1000301E+001, 7.4980486E-002, 7.4980486E-002, 1.0000000E+000
 2.2001097E+001, 7.4992854E-002, 7.4992854E-002, 1.0000000E+000
 2.3001251E+001, 7.4997381E-002, 7.4997381E-002, 1.0000000E+000
 2.4003509E+001, 7.4999042E-002, 7.4999042E-002, 1.0000000E+000
 2.5001908E+001, 7.9693025E-002, 7.9693025E-002, 1.0000000E+000
 2.6004483E+001, 1.0543079E-001, 1.0543079E-001, 1.0000000E+000
 2.7002809E+001, 1.1781053E-001, 1.1781053E-001, 1.0000000E+000
 2.8000984E+001, 1.2235793E-001, 1.2235793E-001, 1.0000000E+000
 2.9000069E+001, 1.2402993E-001, 1.2402993E-001, 1.0000000E+000
 3.0004813E+001, 1.2464578E-001, 1.2464578E-001, 1.0000000E+000
 3.1002237E+001, 1.2375645E-001, 1.2375645E-001, 1.0000000E+000
