s,m
Time,"x"
 1.5900283E+002, 5.0830648E+000
 1.6000404E+002, 5.1071907E+000
 1.6100163E+002, 5.2198511E+000
 1.6200067E+002, 5.1740720E+000
 1.6300093E+002, 5.2024595E+000
 1.6400507E+002, 5.0750000E+000
 1.6500189E+002, 5.3093630E+000
 1.6600150E+002, 5.2605366E+000
 1.6700433E+002, 5.4384680E+000
 1.6800388E+002, 5.4098798E+000
 1.6900471E+002, 5.3251094E+000
 1.7000529E+002, 5.4523241E+000
 1.7100427E+002, 5.4730653E+000
 1.7200126E+002, 5.4834322E+000
 1.7300151E+002, 5.5102014E+000
 1.7400168E+002, 5.5895473E+000
 1.7500471E+002, 5.6002061E+000
 1.7600329E+002, 5.6549520E+000
 1.7700480E+002, 5.6494616E+000
 1.7800432E+002, 5.8392663E+000
 1.7900141E+002, 5.7922161E+000
 1.8000474E+002, 5.8579138E+000
 1.8100061E+002, 5.9864991E+000
 1.8200556E+002, 5.9865161E+000
 1.8300232E+002, 6.1068847E+000
 1.8400020E+002, 5.9460168E+000
 1.8500126E+002, 5.9549577E+000
 1.8600496E+002, 6.0647965E+000
 1.8700374E+002, 6.1123207E+000
 1.8800461E+002, 6.2808341E+000
 1.8900127E+002, 6.1948845E+000
 1.9000170E+002, 6.2096614E+000
 1.9100342E+002, 6.3596330E+000
 1.9200412E+002, 6.4401269E+000
 1.9300263E+002, 6.3811879E+000
 1.9400525E+002, 6.4246677E+000
 1.9500464E+002, 6.4331359E+000
 1.9600018E+002, 6.5671601E+000
 1.9700525E+002, 6.4681991E+000
 1.9800005E+002, 6.6056318E+000
 1.9900516E+002, 6.5772442E+000
 2.0000196E+002, 6.6828354E+000
 2.0100009E+002, 6.6953475E+000
 2.0200488E+002, 6.8381345E+000
 2.0300105E+002, 6.7910133E+000
 2.0400152E+002, 6.8340217E+000
 2.0500326E+002, 6.9339828E+000
 2.0600102E+002, 6.9153730E+000
 2.0700061E+002, 6.9633674E+000
 2.0800401E+002, 6.8589596E+000
 2.0900085E+002, 7.0564479E+000
 2.1000106E+002, 7.1335437E+000
 2.1100108E+002, 7.1013033E+000
 2.1200143E+002, 7.2502027E+000
 2.1300284E+002, 7.3494315E+000
 2.1400491E+002, 7.2083908E+000
 2.1500426E+002, 7.2261715E+000
 2.1600283E+002, 7.4329411E+000
 2.1700283E+002, 7.4381122E+000
 2.1800018E+002, 7.3141769E+000
 2.1900209E+002, 7.6053643E+000
 2.2000014E+002, 7.6227606E+000
 2.2100268E+002, 7.6524569E+000
 2.2200423E+002, 7.6012240E+000
 2.2300122E+002, 7.6498834E+000
 2.2400029E+002, 7.7529588E+000
 2.2500241E+002, 7.6834634E+000
 2.2600835E+002, 7.4895675E+000
 2.2700748E+002, 7.5378257E+000
 2.2800143E+002, 7.6087859E+000
 2.2900103E+002, 7.5451763E+000
 2.3000515E+002, 7.5495067E+000
 2.3100707E+002, 7.4885854E+000
 2.3200046E+002, 7.4465475E+000
 2.3300659E+002, 7.3619698E+000
 2.3400252E+002, 7.3181965E+000
 2.3500568E+002, 7.3615079E+000
 2.3600388E+002, 7.4113450E+000
 2.3700578E+002, 7.3392191E+000
 2.3800861E+002, 7.3203389E+000
 2.3902539E+002, 7.3873573E+000
 2.4000432E+002, 7.3525636E+000
 2.4100163E+002, 7.3092034E+000
 2.4200165E+002, 7.2840133E+000
 2.4301342E+002, 7.2761136E+000
 2.4400800E+002, 7.3040670E+000
 2.4501696E+002, 7.3301836E+000
 2.4602374E+002, 7.2833333E+000
 2.4701541E+002, 7.2727663E+000
 2.4801109E+002, 7.2854156E+000
 2.4900241E+002, 7.2869286E+000
 2.5002066E+002, 7.1837005E+000
 2.5100508E+002, 7.2715964E+000
 2.5201185E+002, 7.2248849E+000
 2.5302552E+002, 7.3087838E+000
 2.5400396E+002, 7.3114114E+000
 2.5500514E+002, 7.1746631E+000
 2.5601308E+002, 7.2666667E+000
 2.5701186E+002, 7.2677469E+000
 2.5801824E+002, 7.2986762E+000
 2.5901808E+002, 7.2531558E+000
 2.6000309E+002, 7.2710993E+000
 2.6102651E+002, 7.3059651E+000
 2.6201655E+002, 7.3111300E+000
 2.6301342E+002, 7.2318492E+000
 2.6401105E+002, 7.2447667E+000
 2.6501942E+002, 7.3763713E+000
 2.6600141E+002, 7.2750000E+000
 2.6701145E+002, 7.1291667E+000
 2.6802149E+002, 7.1027778E+000
 2.6901751E+002, 7.1334507E+000
 2.7001720E+002, 7.1543992E+000
 2.7101801E+002, 7.3250000E+000
 2.7201881E+002, 7.0307143E+000
 2.7300701E+002, 6.5437230E+000
 2.7402199E+002, 7.4442904E+000
 2.7502517E+002, 7.3260579E+000
 2.7602929E+002, 7.3828431E+000
 2.7700237E+002, 7.4048492E+000
 2.7800612E+002, 7.3649627E+000
 2.7901188E+002, 7.3265625E+000
 2.8002918E+002, 7.3853481E+000
 2.8100658E+002, 7.2020124E+000
 2.8200949E+002, 6.3192359E+000
 2.8300965E+002, 6.9344903E+000
 2.8400931E+002, 7.2948597E+000
 2.8501019E+002, 7.2091939E+000
 2.8602230E+002, 7.2428880E+000
 2.8701777E+002, 7.3504392E+000
 2.8803048E+002, 7.2302241E+000
 2.8901164E+002, 7.4250000E+000
 2.9001758E+002, 7.4507913E+000
 2.9100453E+002, 7.3719738E+000
 2.9200395E+002, 7.2884157E+000
 2.9300607E+002, 7.2654820E+000
 2.9401658E+002, 7.2335011E+000
 2.9500028E+002, 7.2489660E+000
 2.9600849E+002, 7.1123276E+000
 2.9701477E+002, 7.3250000E+000
 2.9800921E+002, 7.3250000E+000
 2.9902120E+002, 7.0750000E+000
 3.0001580E+002, 6.5130962E+000
 3.0100047E+002, 6.6924132E+000
 3.0202268E+002, 4.7219697E+000
 3.0302196E+002, 6.9428809E+000
 3.0402637E+002, 6.2441563E+000
 3.0501750E+002, 7.4359968E+000
 3.0601969E+002, 7.4528478E+000
 3.0700323E+002, 7.3691723E+000
 3.0802014E+002, 7.3252480E+000
 3.0902822E+002, 7.3467879E+000
 3.1002025E+002, 7.3971492E+000
 3.1100152E+002, 7.0921914E+000
 3.1201227E+002, 6.3090172E+000
 3.1301167E+002, 7.3275337E+000
 3.1402191E+002, 7.4033918E+000
 3.1500929E+002, 7.2947048E+000
 3.1600685E+002, 7.3760121E+000
 3.1703169E+002, 6.5468987E+000
 3.1802321E+002, 6.3618263E+000
 3.1902645E+002, 7.4059219E+000
 3.2002144E+002, 7.3137097E+000
 3.2100450E+002, 7.2508631E+000
 3.2202138E+002, 7.2004799E+000
 3.2300957E+002, 7.0927876E+000
 3.2400247E+002, 7.1223438E+000
 3.2503335E+002, 6.4162179E+000
 3.2601454E+002, 6.6259127E+000
 3.2700757E+002, 7.2779539E+000
 3.2800937E+002, 7.2750000E+000
 3.2900787E+002, 7.3267414E+000
 3.3001164E+002, 7.1671836E+000
 3.3101068E+002, 7.2920905E+000
 3.3202604E+002, 7.2830645E+000
 3.3300865E+002, 7.2633333E+000
 3.3402402E+002, 7.2104839E+000
 3.3500663E+002, 7.1483333E+000
 3.3601533E+002, 7.0389362E+000
