s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0015590E+000, 9.0693151E-002, 9.0693151E-002, 1.0000000E+000
 2.0098677E+000, 5.7727817E-002, 5.7727817E-002, 1.0000000E+000
 3.0059007E+000, 3.9963173E-002, 3.9963173E-002, 1.0000000E+000
 4.0078529E+000, 6.5478906E-002, 6.5478906E-002, 1.0000000E+000
 5.0038354E+000, 9.6194213E-002, 9.6194213E-002, 1.0000000E+000
 6.0040514E+000, 1.2378215E-001, 1.2378215E-001, 1.0000000E+000
 7.0030818E+000, 1.6460401E-001, 1.6460401E-001, 1.0000000E+000
 8.0033705E+000, 3.4094354E-001, 3.4094354E-001, 1.0000000E+000
 9.0000443E+000, 5.3101093E-001, 5.3101093E-001, 1.0000000E+000
 1.0000917E+001, 7.0627834E-001, 7.0627834E-001, 1.0000000E+000
 1.1001572E+001, 8.8719909E-001, 8.8719909E-001, 1.0000000E+000
 1.2001931E+001, 1.0525082E+000, 1.0525082E+000, 1.0000000E+000
 1.3000164E+001, 1.2197764E+000, 1.2197764E+000, 1.0000000E+000
 1.4000509E+001, 1.3699722E+000, 1.3699722E+000, 1.0000000E+000
 1.5003218E+001, 1.5246659E+000, 1.5246659E+000, 1.0000000E+000
 1.6003208E+001, 1.6815367E+000, 1.6815367E+000, 1.0000000E+000
 1.7000054E+001, 1.8490496E+000, 1.8490496E+000, 1.0000000E+000
 1.8000720E+001, 2.0169293E+000, 2.0169293E+000, 1.0000000E+000
 1.9003228E+001, 2.1838642E+000, 2.1838642E+000, 1.0000000E+000
 2.0000238E+001, 2.3546828E+000, 2.3546828E+000, 1.0000000E+000
 2.1002552E+001, 2.5348136E+000, 2.5348136E+000, 1.0000000E+000
 2.2003936E+001, 2.7121861E+000, 2.7121861E+000, 1.0000000E+000
 2.3002837E+001, 2.9004988E+000, 2.9004988E+000, 1.0000000E+000
 2.4000074E+001, 3.0900532E+000, 3.0900532E+000, 1.0000000E+000
 2.5001545E+001, 3.2794698E+000, 3.2794698E+000, 1.0000000E+000
 2.6003339E+001, 3.4684770E+000, 3.4684770E+000, 1.0000000E+000
 2.7000203E+001, 3.6576434E+000, 3.6576434E+000, 1.0000000E+000
 2.8001613E+001, 3.8450556E+000, 3.8450556E+000, 1.0000000E+000
 2.9000568E+001, 4.0317059E+000, 4.0317059E+000, 1.0000000E+000
 3.0003225E+001, 4.2226265E+000, 4.2226265E+000, 1.0000000E+000
 3.1001473E+001, 4.4130846E+000, 4.4130846E+000, 1.0000000E+000
