s,m,,
Time,xT,x,flag val
 7.9000808E+001, 5.7574877E+000, 5.7574877E+000, 1.0000000E+000
 8.0000268E+001, 5.8386272E+000, 5.8386272E+000, 1.0000000E+000
 8.1000578E+001, 5.9145478E+000, 5.9145478E+000, 1.0000000E+000
 8.2000186E+001, 5.9939506E+000, 5.9939506E+000, 1.0000000E+000
 8.3002283E+001, 6.0749309E+000, 6.0749309E+000, 1.0000000E+000
 8.4000478E+001, 6.1523976E+000, 6.1523976E+000, 1.0000000E+000
 8.5003970E+001, 6.2492755E+000, 6.2492755E+000, 1.0000000E+000
 8.6000544E+001, 6.3254516E+000, 6.3254516E+000, 1.0000000E+000
 8.7002201E+001, 6.3961215E+000, 6.3961215E+000, 1.0000000E+000
 8.8000984E+001, 6.4732786E+000, 6.4732786E+000, 1.0000000E+000
 8.9004002E+001, 6.5332782E+000, 6.5332782E+000, 1.0000000E+000
 9.0001612E+001, 6.6744396E+000, 6.6744396E+000, 1.0000000E+000
 9.1000287E+001, 6.7233326E+000, 6.7233326E+000, 1.0000000E+000
 9.2001392E+001, 6.8064488E+000, 6.8064488E+000, 1.0000000E+000
 9.3000443E+001, 6.8859244E+000, 6.8859244E+000, 1.0000000E+000
 9.4002934E+001, 6.9326651E+000, 6.9326651E+000, 1.0000000E+000
 9.5000425E+001, 7.0406172E+000, 7.0406172E+000, 1.0000000E+000
 9.6001870E+001, 7.0998983E+000, 7.0998983E+000, 1.0000000E+000
 9.7002535E+001, 7.1760101E+000, 7.1760101E+000, 1.0000000E+000
 9.8004072E+001, 7.2398467E+000, 7.2398467E+000, 1.0000000E+000
 9.9004220E+001, 7.2725224E+000, 7.2725224E+000, 1.0000000E+000
 1.0000125E+002, 7.3551395E+000, 7.3551395E+000, 1.0000000E+000
 1.0100269E+002, 7.4443134E+000, 7.4443134E+000, 1.0000000E+000
 1.0200210E+002, 7.5147817E+000, 7.5147817E+000, 1.0000000E+000
 1.0300294E+002, 7.5829331E+000, 7.5829331E+000, 1.0000000E+000
 1.0400418E+002, 7.6459870E+000, 7.6459870E+000, 1.0000000E+000
 1.0500281E+002, 7.7205619E+000, 7.7205619E+000, 1.0000000E+000
 1.0600234E+002, 7.7661901E+000, 7.7661901E+000, 1.0000000E+000
