s,m,,
Time,xT,x,flag val
 7.9000427E+001, 3.2342133E+000, 3.2342133E+000, 1.0000000E+000
 8.0002118E+001, 3.2549507E+000, 3.2549507E+000, 1.0000000E+000
 8.1001567E+001, 3.2993514E+000, 3.2993514E+000, 1.0000000E+000
 8.2001559E+001, 3.4060691E+000, 3.4060691E+000, 1.0000000E+000
 8.3003553E+001, 3.5274459E+000, 3.5274459E+000, 1.0000000E+000
 8.4002124E+001, 3.5593640E+000, 3.5593640E+000, 1.0000000E+000
 8.5000554E+001, 3.5715339E+000, 3.5715339E+000, 1.0000000E+000
 8.6001959E+001, 3.6165135E+000, 3.6165135E+000, 1.0000000E+000
 8.7002909E+001, 3.7348933E+000, 3.7348933E+000, 1.0000000E+000
 8.8000024E+001, 3.8168780E+000, 3.8168780E+000, 1.0000000E+000
 8.9000514E+001, 3.8519894E+000, 3.8519894E+000, 1.0000000E+000
 9.0000690E+001, 3.9341793E+000, 3.9341793E+000, 1.0000000E+000
 9.1003112E+001, 3.9784046E+000, 3.9784046E+000, 1.0000000E+000
 9.2000122E+001, 4.0144198E+000, 4.0144198E+000, 1.0000000E+000
 9.3000388E+001, 4.0578081E+000, 4.0578081E+000, 1.0000000E+000
 9.4004111E+001, 4.1222877E+000, 4.1222877E+000, 1.0000000E+000
 9.5003538E+001, 4.1839117E+000, 4.1839117E+000, 1.0000000E+000
 9.6001243E+001, 4.2711435E+000, 4.2711435E+000, 1.0000000E+000
 9.7003156E+001, 4.3906995E+000, 4.3906995E+000, 1.0000000E+000
 9.8002417E+001, 4.4491649E+000, 4.4491649E+000, 1.0000000E+000
 9.9001447E+001, 4.4939886E+000, 4.4939886E+000, 1.0000000E+000
 1.0000062E+002, 4.5083537E+000, 4.5083537E+000, 1.0000000E+000
 1.0100165E+002, 4.5593871E+000, 4.5593871E+000, 1.0000000E+000
 1.0200484E+002, 4.6577349E+000, 4.6577349E+000, 1.0000000E+000
 1.0300023E+002, 4.7778518E+000, 4.7778518E+000, 1.0000000E+000
 1.0400008E+002, 4.8638303E+000, 4.8638303E+000, 1.0000000E+000
 1.0500253E+002, 4.8696322E+000, 4.8696322E+000, 1.0000000E+000
 1.0600195E+002, 4.8679324E+000, 4.8679324E+000, 1.0000000E+000
 1.0700408E+002, 5.0290123E+000, 5.0290123E+000, 1.0000000E+000
 1.0800143E+002, 5.1081600E+000, 5.1081600E+000, 1.0000000E+000
 1.0900310E+002, 5.1612545E+000, 5.1612545E+000, 1.0000000E+000
 1.1000170E+002, 5.2341470E+000, 5.2341470E+000, 1.0000000E+000
 1.1100266E+002, 5.3154917E+000, 5.3154917E+000, 1.0000000E+000
 1.1200334E+002, 5.4101300E+000, 5.4101300E+000, 1.0000000E+000
 1.1300414E+002, 5.4495897E+000, 5.4495897E+000, 1.0000000E+000
 1.1400078E+002, 5.5968951E+000, 5.5968951E+000, 1.0000000E+000
 1.1500236E+002, 5.6026807E+000, 5.6026807E+000, 1.0000000E+000
 1.1600278E+002, 5.6760310E+000, 5.6760310E+000, 1.0000000E+000
 1.1700131E+002, 5.7283534E+000, 5.7283534E+000, 1.0000000E+000
 1.1800022E+002, 5.8894913E+000, 5.8894913E+000, 1.0000000E+000
 1.1900422E+002, 5.9423619E+000, 5.9423619E+000, 1.0000000E+000
 1.2000439E+002, 5.9290677E+000, 5.9290677E+000, 1.0000000E+000
 1.2100270E+002, 5.9710995E+000, 5.9710995E+000, 1.0000000E+000
 1.2200191E+002, 6.0129357E+000, 6.0129357E+000, 1.0000000E+000
 1.2300524E+002, 6.1576557E+000, 6.1576557E+000, 1.0000000E+000
 1.2400255E+002, 6.1953683E+000, 6.1953683E+000, 1.0000000E+000
 1.2500322E+002, 6.2480773E+000, 6.2480773E+000, 1.0000000E+000
 1.2600196E+002, 6.3615620E+000, 6.3615620E+000, 1.0000000E+000
 1.2700006E+002, 6.4812225E+000, 6.4812225E+000, 1.0000000E+000
 1.2800229E+002, 6.5723073E+000, 6.5723073E+000, 1.0000000E+000
 1.2900383E+002, 6.5692437E+000, 6.5692437E+000, 1.0000000E+000
 1.3000168E+002, 6.7251003E+000, 6.7251003E+000, 1.0000000E+000
 1.3100412E+002, 6.8380436E+000, 6.8380436E+000, 1.0000000E+000
 1.3200398E+002, 6.8231825E+000, 6.8231825E+000, 1.0000000E+000
 1.3300470E+002, 6.8429333E+000, 6.8429333E+000, 1.0000000E+000
 1.3400291E+002, 6.8717527E+000, 6.8717527E+000, 1.0000000E+000
 1.3500075E+002, 6.9828462E+000, 6.9828462E+000, 1.0000000E+000
 1.3600534E+002, 7.1034570E+000, 7.1034570E+000, 1.0000000E+000
 1.3700557E+002, 7.1733331E+000, 7.1733331E+000, 1.0000000E+000
 1.3800006E+002, 7.2795526E+000, 7.2795526E+000, 1.0000000E+000
 1.3900578E+002, 7.3322885E+000, 7.3322885E+000, 1.0000000E+000
 1.4000097E+002, 7.3026108E+000, 7.3026108E+000, 1.0000000E+000
 1.4100260E+002, 7.3190877E+000, 7.3190877E+000, 1.0000000E+000
 1.4200121E+002, 7.3752615E+000, 7.3752615E+000, 1.0000000E+000
 1.4300675E+002, 7.4417911E+000, 7.4417911E+000, 1.0000000E+000
 1.4400344E+002, 7.5176814E+000, 7.5176814E+000, 1.0000000E+000
 1.4500646E+002, 7.5848092E+000, 7.5848092E+000, 1.0000000E+000
 1.4600778E+002, 7.6595863E+000, 7.6595863E+000, 1.0000000E+000
 1.4700022E+002, 7.7453174E+000, 7.7453174E+000, 1.0000000E+000
