s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0224262E+000, 8.7673787E-002, 8.7673787E-002, 1.0000000E+000
 2.0119009E+000, 4.8043578E-002, 4.8043578E-002, 1.0000000E+000
 3.0037244E+000, 3.3456615E-002, 3.3456615E-002, 1.0000000E+000
 4.0124011E+000, 2.8051771E-002, 2.8051771E-002, 1.0000000E+000
 5.0028631E+000, 2.6123046E-002, 2.6123046E-002, 1.0000000E+000
 6.0177295E+000, 2.9441390E-002, 2.9441390E-002, 1.0000000E+000
 7.0097890E+000, 2.9438078E-002, 2.9438078E-002, 1.0000000E+000
 8.0076564E+000, 4.0201822E-002, 4.0201822E-002, 1.0000000E+000
 9.0074873E+000, 3.7673083E-002, 3.7673083E-002, 1.0000000E+000
 1.0003705E+001, 2.9655184E-002, 2.9655184E-002, 1.0000000E+000
 1.1003149E+001, 2.6706737E-002, 2.6706737E-002, 1.0000000E+000
 1.2004615E+001, 2.5624781E-002, 2.5624781E-002, 1.0000000E+000
 1.3002393E+001, 2.5229544E-002, 2.5229544E-002, 1.0000000E+000
 1.4000467E+001, 2.9676831E-002, 2.9676831E-002, 1.0000000E+000
 1.5004400E+001, 5.8437785E-002, 5.8437785E-002, 1.0000000E+000
 1.6001619E+001, 6.8907066E-002, 6.8907066E-002, 1.0000000E+000
 1.7000411E+001, 7.2761330E-002, 7.2761330E-002, 1.0000000E+000
 1.8001210E+001, 7.4178867E-002, 7.4178867E-002, 1.0000000E+000
 1.9003464E+001, 7.9228252E-002, 7.9228252E-002, 1.0000000E+000
 2.0002380E+001, 9.7711676E-002, 9.7711676E-002, 1.0000000E+000
 2.1004316E+001, 1.1500209E-001, 1.1500209E-001, 1.0000000E+000
 2.2001182E+001, 1.4027789E-001, 1.4027789E-001, 1.0000000E+000
 2.3000177E+001, 1.3215193E-001, 1.3215193E-001, 1.0000000E+000
 2.4002901E+001, 1.2966236E-001, 1.2966236E-001, 1.0000000E+000
 2.5003897E+001, 1.7566789E-001, 1.7566789E-001, 1.0000000E+000
 2.6003733E+001, 1.5977018E-001, 1.5977018E-001, 1.0000000E+000
 2.7004053E+001, 1.6057613E-001, 1.6057613E-001, 1.0000000E+000
 2.8000306E+001, 2.4407325E-001, 2.4407325E-001, 1.0000000E+000
 2.9002239E+001, 2.1369287E-001, 2.1369287E-001, 1.0000000E+000
 3.0000227E+001, 2.4602110E-001, 2.4602110E-001, 1.0000000E+000
 3.1001272E+001, 2.7732508E-001, 2.7732508E-001, 1.0000000E+000
