s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0116095E+000, 4.1605034E-002, 4.1605034E-002, 1.0000000E+000
 2.0110269E+000, 3.2703691E-002, 3.2703691E-002, 1.0000000E+000
 3.0043735E+000, 2.7836308E-002, 2.7836308E-002, 1.0000000E+000
 4.0094064E+000, 2.6032054E-002, 2.6032054E-002, 1.0000000E+000
 5.0012654E+000, 2.5380572E-002, 2.5380572E-002, 1.0000000E+000
 6.0030466E+000, 2.5138996E-002, 2.5138996E-002, 1.0000000E+000
 7.0011293E+000, 2.5050944E-002, 2.5050944E-002, 1.0000000E+000
 8.0066154E+000, 2.5018538E-002, 2.5018538E-002, 1.0000000E+000
 9.0058074E+000, 2.5006795E-002, 2.5006795E-002, 1.0000000E+000
 1.0003464E+001, 2.5002498E-002, 2.5002498E-002, 1.0000000E+000
 1.1001558E+001, 3.4038623E-002, 3.4038623E-002, 1.0000000E+000
 1.2001168E+001, 5.9968627E-002, 5.9968627E-002, 1.0000000E+000
 1.3000015E+001, 6.9479599E-002, 6.9479599E-002, 1.0000000E+000
 1.4006312E+001, 7.2987853E-002, 7.2987853E-002, 1.0000000E+000
 1.5005543E+001, 7.4261721E-002, 7.4261721E-002, 1.0000000E+000
 1.6005555E+001, 7.7125795E-002, 7.7125795E-002, 1.0000000E+000
 1.7002817E+001, 1.0739377E-001, 1.0739377E-001, 1.0000000E+000
 1.8003236E+001, 1.1854837E-001, 1.1854837E-001, 1.0000000E+000
 1.9001936E+001, 1.2263159E-001, 1.2263159E-001, 1.0000000E+000
 2.0004807E+001, 1.2413392E-001, 1.2413392E-001, 1.0000000E+000
 2.1002428E+001, 1.2468164E-001, 1.2468164E-001, 1.0000000E+000
 2.2007167E+001, 1.2488386E-001, 1.2488386E-001, 1.0000000E+000
 2.3003204E+001, 1.5580754E-001, 1.5580754E-001, 1.0000000E+000
 2.4003715E+001, 1.6796994E-001, 1.6796994E-001, 1.0000000E+000
 2.5000628E+001, 1.7241425E-001, 1.7241425E-001, 1.0000000E+000
 2.6006151E+001, 1.7405701E-001, 1.7405701E-001, 1.0000000E+000
 2.7001384E+001, 1.7465262E-001, 1.7465262E-001, 1.0000000E+000
 2.8006762E+001, 1.7487333E-001, 1.7487333E-001, 1.0000000E+000
 2.9002046E+001, 1.7495333E-001, 1.7495333E-001, 1.0000000E+000
 3.0003145E+001, 1.7498291E-001, 1.7498291E-001, 1.0000000E+000
 3.1001943E+001, 1.9735428E-001, 1.9735428E-001, 1.0000000E+000
