s,m,,
Time,xT,x,flag val
 7.9005510E+001, 5.6069149E-001, 5.6069149E-001, 1.0000000E+000
 8.0001043E+001, 6.5864463E-001, 6.5864463E-001, 1.0000000E+000
 8.1002984E+001, 1.8895834E+000, 1.8895834E+000, 1.0000000E+000
 8.2002382E+001, 2.6116029E+000, 2.6116029E+000, 1.0000000E+000
 8.3003848E+001, 2.8956062E+000, 2.8956062E+000, 1.0000000E+000
 8.4004700E+001, 3.0107511E+000, 3.0107511E+000, 1.0000000E+000
 8.5002319E+001, 3.1007112E+000, 3.1007112E+000, 1.0000000E+000
 8.6002364E+001, 3.1630136E+000, 3.1630136E+000, 1.0000000E+000
 8.7003564E+001, 3.1760660E+000, 3.1760660E+000, 1.0000000E+000
 8.8002451E+001, 3.2074985E+000, 3.2074985E+000, 1.0000000E+000
 8.9002549E+001, 3.2680690E+000, 3.2680690E+000, 1.0000000E+000
 9.0002816E+001, 3.3085349E+000, 3.3085349E+000, 1.0000000E+000
 9.1003036E+001, 3.2942182E+000, 3.2942182E+000, 1.0000000E+000
 9.2001289E+001, 3.3194234E+000, 3.3194234E+000, 1.0000000E+000
 9.3003195E+001, 3.4018560E+000, 3.4018560E+000, 1.0000000E+000
 9.4002177E+001, 3.4594584E+000, 3.4594584E+000, 1.0000000E+000
 9.5004413E+001, 3.4640580E+000, 3.4640580E+000, 1.0000000E+000
 9.6003443E+001, 3.5226020E+000, 3.5226020E+000, 1.0000000E+000
 9.7005115E+001, 3.5452080E+000, 3.5452080E+000, 1.0000000E+000
 9.8001580E+001, 3.5993807E+000, 3.5993807E+000, 1.0000000E+000
 9.9004932E+001, 3.6678945E+000, 3.6678945E+000, 1.0000000E+000
 1.0000025E+002, 3.6770834E+000, 3.6770834E+000, 1.0000000E+000
 1.0100367E+002, 3.7184335E+000, 3.7184335E+000, 1.0000000E+000
 1.0200306E+002, 3.7785132E+000, 3.7785132E+000, 1.0000000E+000
 1.0300077E+002, 3.8043996E+000, 3.8043996E+000, 1.0000000E+000
 1.0400372E+002, 3.8375209E+000, 3.8375209E+000, 1.0000000E+000
 1.0500243E+002, 3.9033834E+000, 3.9033834E+000, 1.0000000E+000
 1.0600092E+002, 3.9551231E+000, 3.9551231E+000, 1.0000000E+000
 1.0700235E+002, 4.0198225E+000, 4.0198225E+000, 1.0000000E+000
 1.0800247E+002, 4.0546273E+000, 4.0546273E+000, 1.0000000E+000
 1.0900062E+002, 4.0921908E+000, 4.0921908E+000, 1.0000000E+000
 1.1000341E+002, 4.1212869E+000, 4.1212869E+000, 1.0000000E+000
 1.1100243E+002, 4.1781545E+000, 4.1781545E+000, 1.0000000E+000
 1.1200260E+002, 4.2267424E+000, 4.2267424E+000, 1.0000000E+000
 1.1300014E+002, 4.2911569E+000, 4.2911569E+000, 1.0000000E+000
 1.1400426E+002, 4.3306859E+000, 4.3306859E+000, 1.0000000E+000
 1.1500088E+002, 4.4120654E+000, 4.4120654E+000, 1.0000000E+000
 1.1600192E+002, 4.4592524E+000, 4.4592524E+000, 1.0000000E+000
 1.1700466E+002, 4.5400749E+000, 4.5400749E+000, 1.0000000E+000
 1.1800305E+002, 4.6334874E+000, 4.6334874E+000, 1.0000000E+000
 1.1900627E+002, 4.6902247E+000, 4.6902247E+000, 1.0000000E+000
 1.2000445E+002, 4.7583139E+000, 4.7583139E+000, 1.0000000E+000
 1.2100430E+002, 4.8091381E+000, 4.8091381E+000, 1.0000000E+000
 1.2200120E+002, 4.8283820E+000, 4.8283820E+000, 1.0000000E+000
 1.2300018E+002, 4.8957218E+000, 4.8957218E+000, 1.0000000E+000
 1.2400126E+002, 4.9311849E+000, 4.9311849E+000, 1.0000000E+000
 1.2500012E+002, 4.9908096E+000, 4.9908096E+000, 1.0000000E+000
 1.2600145E+002, 5.1314748E+000, 5.1314748E+000, 1.0000000E+000
 1.2700058E+002, 5.1697740E+000, 5.1697740E+000, 1.0000000E+000
 1.2800463E+002, 5.2510102E+000, 5.2510102E+000, 1.0000000E+000
 1.2900398E+002, 5.2871206E+000, 5.2871206E+000, 1.0000000E+000
 1.3000372E+002, 5.3204827E+000, 5.3204827E+000, 1.0000000E+000
 1.3100263E+002, 5.3807986E+000, 5.3807986E+000, 1.0000000E+000
 1.3200246E+002, 5.4954181E+000, 5.4954181E+000, 1.0000000E+000
 1.3300312E+002, 5.5733757E+000, 5.5733757E+000, 1.0000000E+000
 1.3400062E+002, 5.6037905E+000, 5.6037905E+000, 1.0000000E+000
 1.3500055E+002, 5.7184534E+000, 5.7184534E+000, 1.0000000E+000
 1.3600042E+002, 5.7688991E+000, 5.7688991E+000, 1.0000000E+000
 1.3700250E+002, 5.7950330E+000, 5.7950330E+000, 1.0000000E+000
 1.3800224E+002, 5.8362474E+000, 5.8362474E+000, 1.0000000E+000
 1.3900500E+002, 5.9155521E+000, 5.9155521E+000, 1.0000000E+000
 1.4000225E+002, 5.9408326E+000, 5.9408326E+000, 1.0000000E+000
 1.4100192E+002, 6.0381891E+000, 6.0381891E+000, 1.0000000E+000
 1.4200261E+002, 6.0789523E+000, 6.0789523E+000, 1.0000000E+000
 1.4300506E+002, 6.1550995E+000, 6.1550995E+000, 1.0000000E+000
 1.4400442E+002, 6.2234359E+000, 6.2234359E+000, 1.0000000E+000
 1.4500392E+002, 6.2552472E+000, 6.2552472E+000, 1.0000000E+000
 1.4600347E+002, 6.3356689E+000, 6.3356689E+000, 1.0000000E+000
 1.4700152E+002, 6.3389205E+000, 6.3389205E+000, 1.0000000E+000
 1.4800060E+002, 6.4024381E+000, 6.4024381E+000, 1.0000000E+000
 1.4900424E+002, 6.4786261E+000, 6.4786261E+000, 1.0000000E+000
 1.5000102E+002, 6.5209035E+000, 6.5209035E+000, 1.0000000E+000
 1.5100309E+002, 6.5576908E+000, 6.5576908E+000, 1.0000000E+000
 1.5200157E+002, 6.5573255E+000, 6.5573255E+000, 1.0000000E+000
 1.5300229E+002, 6.6440842E+000, 6.6440842E+000, 1.0000000E+000
 1.5400149E+002, 6.6751056E+000, 6.6751056E+000, 1.0000000E+000
 1.5500505E+002, 6.7605478E+000, 6.7605478E+000, 1.0000000E+000
 1.5600159E+002, 6.7882419E+000, 6.7882419E+000, 1.0000000E+000
 1.5700018E+002, 6.8466650E+000, 6.8466650E+000, 1.0000000E+000
 1.5800031E+002, 6.8816338E+000, 6.8816338E+000, 1.0000000E+000
 1.5900229E+002, 6.9407300E+000, 6.9407300E+000, 1.0000000E+000
 1.6000515E+002, 6.9543309E+000, 6.9543309E+000, 1.0000000E+000
 1.6100281E+002, 6.9793067E+000, 6.9793067E+000, 1.0000000E+000
 1.6200016E+002, 7.0393625E+000, 7.0393625E+000, 1.0000000E+000
 1.6300326E+002, 7.1129128E+000, 7.1129128E+000, 1.0000000E+000
 1.6400370E+002, 7.1374778E+000, 7.1374778E+000, 1.0000000E+000
 1.6500358E+002, 7.1966138E+000, 7.1966138E+000, 1.0000000E+000
 1.6600387E+002, 7.2650366E+000, 7.2650366E+000, 1.0000000E+000
 1.6700571E+002, 7.2977268E+000, 7.2977268E+000, 1.0000000E+000
 1.6800452E+002, 7.3250277E+000, 7.3250277E+000, 1.0000000E+000
 1.6900237E+002, 7.3762328E+000, 7.3762328E+000, 1.0000000E+000
 1.7000324E+002, 7.4008205E+000, 7.4008205E+000, 1.0000000E+000
 1.7100202E+002, 7.4514143E+000, 7.4514143E+000, 1.0000000E+000
 1.7200568E+002, 7.5211528E+000, 7.5211528E+000, 1.0000000E+000
 1.7300215E+002, 7.5920325E+000, 7.5920325E+000, 1.0000000E+000
 1.7400436E+002, 7.5784979E+000, 7.5784979E+000, 1.0000000E+000
 1.7500184E+002, 7.6582842E+000, 7.6582842E+000, 1.0000000E+000
 1.7600339E+002, 7.6928261E+000, 7.6928261E+000, 1.0000000E+000
 1.7700528E+002, 7.7438044E+000, 7.7438044E+000, 1.0000000E+000
 1.7800253E+002, 7.7824161E+000, 7.7824161E+000, 1.0000000E+000
 1.7900290E+002, 7.7809169E+000, 7.7809169E+000, 1.0000000E+000
