s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0006309E+000, 6.7831082E-002, 6.7831082E-002, 1.0000000E+000
 2.0086948E+000, 7.2397665E-002, 7.2397665E-002, 1.0000000E+000
 3.0040890E+000, 6.1061881E-002, 6.1061881E-002, 1.0000000E+000
 4.0064888E+000, 6.9907873E-002, 6.9907873E-002, 1.0000000E+000
 5.0061220E+000, 4.8673270E-002, 4.8673270E-002, 1.0000000E+000
 6.0051681E+000, 4.9885489E-002, 4.9885489E-002, 1.0000000E+000
 7.0059515E+000, 7.7930395E-002, 7.7930395E-002, 1.0000000E+000
 8.0036209E+000, 1.0720057E-001, 1.0720057E-001, 1.0000000E+000
 9.0005765E+000, 1.3382288E-001, 1.3382288E-001, 1.0000000E+000
 1.0006076E+001, 1.5998438E-001, 1.5998438E-001, 1.0000000E+000
 1.1000498E+001, 1.7077795E-001, 1.7077795E-001, 1.0000000E+000
 1.2005789E+001, 2.0522248E-001, 2.0522248E-001, 1.0000000E+000
 1.3003756E+001, 2.1773271E-001, 2.1773271E-001, 1.0000000E+000
 1.4001255E+001, 2.3066125E-001, 2.3066125E-001, 1.0000000E+000
 1.5003409E+001, 2.5876918E-001, 2.5876918E-001, 1.0000000E+000
 1.6000976E+001, 2.6760944E-001, 2.6760944E-001, 1.0000000E+000
 1.7005786E+001, 2.7805559E-001, 2.7805559E-001, 1.0000000E+000
 1.8001018E+001, 3.0769938E-001, 3.0769938E-001, 1.0000000E+000
 1.9002247E+001, 3.1866003E-001, 3.1866003E-001, 1.0000000E+000
 2.0002794E+001, 3.2267542E-001, 3.2267542E-001, 1.0000000E+000
 2.1001906E+001, 3.4276542E-001, 3.4276542E-001, 1.0000000E+000
 2.2004730E+001, 3.6225403E-001, 3.6225403E-001, 1.0000000E+000
 2.3000144E+001, 3.3490729E-001, 3.3490729E-001, 1.0000000E+000
 2.4001014E+001, 3.6029746E-001, 3.6029746E-001, 1.0000000E+000
 2.5003854E+001, 4.2114128E-001, 4.2114128E-001, 1.0000000E+000
 2.6002081E+001, 4.7883516E-001, 4.7883516E-001, 1.0000000E+000
 2.7003793E+001, 4.2811795E-001, 4.2811795E-001, 1.0000000E+000
 2.8002312E+001, 7.9166574E-001, 7.9166574E-001, 1.0000000E+000
 2.9001403E+001, 7.0181980E-001, 7.0181980E-001, 1.0000000E+000
 3.0003916E+001, 7.3800038E-001, 7.3800038E-001, 1.0000000E+000
 3.1002023E+001, 5.7173272E-001, 5.7173272E-001, 1.0000000E+000
