s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0093670E+000, 8.4938173E-002, 8.4938173E-002, 1.0000000E+000
 2.0028481E+000, 7.8660503E-002, 7.8660503E-002, 1.0000000E+000
 3.0018945E+000, 6.9091923E-002, 6.9091923E-002, 1.0000000E+000
 4.0090735E+000, 7.2852332E-002, 7.2852332E-002, 1.0000000E+000
 5.0092828E+000, 7.4214137E-002, 7.4214137E-002, 1.0000000E+000
 6.0019208E+000, 7.4710220E-002, 7.4710220E-002, 1.0000000E+000
 7.0055070E+000, 7.4894111E-002, 7.4894111E-002, 1.0000000E+000
 8.0070937E+000, 4.9227132E-002, 4.9227132E-002, 1.0000000E+000
 9.0050076E+000, 5.7878122E-002, 5.7878122E-002, 1.0000000E+000
 1.0000115E+001, 7.7647776E-002, 7.7647776E-002, 1.0000000E+000
 1.1003939E+001, 1.0768534E-001, 1.0768534E-001, 1.0000000E+000
 1.2002591E+001, 1.2694985E-001, 1.2694985E-001, 1.0000000E+000
 1.3002231E+001, 1.5736628E-001, 1.5736628E-001, 1.0000000E+000
 1.4005199E+001, 1.6855196E-001, 1.6855196E-001, 1.0000000E+000
 1.5000086E+001, 1.7895047E-001, 1.7895047E-001, 1.0000000E+000
 1.6000382E+001, 2.0810466E-001, 2.0810466E-001, 1.0000000E+000
 1.7000076E+001, 2.1880125E-001, 2.1880125E-001, 1.0000000E+000
 1.8002291E+001, 2.2273131E-001, 2.2273131E-001, 1.0000000E+000
 1.9003718E+001, 2.3226140E-001, 2.3226140E-001, 1.0000000E+000
 2.0004445E+001, 2.5933213E-001, 2.5933213E-001, 1.0000000E+000
 2.1003321E+001, 2.6924478E-001, 2.6924478E-001, 1.0000000E+000
 2.2001108E+001, 2.7288482E-001, 2.7288482E-001, 1.0000000E+000
 2.3002733E+001, 2.9576381E-001, 2.9576381E-001, 1.0000000E+000
 2.4005899E+001, 3.1431108E-001, 3.1431108E-001, 1.0000000E+000
 2.5004578E+001, 3.2107338E-001, 3.2107338E-001, 1.0000000E+000
 2.6005335E+001, 3.0789100E-001, 3.0789100E-001, 1.0000000E+000
 2.7004028E+001, 3.2088237E-001, 3.2088237E-001, 1.0000000E+000
 2.8000079E+001, 3.3532517E-001, 3.3532517E-001, 1.0000000E+000
 2.9001224E+001, 3.2905619E-001, 3.2905619E-001, 1.0000000E+000
 3.0002044E+001, 3.0139943E-001, 3.0139943E-001, 1.0000000E+000
 3.1000598E+001, 5.9709418E-001, 5.9709418E-001, 1.0000000E+000
