s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0092632E+000, 6.3285666E-002, 6.3285666E-002, 1.0000000E+000
 2.0112262E+000, 3.8937925E-002, 3.8937925E-002, 1.0000000E+000
 3.0094844E+000, 3.0096787E-002, 3.0096787E-002, 1.0000000E+000
 4.0077426E+000, 2.6863781E-002, 2.6863781E-002, 1.0000000E+000
 5.0021600E+000, 2.5685546E-002, 2.5685546E-002, 1.0000000E+000
 6.0071230E+000, 2.5249945E-002, 2.5249945E-002, 1.0000000E+000
 7.0048338E+000, 4.2047395E-002, 4.2047395E-002, 1.0000000E+000
 8.0021181E+000, 6.2884196E-002, 6.2884196E-002, 1.0000000E+000
 9.0050677E+000, 9.0746402E-002, 9.0746402E-002, 1.0000000E+000
 1.0001639E+001, 1.1239360E-001, 1.1239360E-001, 1.0000000E+000
 1.1001314E+001, 1.2037672E-001, 1.2037672E-001, 1.0000000E+000
 1.2004280E+001, 1.2331003E-001, 1.2331003E-001, 1.0000000E+000
 1.3004277E+001, 1.4171130E-001, 1.4171130E-001, 1.0000000E+000
 1.4006556E+001, 1.6282355E-001, 1.6282355E-001, 1.0000000E+000
 1.5003060E+001, 1.7052141E-001, 1.7052141E-001, 1.0000000E+000
 1.6002416E+001, 1.7335720E-001, 1.7335720E-001, 1.0000000E+000
 1.7007186E+001, 1.6659829E-001, 1.6659829E-001, 1.0000000E+000
 1.8001740E+001, 1.8478765E-001, 1.8478765E-001, 1.0000000E+000
 1.9000536E+001, 1.7295741E-001, 1.7295741E-001, 1.0000000E+000
 2.0005015E+001, 1.4740887E-001, 1.4740887E-001, 1.0000000E+000
 2.1002974E+001, 1.5473816E-001, 1.5473816E-001, 1.0000000E+000
 2.2002225E+001, 1.3913171E-001, 1.3913171E-001, 1.0000000E+000
 2.3001684E+001, 1.6084877E-001, 1.6084877E-001, 1.0000000E+000
 2.4003355E+001, 1.4410949E-001, 1.4410949E-001, 1.0000000E+000
 2.5002280E+001, 1.5009417E-001, 1.5009417E-001, 1.0000000E+000
 2.6000329E+001, 1.8070880E-001, 1.8070880E-001, 1.0000000E+000
 2.7002300E+001, 1.9918060E-001, 1.9918060E-001, 1.0000000E+000
 2.8004513E+001, 2.5534164E-001, 2.5534164E-001, 1.0000000E+000
 2.9002997E+001, 3.4046679E-001, 3.4046679E-001, 1.0000000E+000
 3.0004761E+001, 6.6115399E-001, 6.6115399E-001, 1.0000000E+000
 3.1000068E+001, 7.0093485E-001, 7.0093485E-001, 1.0000000E+000
