s,m,,
Time,xT,x,flag val
 0.0000000E+000, 2.5000000E-002, 2.5000000E-002, 1.0000000E+000
 1.0030290E+000, 4.5538478E-002, 4.5538478E-002, 1.0000000E+000
 2.0060428E+000, 3.2475520E-002, 3.2475520E-002, 1.0000000E+000
 3.0089321E+000, 2.7721696E-002, 2.7721696E-002, 1.0000000E+000
 4.0055684E+000, 2.5997660E-002, 2.5997660E-002, 1.0000000E+000
 5.0022047E+000, 2.5365700E-002, 2.5365700E-002, 1.0000000E+000
 6.0043715E+000, 2.5133325E-002, 2.5133325E-002, 1.0000000E+000
 7.0019464E+000, 2.5048896E-002, 2.5048896E-002, 1.0000000E+000
 8.0013257E+000, 2.5017909E-002, 2.5017909E-002, 1.0000000E+000
 9.0063233E+000, 2.5006526E-002, 2.5006526E-002, 1.0000000E+000
 1.0006346E+001, 2.5002392E-002, 2.5002392E-002, 1.0000000E+000
 1.1002222E+001, 2.5000881E-002, 2.5000881E-002, 1.0000000E+000
 1.2001459E+001, 5.4250684E-002, 5.4250684E-002, 1.0000000E+000
 1.3003486E+001, 6.7404768E-002, 6.7404768E-002, 1.0000000E+000
 1.4002975E+001, 7.2212780E-002, 7.2212780E-002, 1.0000000E+000
 1.5000822E+001, 7.3975616E-002, 7.3975616E-002, 1.0000000E+000
 1.6004248E+001, 7.4625685E-002, 7.4625685E-002, 1.0000000E+000
 1.7005052E+001, 7.4862835E-002, 7.4862835E-002, 1.0000000E+000
 1.8003834E+001, 9.5339721E-002, 9.5339721E-002, 1.0000000E+000
 1.9000933E+001, 1.1409445E-001, 1.1409445E-001, 1.0000000E+000
 2.0004089E+001, 1.2101629E-001, 1.2101629E-001, 1.0000000E+000
 2.1001855E+001, 1.2353615E-001, 1.2353615E-001, 1.0000000E+000
 2.2006867E+001, 1.2446594E-001, 1.2446594E-001, 1.0000000E+000
 2.3002288E+001, 1.2480329E-001, 1.2480329E-001, 1.0000000E+000
 2.4004330E+001, 1.2492805E-001, 1.2492805E-001, 1.0000000E+000
 2.5005363E+001, 1.2497366E-001, 1.2497366E-001, 1.0000000E+000
 2.6004095E+001, 1.2499034E-001, 1.2499034E-001, 1.0000000E+000
 2.7001277E+001, 1.2499645E-001, 1.2499645E-001, 1.0000000E+000
 2.8000390E+001, 1.5419495E-001, 1.5419495E-001, 1.0000000E+000
 2.9002754E+001, 1.6738951E-001, 1.6738951E-001, 1.0000000E+000
 3.0006579E+001, 1.7222026E-001, 1.7222026E-001, 1.0000000E+000
 3.1007082E+001, 1.7398172E-001, 1.7398172E-001, 1.0000000E+000
