s,C,C
Time,"cs-temp","hs-temp"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001
 1.0000000E+001, 2.0090423E+001, 2.5574741E+001
 2.0000000E+001, 2.0234383E+001, 3.5963999E+001
 3.0000000E+001, 2.0363025E+001, 4.5504863E+001
 4.0000000E+001, 2.0482103E+001, 5.4297566E+001
 5.0000000E+001, 2.0594166E+001, 6.2420311E+001
 6.0000000E+001, 2.0700730E+001, 6.9939940E+001
 7.0000000E+001, 2.0802770E+001, 7.6914745E+001
 8.0000000E+001, 2.0901016E+001, 8.3396456E+001
 9.0000000E+001, 2.0995987E+001, 8.9430483E+001
 1.0000000E+002, 2.1088113E+001, 9.5057738E+001
 1.1000000E+002, 2.1177714E+001, 1.0031441E+002
 1.2000000E+002, 2.1265074E+001, 1.0523273E+002
 1.3000000E+002, 2.1350408E+001, 1.0984169E+002
 1.4000000E+002, 2.1433920E+001, 1.1416775E+002
 1.5000000E+002, 2.1515769E+001, 1.1823468E+002
 1.6000000E+002, 2.1596090E+001, 1.2206433E+002
 1.7000000E+002, 2.1675018E+001, 1.2567639E+002
 1.8000000E+002, 2.1752646E+001, 1.2908887E+002
 1.9000000E+002, 2.1829079E+001, 1.3231811E+002
 2.0000000E+002, 2.1904408E+001, 1.3537905E+002
 2.1000000E+002, 2.1978706E+001, 1.3828538E+002
 2.2000000E+002, 2.2052031E+001, 1.4104974E+002
 2.3000000E+002, 2.2124468E+001, 1.4368349E+002
 2.4000000E+002, 2.2196047E+001, 1.4619696E+002
 2.5000000E+002, 2.2266863E+001, 1.4859971E+002
 2.6000000E+002, 2.2336925E+001, 1.5090027E+002
 2.7000000E+002, 2.2406280E+001, 1.5310664E+002
 2.8000000E+002, 2.2475014E+001, 1.5522605E+002
 2.9000000E+002, 2.2543131E+001, 1.5726511E+002
 3.0000000E+002, 2.2610688E+001, 1.5922996E+002
 3.1000000E+002, 2.2677727E+001, 1.6112610E+002
 3.2000000E+002, 2.2744265E+001, 1.6295844E+002
 3.3000000E+002, 2.2810378E+001, 1.6473154E+002
 3.4000000E+002, 2.2876111E+001, 1.6644984E+002
 3.5000000E+002, 2.2941454E+001, 1.6811719E+002
 3.6000000E+002, 2.3006511E+001, 1.6973732E+002
 3.7000000E+002, 2.3071322E+001, 1.7131347E+002
 3.8000000E+002, 2.3135884E+001, 1.7284880E+002
 3.9000000E+002, 2.3200301E+001, 1.7434610E+002
 4.0000000E+002, 2.3264652E+001, 1.7580789E+002
 4.1000000E+002, 2.3328905E+001, 1.7723660E+002
 4.2000000E+002, 2.3393209E+001, 1.7863433E+002
 4.3000000E+002, 2.3457599E+001, 1.8000316E+002
 4.4000000E+002, 2.3522082E+001, 1.8134486E+002
 4.5000000E+002, 2.3586842E+001, 1.8266111E+002
 4.6000000E+002, 2.3651885E+001, 1.8395342E+002
 4.7000000E+002, 2.3717254E+001, 1.8522327E+002
 4.8000000E+002, 2.3783122E+001, 1.8647190E+002
 4.9000000E+002, 2.3849531E+001, 1.8770049E+002
 5.0000000E+002, 2.3916470E+001, 1.8891020E+002
 5.1000000E+002, 2.3984228E+001, 1.9010202E+002
 5.2000000E+002, 2.4052744E+001, 1.9127719E+002
 5.3000000E+002, 2.4122084E+001, 1.9243653E+002
 5.4000000E+002, 2.4192556E+001, 1.9358086E+002
 5.5000000E+002, 2.4263990E+001, 1.9471079E+002
 5.6000000E+002, 2.4336631E+001, 1.9582701E+002
 5.7000000E+002, 2.4410669E+001, 1.9693003E+002
 5.8000000E+002, 2.4485903E+001, 1.9802041E+002
 5.9000000E+002, 2.4562921E+001, 1.9909869E+002
 6.0000000E+002, 2.4641304E+001, 2.0016525E+002
 6.1000000E+002, 2.4721543E+001, 2.0122056E+002
 6.2000000E+002, 2.4803600E+001, 2.0226470E+002
 6.3000000E+002, 2.4887544E+001, 2.0329806E+002
 6.4000000E+002, 2.4973666E+001, 2.0432087E+002
 6.5000000E+002, 2.5061858E+001, 2.0533352E+002
 6.6000000E+002, 2.5152415E+001, 2.0633628E+002
 6.7000000E+002, 2.5245419E+001, 2.0732941E+002
 6.8000000E+002, 2.5340869E+001, 2.0831315E+002
 6.9000000E+002, 2.5439047E+001, 2.0928770E+002
 7.0000000E+002, 2.5539975E+001, 2.1025338E+002
 7.1000000E+002, 2.5643836E+001, 2.1121025E+002
 7.2000000E+002, 2.5750692E+001, 2.1215857E+002
 7.3000000E+002, 2.5860737E+001, 2.1309846E+002
 7.4000000E+002, 2.5974064E+001, 2.1403014E+002
 7.5000000E+002, 2.6090788E+001, 2.1495369E+002
 7.6000000E+002, 2.6211057E+001, 2.1586928E+002
 7.7000000E+002, 2.6335034E+001, 2.1677704E+002
 7.8000000E+002, 2.6462768E+001, 2.1767704E+002
 7.9000000E+002, 2.6594462E+001, 2.1856946E+002
 8.0000000E+002, 2.6730291E+001, 2.1945432E+002
 8.1000000E+002, 2.6870266E+001, 2.2033178E+002
 8.2000000E+002, 2.7014611E+001, 2.2120186E+002
 8.3000000E+002, 2.7163509E+001, 2.2206471E+002
 8.4000000E+002, 2.7317031E+001, 2.2292037E+002
 8.5000000E+002, 2.7475339E+001, 2.2376891E+002
 8.6000000E+002, 2.7638583E+001, 2.2461043E+002
 8.7000000E+002, 2.7806923E+001, 2.2544494E+002
 8.8000000E+002, 2.7980535E+001, 2.2627257E+002
 8.9000000E+002, 2.8159562E+001, 2.2709331E+002
 9.0000000E+002, 2.8344172E+001, 2.2790727E+002
 9.1000000E+002, 2.8534519E+001, 2.2871452E+002
 9.2000000E+002, 2.8730773E+001, 2.2951540E+002
 9.3000000E+002, 2.8933125E+001, 2.3030996E+002
 9.4000000E+002, 2.9141694E+001, 2.3109822E+002
 9.5000000E+002, 2.9356708E+001, 2.3188022E+002
 9.6000000E+002, 2.9578392E+001, 2.3265594E+002
 9.7000000E+002, 2.9806883E+001, 2.3342545E+002
 9.8000000E+002, 3.0042360E+001, 2.3418871E+002
 9.9000000E+002, 3.0285051E+001, 2.3494581E+002
 1.0000000E+003, 3.0535162E+001, 2.3569681E+002
 1.0100000E+003, 3.0792866E+001, 2.3686030E+002
 1.0200000E+003, 3.1058445E+001, 2.3982568E+002
 1.0300000E+003, 3.1332043E+001, 2.4476158E+002
 1.0400000E+003, 3.1613971E+001, 2.5151387E+002
 1.0500000E+003, 3.1904381E+001, 2.5990630E+002
 1.0600000E+003, 3.2203599E+001, 2.6979083E+002
 1.0700000E+003, 3.2511709E+001, 2.8100147E+002
 1.0800000E+003, 3.2829124E+001, 2.9340602E+002
 1.0900000E+003, 3.3156030E+001, 3.0685737E+002
 1.1000000E+003, 3.3492732E+001, 3.2123646E+002
 1.1100000E+003, 3.3839390E+001, 3.3603047E+002
 1.1200000E+003, 3.4196437E+001, 3.4989773E+002
 1.1300000E+003, 3.4564037E+001, 3.6260478E+002
 1.1400000E+003, 3.4942517E+001, 3.7425689E+002
 1.1500000E+003, 3.5332141E+001, 3.8497374E+002
 1.1600000E+003, 3.5733155E+001, 3.9487009E+002
 1.1700000E+003, 3.6146028E+001, 4.0405126E+002
 1.1800000E+003, 3.6570945E+001, 4.1260992E+002
 1.1900000E+003, 3.7008318E+001, 4.2062841E+002
 1.2000000E+003, 3.7458436E+001, 4.2817985E+002
 1.2100000E+003, 3.7921620E+001, 4.3532688E+002
 1.2200000E+003, 3.8398220E+001, 4.4212258E+002
 1.2300000E+003, 3.8888625E+001, 4.4861368E+002
 1.2400000E+003, 3.9393093E+001, 4.5484080E+002
 1.2500000E+003, 3.9912471E+001, 4.6083858E+002
 1.2600000E+003, 4.0447067E+001, 4.6663641E+002
 1.2700000E+003, 4.0997293E+001, 4.7225898E+002
 1.2800000E+003, 4.1564103E+001, 4.7772805E+002
 1.2900000E+003, 4.2148128E+001, 4.8306146E+002
 1.3000000E+003, 4.2750141E+001, 4.8827444E+002
 1.3100000E+003, 4.3371195E+001, 4.9337949E+002
 1.3200000E+003, 4.4012454E+001, 4.9838591E+002
 1.3300000E+003, 4.4675196E+001, 5.0330745E+002
 1.3400000E+003, 4.5360946E+001, 5.0816267E+002
 1.3500000E+003, 4.6071435E+001, 5.1295597E+002
 1.3600000E+003, 4.6808299E+001, 5.1768907E+002
 1.3700000E+003, 4.7573752E+001, 5.2236418E+002
 1.3800000E+003, 4.8370014E+001, 5.2698312E+002
 1.3900000E+003, 4.9199760E+001, 5.3154765E+002
 1.4000000E+003, 5.0065628E+001, 5.3605937E+002
 1.4100000E+003, 5.0970334E+001, 5.4051915E+002
 1.4200000E+003, 5.1916918E+001, 5.4492694E+002
 1.4300000E+003, 5.2908680E+001, 5.4928338E+002
 1.4400000E+003, 5.3948713E+001, 5.5358975E+002
 1.4500000E+003, 5.5040568E+001, 5.5784700E+002
 1.4600000E+003, 5.6188023E+001, 5.6205617E+002
 1.4700000E+003, 5.7394175E+001, 5.6621805E+002
 1.4800000E+003, 5.8662263E+001, 5.7033336E+002
 1.4900000E+003, 5.9996160E+001, 5.7440282E+002
 1.5000000E+003, 6.1398808E+001, 5.7842693E+002
 1.5100000E+003, 6.2873460E+001, 5.8240596E+002
 1.5200000E+003, 6.4421285E+001, 5.8633924E+002
 1.5300000E+003, 6.6045840E+001, 5.9022712E+002
 1.5400000E+003, 6.7749357E+001, 5.9407013E+002
 1.5500000E+003, 6.9530111E+001, 5.9786886E+002
 1.5600000E+003, 7.1392484E+001, 6.0162323E+002
 1.5700000E+003, 7.3333457E+001, 6.0533133E+002
 1.5800000E+003, 7.5352569E+001, 6.0899358E+002
 1.5900000E+003, 7.7448531E+001, 6.1261101E+002
 1.6000000E+003, 7.9618620E+001, 6.1618476E+002
 1.6100000E+003, 8.1858103E+001, 6.1971521E+002
 1.6200000E+003, 8.4162514E+001, 6.2320216E+002
 1.6300000E+003, 8.6526998E+001, 6.2664592E+002
 1.6400000E+003, 8.8944762E+001, 6.3004738E+002
 1.6500000E+003, 9.1407582E+001, 6.3340719E+002
 1.6600000E+003, 9.3906898E+001, 6.3672605E+002
 1.6700000E+003, 9.6435753E+001, 6.4000463E+002
 1.6800000E+003, 9.8981250E+001, 6.4324347E+002
 1.6900000E+003, 1.0153498E+002, 6.4644313E+002
 1.7000000E+003, 1.0408460E+002, 6.4960412E+002
 1.7100000E+003, 1.0661911E+002, 6.5272684E+002
 1.7200000E+003, 1.0913063E+002, 6.5581081E+002
 1.7300000E+003, 1.1160664E+002, 6.5885646E+002
 1.7400000E+003, 1.1404020E+002, 6.6186433E+002
 1.7500000E+003, 1.1641861E+002, 6.6483506E+002
 1.7600000E+003, 1.1873502E+002, 6.6776926E+002
 1.7700000E+003, 1.2098259E+002, 6.7066743E+002
 1.7800000E+003, 1.2315240E+002, 6.7353019E+002
 1.7900000E+003, 1.2523840E+002, 6.7635801E+002
 1.8000000E+003, 1.2723549E+002, 6.7915145E+002
 1.8100000E+003, 1.2913855E+002, 6.8191066E+002
 1.8200000E+003, 1.3094486E+002, 6.8463539E+002
 1.8300000E+003, 1.3264953E+002, 6.8732587E+002
 1.8400000E+003, 1.3425372E+002, 6.8998270E+002
 1.8500000E+003, 1.3575554E+002, 6.9260653E+002
 1.8600000E+003, 1.3715599E+002, 6.9519783E+002
 1.8700000E+003, 1.3845297E+002, 6.9775728E+002
 1.8800000E+003, 1.3965062E+002, 7.0028524E+002
 1.8900000E+003, 1.4075180E+002, 7.0278228E+002
 1.9000000E+003, 1.4175738E+002, 7.0524863E+002
 1.9100000E+003, 1.4267096E+002, 7.0768466E+002
 1.9200000E+003, 1.4349569E+002, 7.1009013E+002
 1.9300000E+003, 1.4423749E+002, 7.1246538E+002
 1.9400000E+003, 1.4490015E+002, 7.1481101E+002
 1.9500000E+003, 1.4548598E+002, 7.1712747E+002
 1.9600000E+003, 1.4600163E+002, 7.1941529E+002
 1.9700000E+003, 1.4645258E+002, 7.2162841E+002
 1.9800000E+003, 1.4684166E+002, 7.2370000E+002
 1.9900000E+003, 1.4717453E+002, 7.2567087E+002
 2.0000000E+003, 1.4745545E+002, 7.2758003E+002
 2.0100000E+003, 1.4768863E+002, 7.2944124E+002
 2.0200000E+003, 1.4787843E+002, 7.3123978E+002
 2.0300000E+003, 1.4803010E+002, 7.3294670E+002
 2.0400000E+003, 1.4814531E+002, 7.3458392E+002
 2.0500000E+003, 1.4823214E+002, 7.3617372E+002
 2.0600000E+003, 1.4828902E+002, 7.3772522E+002
 2.0700000E+003, 1.4832357E+002, 7.3924465E+002
 2.0800000E+003, 1.4833584E+002, 7.4074704E+002
 2.0900000E+003, 1.4833154E+002, 7.4228150E+002
 2.1000000E+003, 1.4831223E+002, 7.4385263E+002
 2.1100000E+003, 1.4828020E+002, 7.4544994E+002
 2.1200000E+003, 1.4824093E+002, 7.4706546E+002
 2.1300000E+003, 1.4819060E+002, 7.4869329E+002
 2.1400000E+003, 1.4813383E+002, 7.5033010E+002
 2.1500000E+003, 1.4807571E+002, 7.5199377E+002
 2.1600000E+003, 1.4801250E+002, 7.5369427E+002
 2.1700000E+003, 1.4794699E+002, 7.5542552E+002
 2.1800000E+003, 1.4788589E+002, 7.5718156E+002
 2.1900000E+003, 1.4781991E+002, 7.5895770E+002
 2.2000000E+003, 1.4775826E+002, 7.6074951E+002
 2.2100000E+003, 1.4770174E+002, 7.6255301E+002
 2.2200000E+003, 1.4764490E+002, 7.6436443E+002
 2.2300000E+003, 1.4759403E+002, 7.6618133E+002
 2.2400000E+003, 1.4755004E+002, 7.6799987E+002
 2.2500000E+003, 1.4750768E+002, 7.6981699E+002
 2.2600000E+003, 1.4747210E+002, 7.7161448E+002
 2.2700000E+003, 1.4744279E+002, 7.7336960E+002
 2.2800000E+003, 1.4742083E+002, 7.7508740E+002
 2.2900000E+003, 1.4740643E+002, 7.7677282E+002
 2.3000000E+003, 1.4739853E+002, 7.7842922E+002
 2.3100000E+003, 1.4739674E+002, 7.8005924E+002
 2.3200000E+003, 1.4740320E+002, 7.8166087E+002
 2.3300000E+003, 1.4741820E+002, 7.8323331E+002
 2.3400000E+003, 1.4743858E+002, 7.8477975E+002
 2.3500000E+003, 1.4746954E+002, 7.8630247E+002
 2.3600000E+003, 1.4751057E+002, 7.8780337E+002
 2.3700000E+003, 1.4755870E+002, 7.8928408E+002
 2.3800000E+003, 1.4761087E+002, 7.9074568E+002
 2.3900000E+003, 1.4767718E+002, 7.9218905E+002
 2.4000000E+003, 1.4774877E+002, 7.9361526E+002
 2.4100000E+003, 1.4782939E+002, 7.9502463E+002
 2.4200000E+003, 1.4791904E+002, 7.9641726E+002
 2.4300000E+003, 1.4801567E+002, 7.9779367E+002
 2.4400000E+003, 1.4812137E+002, 7.9915418E+002
 2.4500000E+003, 1.4823496E+002, 8.0049872E+002
 2.4600000E+003, 1.4835563E+002, 8.0182367E+002
 2.4700000E+003, 1.4848421E+002, 8.0312912E+002
 2.4800000E+003, 1.4862017E+002, 8.0441716E+002
 2.4900000E+003, 1.4876303E+002, 8.0568896E+002
 2.5000000E+003, 1.4891349E+002, 8.0694550E+002
 2.5100000E+003, 1.4907010E+002, 8.0818743E+002
 2.5200000E+003, 1.4923371E+002, 8.0941501E+002
 2.5300000E+003, 1.4940298E+002, 8.1062857E+002
 2.5400000E+003, 1.4957868E+002, 8.1182867E+002
 2.5500000E+003, 1.4976075E+002, 8.1301563E+002
 2.5600000E+003, 1.4994812E+002, 8.1418988E+002
 2.5700000E+003, 1.5014093E+002, 8.1535177E+002
 2.5800000E+003, 1.5033836E+002, 8.1650158E+002
 2.5900000E+003, 1.5054056E+002, 8.1763958E+002
 2.6000000E+003, 1.5074754E+002, 8.1876600E+002
 2.6100000E+003, 1.5095847E+002, 8.1988105E+002
 2.6200000E+003, 1.5117394E+002, 8.2098445E+002
 2.6300000E+003, 1.5139362E+002, 8.2207641E+002
 2.6400000E+003, 1.5161665E+002, 8.2315716E+002
 2.6500000E+003, 1.5184264E+002, 8.2422697E+002
 2.6600000E+003, 1.5207251E+002, 8.2528606E+002
 2.6700000E+003, 1.5230478E+002, 8.2633462E+002
 2.6800000E+003, 1.5254000E+002, 8.2737293E+002
 2.6900000E+003, 1.5277827E+002, 8.2840106E+002
 2.7000000E+003, 1.5301927E+002, 8.2941940E+002
 2.7100000E+003, 1.5326202E+002, 8.3042784E+002
 2.7200000E+003, 1.5350700E+002, 8.3142649E+002
 2.7300000E+003, 1.5375505E+002, 8.3241549E+002
 2.7400000E+003, 1.5400385E+002, 8.3339499E+002
 2.7500000E+003, 1.5425462E+002, 8.3436515E+002
 2.7600000E+003, 1.5450751E+002, 8.3532616E+002
 2.7700000E+003, 1.5476081E+002, 8.3627832E+002
 2.7800000E+003, 1.5501539E+002, 8.3722165E+002
 2.7900000E+003, 1.5527136E+002, 8.3815631E+002
 2.8000000E+003, 1.5552806E+002, 8.3908248E+002
 2.8100000E+003, 1.5578595E+002, 8.4000014E+002
 2.8200000E+003, 1.5604338E+002, 8.4090915E+002
 2.8300000E+003, 1.5630325E+002, 8.4180949E+002
 2.8400000E+003, 1.5656164E+002, 8.4270140E+002
 2.8500000E+003, 1.5682215E+002, 8.4358499E+002
