m,C,mol/mol,mol/mol,mol/mol,mol/mol,C,mol/mol,mol/mol,mol/mol,mol/mol,C,mol/mol,mol/mol,mol/mol,mol/mol
Width,T_7_mm,O2_7_mm,Fuel_7_mm,CO_7_mm,CO2_7_mm,T_9_mm,O2_9_mm,Fuel_9_mm,CO_9_mm,CO2_9_mm,T_11_mm,O2_11_mm,Fuel_11_mm,CO_11_mm,CO2_11_mm
 1.2500000E-004, 1.8328605E+002, 1.5518181E-003, 9.1282798E-001, 3.9314897E-003, 2.3770581E-003, 2.9271905E+002, 2.2943114E-003, 8.2970864E-001, 7.3223352E-003, 6.0651087E-003, 3.9723145E+002, 2.6435595E-003, 7.4694162E-001, 1.0282695E-002, 1.0684703E-002
 3.7715517E-004, 1.9875660E+002, 1.7203196E-003, 8.9941098E-001, 4.5230054E-003, 3.0146697E-003, 3.0946928E+002, 2.3980887E-003, 8.1429111E-001, 7.9290911E-003, 7.0315314E-003, 4.1305871E+002, 2.6824377E-003, 7.3236051E-001, 1.0776617E-002, 1.1778205E-002
 6.2931034E-004, 2.2842676E+002, 2.0335643E-003, 8.7327566E-001, 5.6673771E-003, 4.2993459E-003, 3.4140822E+002, 2.5827779E-003, 7.8491367E-001, 9.0710611E-003, 8.9022650E-003, 4.4346877E+002, 2.7475233E-003, 7.0461894E-001, 1.1701617E-002, 1.3874322E-002
 8.8146552E-004, 2.7027652E+002, 2.4492357E-003, 8.3572779E-001, 7.2917885E-003, 6.2366893E-003, 3.8608718E+002, 2.8085300E-003, 7.4405707E-001, 1.0626264E-002, 1.1568585E-002, 4.8641039E+002, 2.8179312E-003, 6.6614716E-001, 1.2950330E-002, 1.6816462E-002
 1.1336207E-003, 3.2223971E+002, 2.9149422E-003, 7.8848102E-001, 9.2994697E-003, 8.8150607E-003, 4.4101357E+002, 3.0356510E-003, 6.9457613E-001, 1.2453557E-002, 1.4900586E-002, 5.3963965E+002, 2.8711237E-003, 6.1973322E-001, 1.4399083E-002, 2.0422545E-002
 1.3857759E-003, 3.8261187E+002, 3.3753258E-003, 7.3350852E-001, 1.1578618E-002, 1.1995410E-002, 5.0411165E+002, 3.2260582E-003, 6.3925350E-001, 1.4415893E-002, 1.8763645E-002, 6.0114230E+002, 2.8883591E-003, 5.6803672E-001, 1.5930297E-002, 2.4515299E-002
 1.6379310E-003, 4.5013032E+002, 3.7831504E-003, 6.7292076E-001, 1.4010482E-002, 1.5709257E-002, 5.7380335E+002, 3.3517089E-003, 5.8060229E-001, 1.6393838E-002, 2.3026420E-002, 6.6913135E+002, 2.8493500E-003, 5.1812133E-001, 1.7398643E-002, 2.8862983E-002
 1.8900862E-003, 5.2387998E+002, 4.1040823E-003, 6.0886088E-001, 1.6477209E-002, 1.9864287E-002, 6.4885260E+002, 3.3920561E-003, 5.2280354E-001, 1.8266170E-002, 2.7537060E-002, 7.4202521E+002, 2.7536302E-003, 4.6894273E-001, 1.8764638E-002, 3.3359902E-002
 2.1422414E-003, 6.0317478E+002, 4.3054834E-003, 5.4361762E-001, 1.8871838E-002, 2.4354737E-002, 7.2804586E+002, 3.3367657E-003, 4.6951629E-001, 1.9945431E-002, 3.2140051E-002, 8.1859994E+002, 2.6038840E-003, 4.2082848E-001, 1.9982232E-002, 3.7908954E-002
 2.3943966E-003, 6.8706753E+002, 4.3566821E-003, 4.8518776E-001, 2.1024188E-002, 2.8975370E-002, 8.1043140E+002, 3.1967703E-003, 4.1780054E-001, 2.1427161E-002, 3.6797498E-002, 8.9789980E+002, 2.4061348E-003, 3.7448116E-001, 2.1024684E-002, 4.2426610E-002
 2.6465517E-003, 7.7472105E+002, 4.2727394E-003, 4.2835052E-001, 2.2960805E-002, 3.3708991E-002, 8.9526785E+002, 2.9813974E-003, 3.6843633E-001, 2.2677798E-002, 4.1430732E-002, 9.7899690E+002, 2.1684525E-003, 3.3038416E-001, 2.1876793E-002, 4.6834695E-002
 2.8987069E-003, 8.6545405E+002, 4.0622552E-003, 3.7423293E-001, 2.4620510E-002, 3.8469528E-002, 9.8170227E+002, 2.7029240E-003, 3.2186447E-001, 2.3681763E-002, 4.5959742E-002, 1.0611853E+003, 1.9009926E-003, 2.8894207E-001, 2.2541110E-002, 5.1085868E-002
 3.1508621E-003, 9.5833839E+002, 3.7395733E-003, 3.2336135E-001, 2.5969645E-002, 4.3167295E-002, 1.0691131E+003, 2.3770584E-003, 2.7847243E-001, 2.4446674E-002, 5.0342712E-002, 1.1437528E+003, 1.6140002E-003, 2.5036012E-001, 2.3026470E-002, 5.5141316E-002
 3.4030172E-003, 1.0526943E+003, 3.3258613E-003, 2.7620829E-001, 2.7009634E-002, 4.7757174E-002, 1.1567555E+003, 2.0193046E-003, 2.3839982E-001, 2.4983996E-002, 5.4537729E-002, 1.2260077E+003, 1.3173383E-003, 2.1471269E-001, 2.3346955E-002, 5.8972775E-002
 3.6551724E-003, 1.1476515E+003, 2.8425111E-003, 2.3294018E-001, 2.7747968E-002, 5.2191564E-002, 1.2438690E+003, 1.6446392E-003, 2.0166522E-001, 2.5311868E-002, 5.8514273E-002, 1.3074398E+003, 1.0201254E-003, 1.8198262E-001, 2.3519958E-002, 6.2561627E-002
 3.9073276E-003, 1.2422966E+003, 2.3100690E-003, 1.9357543E-001, 2.8203665E-002, 5.6434516E-002, 1.3299611E+003, 1.2668521E-003, 1.6819936E-001, 2.5452322E-002, 6.2251424E-002, 1.3874260E+003, 7.3056227E-004, 1.5208719E-001, 2.3564275E-002, 6.5897663E-002
 4.1594828E-003, 1.3360042E+003, 1.7459159E-003, 1.5801991E-001, 2.8404616E-002, 6.0459620E-002, 1.4142532E+003, 8.9852676E-004, 1.3787077E-001, 2.5429006E-002, 6.5736048E-002, 1.4654238E+003, 4.5606317E-004, 1.2489814E-001, 2.3498582E-002, 6.8985410E-002
 4.4116379E-003, 1.4278720E+003, 1.1624369E-003, 1.2609737E-001, 2.8385877E-002, 6.4247136E-002, 1.4961330E+003, 5.5453444E-004, 1.1050741E-001, 2.5263907E-002, 6.8966065E-002, 1.5409580E+003, 2.1243080E-004, 1.0026202E-001, 2.3339023E-002, 7.1818954E-002
 4.6637931E-003, 1.5171538E+003, 5.9049763E-004, 9.7579175E-002, 2.8182497E-002, 6.7785159E-002, 1.5745691E+003, 3.1771018E-004, 8.5951533E-002, 2.4935438E-002, 7.1941054E-002, 1.6120714E+003, 1.9325621E-004, 7.8133857E-002, 2.2965463E-002, 7.4411054E-002
 4.9159483E-003, 1.5991332E+003, 5.2940714E-004, 7.2531165E-002, 2.7477789E-002, 7.1077454E-002, 1.6472863E+003, 4.0302733E-004, 6.4132963E-002, 2.4308830E-002, 7.4671557E-002, 1.6787049E+003, 3.6321302E-004, 5.8298238E-002, 2.2424118E-002, 7.6770113E-002
 5.1681034E-003, 1.6734029E+003, 9.5182099E-004, 5.0624891E-002, 2.6340119E-002, 7.4118030E-002, 1.7134275E+003, 8.7018630E-004, 4.4851435E-002, 2.3376036E-002, 7.7165480E-002, 1.7393278E+003, 8.6909232E-004, 4.0661713E-002, 2.1631434E-002, 7.8914595E-002
 5.4202586E-003, 1.7361209E+003, 2.2286180E-003, 3.1795648E-002, 2.4557248E-002, 7.6897819E-002, 1.7689816E+003, 2.1287652E-003, 2.8139070E-002, 2.1876727E-002, 7.9423513E-002, 1.7896610E+003, 2.1687346E-003, 2.5322981E-002, 2.0290434E-002, 8.0840097E-002
 5.6724138E-003, 1.7774283E+003, 5.5005852E-003, 1.6483006E-002, 2.1409407E-002, 7.9485973E-002, 1.8042060E+003, 5.3201556E-003, 1.4498468E-002, 1.9069498E-002, 8.1532211E-002, 1.8195180E+003, 5.4546203E-003, 1.2848335E-002, 1.7619625E-002, 8.2633133E-002
 5.9245690E-003, 1.7703212E+003, 1.3758956E-002, 6.2008478E-003, 1.4976067E-002, 8.1771446E-002, 1.7925119E+003, 1.3398697E-002, 5.4705151E-003, 1.3036579E-002, 8.3400119E-002, 1.8013445E+003, 1.3797403E-002, 4.8594141E-003, 1.1624767E-002, 8.4205564E-002
 6.1767241E-003, 1.6489744E+003, 3.3097560E-002, 2.3539976E-003, 8.4651602E-003, 7.7053637E-002, 1.6768582E+003, 3.1510633E-002, 2.0801807E-003, 7.3142625E-003, 7.8564414E-002, 1.6871392E+003, 3.1308152E-002, 1.8505120E-003, 6.4856578E-003, 7.9102850E-002
 6.4288793E-003, 1.4730846E+003, 5.6629359E-002, 8.9557033E-004, 4.8594466E-003, 6.6912095E-002, 1.5126413E+003, 5.3408421E-002, 7.9205171E-004, 4.1097202E-003, 6.8940122E-002, 1.5297114E+003, 5.2198390E-002, 7.0522290E-004, 3.6039229E-003, 6.9727570E-002
 6.6810345E-003, 1.2761773E+003, 8.0732060E-002, 3.4044257E-004, 3.0008868E-003, 5.5012949E-002, 1.3292261E+003, 7.5907810E-002, 3.0113682E-004, 2.4296272E-003, 5.7721212E-002, 1.3549959E+003, 7.3633316E-002, 2.6826639E-004, 2.0825913E-003, 5.8937971E-002
 6.9331897E-003, 1.0760547E+003, 1.0382309E-001, 1.2915271E-004, 2.0807185E-003, 4.3245086E-002, 1.1421200E+003, 9.7618889E-002, 1.1417074E-004, 1.5739245E-003, 4.6556295E-002, 1.1767729E+003, 9.4375661E-002, 1.0172898E-004, 1.2965210E-003, 4.8201845E-002
 7.1853448E-003, 8.8219419E+002, 1.2515229E-001, 4.8878050E-005, 1.6353190E-003, 3.2530072E-002, 9.5935815E+002, 1.1789177E-001, 4.3136203E-005, 1.1488386E-003, 3.6245373E-002, 1.0021041E+003, 1.1384938E-001, 3.8428056E-005, 8.9585188E-004, 3.8230711E-002
 7.4375000E-003, 7.0080436E+002, 1.4429853E-001, 1.8452731E-005, 1.3955107E-003, 2.3322719E-002, 7.8594581E+002, 1.3637393E-001, 1.6234006E-005, 9.3611026E-004, 2.7175225E-002, 8.3528642E+002, 1.3174606E-001, 1.4451623E-005, 6.9376540E-004, 2.9365065E-002
 7.6896552E-003, 5.3697281E+002, 1.6097017E-001, 6.9486979E-006, 1.2212690E-003, 1.5831719E-002, 6.2579236E+002, 1.5282969E-001, 6.0819899E-006, 8.1445126E-004, 1.9528518E-002, 6.7957458E+002, 1.4786434E-001, 5.4064705E-006, 5.8483961E-004, 2.1763576E-002
 7.9418103E-003, 3.9539066E+002, 1.7494706E-001, 2.6081082E-006, 1.0402894E-003, 1.0097560E-002, 4.8251843E+002, 1.6707574E-001, 2.2656347E-006, 7.1974045E-004, 1.3368339E-002, 5.3794342E+002, 1.6204729E-001, 2.0093293E-006, 5.1506165E-004, 1.5486001E-002
 8.1939655E-003, 2.8009939E+002, 1.8608285E-001, 9.7464661E-007, 8.3850832E-004, 6.0239708E-003, 3.5958668E+002, 1.7897035E-001, 8.3760485E-007, 6.1923677E-004, 8.6678515E-003, 4.1332014E+002, 1.7416804E-001, 7.4030564E-007, 4.5289207E-004, 1.0524520E-002
 8.4461207E-003, 1.9324451E+002, 1.9437339E-001, 3.6227244E-007, 6.2589323E-004, 3.3839083E-003, 2.5978890E+002, 1.8843725E-001, 3.0669770E-007, 5.0791534E-004, 5.3134360E-003, 3.0834225E+002, 1.8414053E-001, 2.6971177E-007, 3.8628790E-004, 6.8083087E-003
 8.6982759E-003, 1.3354208E+002, 2.0004906E-001, 1.3390142E-007, 4.3021257E-004, 1.8460416E-003, 1.8421222E+002, 1.9552280E-001, 1.1106100E-007, 3.9055830E-004, 3.1058676E-003, 2.2471482E+002, 1.9195417E-001, 9.6915847E-008, 3.1432849E-004, 4.2009329E-003
 8.9504310E-003, 9.6177470E+001, 2.0359882E-001, 4.9261412E-008, 2.7328381E-004, 1.0435771E-003, 1.3131130E+002, 2.0045301E-001, 3.9785157E-008, 2.8039570E-004, 1.7803787E-003, 1.6236044E+002, 1.9772055E-001, 3.4297156E-008, 2.4166989E-004, 2.5064090E-003
 9.2025862E-003, 7.4660599E+001, 2.0564147E-001, 1.8068772E-008, 1.6196744E-004, 6.6418878E-004, 9.7093550E+001, 2.0363069E-001, 1.4135426E-008, 1.8835895E-004, 1.0552230E-003, 1.1904143E+002, 2.0170058E-001, 1.1962375E-008, 1.7524707E-004, 1.4924809E-003
 9.4547414E-003, 6.3059513E+001, 2.0674019E-001, 6.6167792E-009, 9.0600891E-005, 4.9839441E-004, 7.6462141E+001, 2.0553958E-001, 5.0013104E-009, 1.1921312E-004, 6.9034024E-004, 9.0917340E+001, 2.0427058E-001, 4.1251951E-009, 1.2018654E-004, 9.3252462E-004
