m,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
Width,T_7_mm,O2_7_mm,Fuel_7_mm,CO_7_mm,CO2_7_mm,H2_7_mm,H2O_7_mm,T_9_mm,O2_9_mm,Fuel_9_mm,CO_9_mm,CO2_9_mm,H2_9_mm,H2O_9_mm,T_11_mm,O2_11_mm,Fuel_11_mm,CO_11_mm,CO2_11_mm,H2_11_mm,H2O_11_mm
 1.2500000E-004, 1.5791322E+002, 2.6213144E-003, 9.1731627E-001, 2.4656106E-003, 5.1317822E-003, 3.0820132E-003, 1.2878469E-002, 2.5813796E+002, 4.4016007E-003, 8.3479252E-001, 4.6276964E-003, 1.0810436E-002, 5.7846205E-003, 2.6622382E-002, 3.5852390E+002, 5.5465922E-003, 7.5111429E-001, 6.7744921E-003, 1.6894696E-002, 8.4681151E-003, 4.1174314E-002
 3.7715517E-004, 1.7164097E+002, 2.9771375E-003, 9.0474512E-001, 2.7051830E-003, 6.0120617E-003, 3.3814788E-003, 1.4937108E-002, 2.7410209E+002, 4.6895096E-003, 8.1986313E-001, 4.9109880E-003, 1.1917566E-002, 6.1387350E-003, 2.9189097E-002, 3.7412649E+002, 5.7059233E-003, 7.3690761E-001, 7.0456045E-003, 1.7999237E-002, 8.8070057E-003, 4.3719365E-002
 6.2931034E-004, 1.9822112E+002, 3.6561687E-003, 8.8010500E-001, 3.1745064E-003, 7.7459401E-003, 3.9681331E-003, 1.8988845E-002, 3.0457344E+002, 5.2143958E-003, 7.9141098E-001, 5.4563328E-003, 1.4035043E-002, 6.8204159E-003, 3.4099639E-002, 4.0404354E+002, 5.9876489E-003, 7.0993890E-001, 7.5655648E-003, 2.0102225E-002, 9.4569560E-003, 4.8566909E-002
 8.8146552E-004, 2.3617976E+002, 4.5953573E-003, 8.4442658E-001, 3.8555827E-003, 1.0275608E-002, 4.8194784E-003, 2.4894666E-002, 3.4725719E+002, 5.8900560E-003, 7.5184072E-001, 6.2271529E-003, 1.6997183E-002, 7.7839411E-003, 4.0972322E-002, 4.4617061E+002, 6.3324973E-003, 6.7266062E-001, 8.2955962E-003, 2.3022590E-002, 1.0369495E-002, 5.5302541E-002
 1.1336207E-003, 2.8389309E+002, 5.7085391E-003, 7.9920438E-001, 4.7253518E-003, 1.3513046E-002, 5.9066898E-003, 3.2446862E-002, 3.9980645E+002, 6.6173525E-003, 7.0394233E-001, 7.1802822E-003, 2.0611787E-002, 8.9753527E-003, 4.9363840E-002, 4.9823518E+002, 6.6744886E-003, 6.2789429E-001, 9.1894223E-003, 2.6551998E-002, 1.1486778E-002, 6.3448262E-002
 1.3857759E-003, 3.3990797E+002, 6.8961487E-003, 7.4630091E-001, 5.7578207E-003, 1.7343382E-002, 7.1972759E-003, 4.1378275E-002, 4.6025282E+002, 7.3051813E-003, 6.5043541E-001, 8.2721151E-003, 2.4689912E-002, 1.0340144E-002, 5.8837785E-002, 5.5820560E+002, 6.9547502E-003, 5.7835590E-001, 1.0200355E-002, 3.0489089E-002, 1.2750444E-002, 7.2540754E-002
 1.6379310E-003, 4.0306327E+002, 8.0545805E-003, 6.8781469E-001, 6.9252095E-003, 2.1632407E-002, 8.6565119E-003, 5.1379479E-002, 5.2707422E+002, 7.8877366E-003, 5.9371878E-001, 9.4616805E-003, 2.9059808E-002, 1.1827101E-002, 6.8997270E-002, 6.2438037E+002, 7.1249152E-003, 5.2767130E-001, 1.1278009E-002, 3.4544227E-002, 1.4097511E-002, 8.1928770E-002
 1.8900862E-003, 4.7245797E+002, 9.0863479E-003, 6.2591754E-001, 8.1986611E-003, 2.6236878E-002, 1.0248326E-002, 6.2121512E-002, 5.9910539E+002, 8.3027807E-003, 5.3659201E-001, 1.0708254E-002, 3.3510204E-002, 1.3385317E-002, 7.9362717E-002, 6.9538557E+002, 7.1640295E-003, 4.7649904E-001, 1.2391818E-002, 3.8683096E-002, 1.5489773E-002, 9.1514825E-002
 2.1422414E-003, 5.4733315E+002, 9.9342821E-003, 5.6263781E-001, 9.5484313E-003, 3.1009337E-002, 1.1935539E-002, 7.3267902E-002, 6.7537194E+002, 8.5208751E-003, 4.8052844E-001, 1.1979935E-002, 3.7934657E-002, 1.4974918E-002, 8.9683562E-002, 7.7013422E+002, 7.0632485E-003, 4.2610667E-001, 1.3511899E-002, 4.2808108E-002, 1.6889874E-002, 1.0106962E-001
 2.3943966E-003, 6.2699079E+002, 1.0521511E-002, 5.0106630E-001, 1.0939580E-002, 3.5714254E-002, 1.3674475E-002, 8.4291941E-002, 7.5507043E+002, 8.5350008E-003, 4.2601908E-001, 1.3253572E-002, 4.2303898E-002, 1.6566965E-002, 9.9879532E-002, 8.4771840E+002, 6.8263758E-003, 3.7744847E-001, 1.4613734E-002, 4.6842262E-002, 1.8267168E-002, 1.1041202E-001
 2.6465517E-003, 7.1074053E+002, 1.0826959E-002, 4.4111757E-001, 1.2353525E-002, 4.0380310E-002, 1.5441906E-002, 9.5238068E-002, 8.3748165E+002, 8.3508028E-003, 3.7391641E-001, 1.4506750E-002, 4.6548426E-002, 1.8133437E-002, 1.0978703E-001, 9.2732994E+002, 6.4663203E-003, 3.3118365E-001, 1.5679641E-002, 5.0728154E-002, 1.9599551E-002, 1.1940799E-001
 2.8987069E-003, 7.9790884E+002, 1.0843571E-002, 3.8385102E-001, 1.3767064E-002, 4.4924730E-002, 1.7208830E-002, 1.0591352E-001, 9.2190839E+002, 7.9856528E-003, 3.2481325E-001, 1.5721002E-002, 5.0615541E-002, 1.9651252E-002, 1.1928150E-001, 1.0082424E+003, 6.0019365E-003, 2.8773967E-001, 1.6696001E-002, 5.4425097E-002, 2.0870001E-002, 1.2796215E-001
 3.1508621E-003, 8.8777807E+002, 1.0583325E-002, 3.3000350E-001, 1.5160151E-002, 4.9284631E-002, 1.8950188E-002, 1.1617080E-001, 1.0076404E+003, 7.4644173E-003, 2.7906575E-001, 1.6883394E-002, 5.4468143E-002, 2.1104242E-002, 1.2827596E-001, 1.0896844E+003, 5.4541707E-003, 2.4731969E-001, 1.7650310E-002, 5.7911926E-002, 2.2062887E-002, 1.3602114E-001
 3.4030172E-003, 9.7956259E+002, 1.0072295E-002, 2.8003170E-001, 1.6515514E-002, 5.3415479E-002, 2.0644392E-002, 1.2590392E-001, 1.0938655E+003, 6.8151357E-003, 2.3681108E-001, 1.7981768E-002, 5.8087861E-002, 2.2477210E-002, 1.3672355E-001, 1.1710378E+003, 4.8459342E-003, 2.1003620E-001, 1.8536721E-002, 6.1171150E-002, 2.3170901E-002, 1.4354472E-001
 3.6551724E-003, 1.0723152E+003, 9.3444381E-003, 2.3411912E-001, 1.7816635E-002, 5.7294462E-002, 2.2270794E-002, 1.3505353E-001, 1.1799634E+003, 6.0699061E-003, 1.9812709E-001, 1.9008422E-002, 6.1457419E-002, 2.3760527E-002, 1.4458349E-001, 1.2517811E+003, 4.1988092E-003, 1.7587940E-001, 1.9351436E-002, 6.4196186E-002, 2.4189295E-002, 1.5051715E-001
 3.9073276E-003, 1.1652523E+003, 8.4434673E-003, 1.9236500E-001, 1.9055764E-002, 6.0897054E-002, 2.3819706E-002, 1.4356415E-001, 1.2653595E+003, 5.2593064E-003, 1.6294708E-001, 1.9957724E-002, 6.4572610E-002, 2.4947155E-002, 1.5184402E-001, 1.3313105E+003, 3.5321795E-003, 1.4475949E-001, 2.0092712E-002, 6.6987756E-002, 2.5115890E-002, 1.5693952E-001
 4.1594828E-003, 1.2576456E+003, 7.4143247E-003, 1.5468834E-001, 2.0221625E-002, 6.4217260E-002, 2.5277032E-002, 1.5141652E-001, 1.3493400E+003, 4.4127939E-003, 1.3113394E-001, 2.0825505E-002, 6.7435499E-002, 2.6031881E-002, 1.5850765E-001, 1.4090839E+003, 2.8628159E-003, 1.1653655E-001, 2.0760870E-002, 6.9551253E-002, 2.5951087E-002, 1.6282430E-001
 4.4116379E-003, 1.3485982E+003, 6.3045767E-003, 1.2091888E-001, 2.1303388E-002, 6.7256036E-002, 2.6629235E-002, 1.5860645E-001, 1.4312643E+003, 3.5598075E-003, 1.0250543E-001, 2.1607825E-002, 7.0052272E-002, 2.7009781E-002, 1.6458576E-001, 1.4845519E+003, 2.2204823E-003, 9.1039905E-002, 2.1356265E-002, 7.1889065E-002, 2.6695331E-002, 1.6817830E-001
 4.6637931E-003, 1.4372052E+003, 5.1702878E-003, 9.0833652E-002, 2.2286029E-002, 7.0017959E-002, 2.7857536E-002, 1.6513448E-001, 1.5103281E+003, 2.7673830E-003, 7.6861252E-002, 2.2293979E-002, 7.2417822E-002, 2.7867474E-002, 1.7006253E-001, 1.5552636E+003, 2.0029339E-003, 6.8521265E-002, 2.1583156E-002, 7.3973740E-002, 2.6978946E-002, 1.7272908E-001
 4.9159483E-003, 1.5221379E+003, 4.1496308E-003, 6.4218396E-002, 2.3126930E-002, 7.2486057E-002, 2.8908662E-002, 1.7093812E-001, 1.5815847E+003, 2.8948158E-003, 5.4950032E-002, 2.2220056E-002, 7.4468462E-002, 2.7775070E-002, 1.7432033E-001, 1.6187552E+003, 2.5954094E-003, 4.9177866E-002, 2.1152254E-002, 7.5784781E-002, 2.6440318E-002, 1.7622333E-001
 5.1681034E-003, 1.5944463E+003, 4.8261122E-003, 4.2566370E-002, 2.2595391E-002, 7.4536575E-002, 2.8244239E-002, 1.7486002E-001, 1.6429268E+003, 4.2169603E-003, 3.6743324E-002, 2.1187544E-002, 7.6200799E-002, 2.6484430E-002, 1.7720830E-001, 1.6734021E+003, 4.1959034E-003, 3.2969546E-002, 1.9914926E-002, 7.7324955E-002, 2.4893657E-002, 1.7855884E-001
 5.4202586E-003, 1.6518677E+003, 7.4155566E-003, 2.5624262E-002, 2.0547410E-002, 7.6181527E-002, 2.5684262E-002, 1.7682200E-001, 1.6915985E+003, 7.0984475E-003, 2.2335896E-002, 1.8913427E-002, 7.7609579E-002, 2.3641783E-002, 1.7850908E-001, 1.7158814E+003, 7.3013670E-003, 2.0188461E-002, 1.7490248E-002, 7.8568885E-002, 2.1862810E-002, 1.7940491E-001
 5.6724138E-003, 1.6892470E+003, 1.2678328E-002, 1.3801903E-002, 1.6395517E-002, 7.7388351E-002, 2.0494396E-002, 1.7632755E-001, 1.7210139E+003, 1.2464864E-002, 1.2288006E-002, 1.4829387E-002, 7.8561817E-002, 1.8536733E-002, 1.7753873E-001, 1.7374654E+003, 1.2936769E-002, 1.1295620E-002, 1.3545227E-002, 7.9207562E-002, 1.6931533E-002, 1.7789966E-001
 5.9245690E-003, 1.6866924E+003, 2.2365318E-002, 7.1352041E-003, 1.0507374E-002, 7.7141390E-002, 1.3134218E-002, 1.7162322E-001, 1.7091207E+003, 2.2084416E-002, 6.4392666E-003, 9.6964355E-003, 7.7817882E-002, 1.2120544E-002, 1.7238645E-001, 1.7175745E+003, 2.2656801E-002, 6.0044820E-003, 8.9582494E-003, 7.8039926E-002, 1.1197812E-002, 1.7229576E-001
 6.1767241E-003, 1.6099216E+003, 3.8352561E-002, 3.6374268E-003, 5.9700110E-003, 7.2936821E-002, 7.4625137E-003, 1.5999471E-001, 1.6342622E+003, 3.7090273E-002, 3.3233780E-003, 5.6435669E-003, 7.3732808E-002, 7.0544587E-003, 1.6134409E-001, 1.6420671E+003, 3.7137781E-002, 3.1220647E-003, 5.3261251E-003, 7.3919605E-002, 6.6576564E-003, 1.6148690E-001
 6.4288793E-003, 1.4738158E+003, 5.8619844E-002, 1.7917357E-003, 3.2830634E-003, 6.5534464E-002, 4.1038292E-003, 1.4333317E-001, 1.5079722E+003, 5.5865073E-002, 1.6659671E-003, 3.1512593E-003, 6.6872552E-002, 3.9390741E-003, 1.4590062E-001, 1.5217673E+003, 5.4935339E-002, 1.5826566E-003, 3.0011977E-003, 6.7390982E-002, 3.7514972E-003, 1.4682370E-001
 6.6810345E-003, 1.3050084E+003, 8.0424243E-002, 8.3800916E-004, 1.7260669E-003, 5.6677930E-002, 2.1575837E-003, 1.2459127E-001, 1.3512428E+003, 7.6168790E-002, 7.9916500E-004, 1.6931875E-003, 5.8628474E-002, 2.1164843E-003, 1.2844819E-001, 1.3729569E+003, 7.4191420E-002, 7.7189131E-004, 1.6343912E-003, 5.9561655E-002, 2.0429890E-003, 1.3026219E-001
 6.9331897E-003, 1.1217766E+003, 1.0195817E-001, 3.6609111E-004, 8.5527350E-004, 4.7489192E-002, 1.0690919E-003, 1.0568258E-001, 1.1803703E+003, 9.6408871E-002, 3.6197256E-004, 8.6521665E-004, 4.9996900E-002, 1.0815208E-003, 1.1067872E-001, 1.2106453E+003, 9.3487407E-002, 3.5806136E-004, 8.5154951E-004, 5.1328537E-002, 1.0644369E-003, 1.1331800E-001
 7.1853448E-003, 9.3646086E+002, 1.2207988E-001, 1.4697871E-004, 3.9383722E-004, 3.8672053E-002, 4.9229653E-004, 8.7808294E-002, 1.0061974E+003, 1.1557697E-001, 1.5282772E-004, 4.1574600E-004, 4.1603570E-002, 5.1968250E-004, 9.3656164E-002, 1.0447052E+003, 1.1191605E-001, 1.5631596E-004, 4.2051198E-004, 4.3258408E-002, 5.2563997E-004, 9.6951747E-002
 7.4375000E-003, 7.5797964E+002, 1.4052031E-001, 5.3597011E-005, 1.6698086E-004, 3.0464591E-002, 2.0872607E-004, 7.1316227E-002, 8.3642980E+002, 1.3331751E-001, 5.9479770E-005, 1.8609780E-004, 3.3714746E-002, 2.3262225E-004, 7.7795967E-002, 8.8207014E+002, 1.2906454E-001, 6.3629895E-005, 1.9524943E-004, 3.5635041E-002, 2.4406178E-004, 8.1622838E-002
 7.6896552E-003, 5.9325156E+002, 1.5695500E-001, 1.7917256E-005, 6.5861375E-005, 2.3085079E-002, 8.2326719E-005, 5.6562157E-002, 6.7691567E+002, 1.4936327E-001, 2.1240861E-005, 7.7415216E-005, 2.6516129E-002, 9.6769019E-005, 6.3396296E-002, 7.2793010E+002, 1.4468187E-001, 2.3992545E-005, 8.4832118E-005, 2.8631627E-002, 1.0604015E-004, 6.7610259E-002
 7.9418103E-003, 4.4796904E+002, 1.7100373E-001, 5.7295435E-006, 2.5103654E-005, 1.6747942E-002, 3.1379568E-005, 4.3925462E-002, 5.3236608E+002, 1.6345828E-001, 7.0638202E-006, 3.0396347E-005, 2.0161952E-002, 3.7995434E-005, 5.0721168E-002, 5.8639654E+002, 1.5857672E-001, 8.4048969E-006, 3.4651830E-005, 2.2370124E-002, 4.3314787E-005, 5.5117213E-002
 8.1939655E-003, 3.2657153E+002, 1.8243517E-001, 1.8164685E-006, 9.4991236E-006, 1.1580375E-002, 1.1873905E-005, 3.3633736E-002, 4.0660662E+002, 1.7538353E-001, 2.2519422E-006, 1.1556264E-005, 1.4772759E-002, 1.4445330E-005, 3.9986192E-002, 4.6079970E+002, 1.7056805E-001, 2.7720028E-006, 1.3501250E-005, 1.6952456E-002, 1.6876563E-005, 4.4323915E-002
 8.4461207E-003, 2.3152120E+002, 1.9119725E-001, 5.7046718E-007, 3.5622733E-006, 7.6157331E-003, 4.4528416E-006, 2.5742126E-002, 3.0230524E+002, 1.8503872E-001, 7.0994630E-007, 4.3547422E-006, 1.0404413E-002, 5.4434277E-006, 3.1290533E-002, 3.5359536E+002, 1.8055150E-001, 8.8044792E-007, 5.1139745E-006, 1.2436183E-002, 6.3924681E-006, 3.5333110E-002
