m,C,mol/mol,mol/mol,mol/mol,mol/mol,C,mol/mol,mol/mol,mol/mol,mol/mol,C,mol/mol,mol/mol,mol/mol,mol/mol
Width,T_7_mm,O2_7_mm,Fuel_7_mm,CO_7_mm,CO2_7_mm,T_9_mm,O2_9_mm,Fuel_9_mm,CO_9_mm,CO2_9_mm,T_11_mm,O2_11_mm,Fuel_11_mm,CO_11_mm,CO2_11_mm
 1.2500000E-004, 1.9331103E+002, 1.8905170E-003, 9.1073176E-001, 3.1701497E-003, 2.8492506E-003, 3.0714035E+002, 2.6881252E-003, 8.2969066E-001, 5.8950884E-003, 6.9303870E-003, 4.1465488E+002, 3.0609867E-003, 7.4454594E-001, 8.5117517E-003, 1.2102166E-002
 3.7715517E-004, 2.1303702E+002, 2.1232279E-003, 8.9423081E-001, 3.7542830E-003, 3.7543974E-003, 3.2804115E+002, 2.8231692E-003, 8.1102781E-001, 6.5104989E-003, 8.2253650E-003, 4.3423347E+002, 3.1076371E-003, 7.2693549E-001, 9.0335623E-003, 1.3520056E-002
 6.2931034E-004, 2.4679287E+002, 2.5050721E-003, 8.6548257E-001, 4.7673716E-003, 5.3853768E-003, 3.6366501E+002, 3.0363053E-003, 7.7923854E-001, 7.5492556E-003, 1.0459740E-002, 4.6791318E+002, 3.1752762E-003, 6.9698083E-001, 9.9103661E-003, 1.5942226E-002
 8.8146552E-004, 2.9236034E+002, 2.9824410E-003, 8.2591949E-001, 6.1508067E-003, 7.7325872E-003, 4.1146529E+002, 3.2850002E-003, 7.3683666E-001, 8.9145843E-003, 1.3496733E-002, 5.1358519E+002, 3.2417524E-003, 6.5715604E-001, 1.1053467E-002, 1.9184908E-002
 1.1336207E-003, 3.4764198E+002, 3.4941623E-003, 7.7730656E-001, 7.8311545E-003, 1.0762393E-002, 4.6901311E+002, 3.5230309E-003, 6.8657238E-001, 1.0499902E-002, 1.7181756E-002, 5.6905644E+002, 3.2846952E-003, 6.1018023E-001, 1.2365080E-002, 2.3045442E-002
 1.3857759E-003, 4.1099269E+002, 3.9804619E-003, 7.2160711E-001, 9.7259683E-003, 1.4409279E-002, 5.3433892E+002, 3.7123091E-003, 6.3107454E-001, 1.2202142E-002, 2.1359102E-002, 6.3239730E+002, 3.2864833E-003, 5.5854089E-001, 1.3754365E-002, 2.7332644E-002
 1.6379310E-003, 4.8122220E+002, 4.3909698E-003, 6.6087425E-001, 1.1748959E-002, 1.8576811E-002, 6.0595968E+002, 3.8260293E-003, 5.7277263E-001, 1.3928132E-002, 2.5879138E-002, 7.0187755E+002, 3.2262594E-003, 5.0987249E-001, 1.5100644E-002, 3.1788086E-002
 1.8900862E-003, 5.5746951E+002, 4.6873900E-003, 5.9711123E-001, 1.3815595E-002, 2.3146596E-002, 6.8269373E+002, 3.8427117E-003, 5.1695662E-001, 1.5582962E-002, 3.0554170E-002, 7.7595237E+002, 3.1085651E-003, 4.6160250E-001, 1.6376232E-002, 3.6331866E-002
 2.1422414E-003, 6.3903963E+002, 4.8398889E-003, 5.3433452E-001, 1.5830159E-002, 2.7958409E-002, 7.6330175E+002, 3.7603851E-003, 4.6439269E-001, 1.7118699E-002, 3.5266560E-002, 8.5348390E+002, 2.9370566E-003, 4.1432008E-001, 1.7547409E-002, 4.0864005E-002
 2.3943966E-003, 7.2497074E+002, 4.8329387E-003, 4.7662728E-001, 1.7701363E-002, 3.2838393E-002, 8.4693356E+002, 3.5902764E-003, 4.1342602E-001, 1.8515040E-002, 3.9959134E-002, 9.3352725E+002, 2.7186292E-003, 3.6877262E-001, 1.8588650E-002, 4.5302321E-002
 2.6465517E-003, 8.1444459E+002, 4.6829738E-003, 4.2095173E-001, 1.9413615E-002, 3.7733657E-002, 9.3281351E+002, 3.3434954E-003, 3.6480269E-001, 1.9745601E-002, 4.4552181E-002, 1.0152491E+003, 2.4625092E-003, 3.2549156E-001, 1.9487033E-002, 4.9583968E-002
 2.8987069E-003, 9.0673968E+002, 4.4053635E-003, 3.6799514E-001, 2.0936912E-002, 4.2553948E-002, 1.0201831E+003, 3.0345791E-003, 3.1898119E-001, 2.0796234E-002, 4.8982307E-002, 1.0978942E+003, 2.1790228E-003, 2.8481655E-001, 2.0239145E-002, 5.3664557E-002
 3.1508621E-003, 1.0010516E+003, 4.0212132E-003, 3.1829633E-001, 2.2247216E-002, 4.7222736E-002, 1.1083208E+003, 2.6797393E-003, 2.7625039E-001, 2.1664622E-002, 5.3206326E-002, 1.1807666E+003, 1.8785240E-003, 2.4693319E-001, 2.0848501E-002, 5.7514562E-002
 3.4030172E-003, 1.0965694E+003, 3.5553507E-003, 2.7220547E-001, 2.3336650E-002, 5.1687173E-002, 1.1965106E+003, 2.2950268E-003, 2.3674282E-001, 2.2355071E-002, 5.7193602E-002, 1.2632085E+003, 1.5706434E-003, 2.1190643E-001, 2.1323209E-002, 6.1115479E-002
 3.6551724E-003, 1.1924231E+003, 3.0332329E-003, 2.2987721E-001, 2.4205764E-002, 5.5909106E-002, 1.2840581E+003, 1.8953992E-003, 2.0047754E-001, 2.2877074E-002, 6.0925150E-002, 1.3446453E+003, 1.2639005E-003, 1.7971520E-001, 2.1674475E-002, 6.4458004E-002
 3.9073276E-003, 1.2877255E+003, 2.4792700E-003, 1.9132418E-001, 2.4862264E-002, 5.9864755E-002, 1.3703359E+003, 1.4941466E-003, 1.6738998E-001, 2.3243619E-002, 6.4391791E-002, 1.4245064E+003, 9.6552533E-004, 1.5027722E-001, 2.1915234E-002, 6.7541983E-002
 4.1594828E-003, 1.3816646E+003, 1.9156857E-003, 1.5645387E-001, 2.5318863E-002, 6.3542788E-002, 1.4546948E+003, 1.1026932E-003, 1.3735585E-001, 2.3469680E-002, 6.7593412E-002, 1.5023031E+003, 6.8145755E-004, 1.2346925E-001, 2.2059237E-002, 7.0369078E-002
 4.4116379E-003, 1.4733963E+003, 1.3621059E-003, 1.2510006E-001, 2.5591327E-002, 6.6942012E-002, 1.5365748E+003, 7.3077334E-004, 1.1021159E-001, 2.3571018E-002, 7.0532007E-002, 1.5776028E+003, 4.1642344E-004, 9.9141786E-002, 2.2120227E-002, 7.2946755E-002
 4.6637931E-003, 1.5621858E+003, 8.3592199E-004, 9.7049466E-002, 2.5696754E-002, 7.0064959E-002, 1.6154890E+003, 3.8697528E-004, 8.5770624E-002, 2.3563084E-002, 7.3216079E-002, 1.6500463E+003, 1.7405643E-004, 7.7130818E-002, 2.2111508E-002, 7.5285047E-002
 4.9159483E-003, 1.6473729E+003, 3.5320927E-004, 7.2062375E-002, 2.5651932E-002, 7.2920668E-002, 1.6909433E+003, 8.7204103E-005, 6.3838986E-002, 2.3455461E-002, 7.5656933E-002, 1.7187624E+003, 2.8992060E-005, 5.7309861E-002, 2.1997781E-002, 7.7397184E-002
 5.1681034E-003, 1.7272264E+003, 7.5561517E-005, 4.9976079E-002, 2.5376059E-002, 7.5523646E-002, 1.7609663E+003, 4.0444390E-005, 4.4338042E-002, 2.3124241E-002, 7.7872293E-002, 1.7830487E+003, 3.6563740E-005, 3.9538359E-002, 2.1753376E-002, 7.9298083E-002
 5.4202586E-003, 1.7997058E+003, 1.9333414E-004, 3.0642753E-002, 2.4760171E-002, 7.7893599E-002, 1.8256410E+003, 1.9572496E-004, 2.7028319E-002, 2.2618315E-002, 7.9876170E-002, 1.8424798E+003, 2.2236153E-004, 2.3662216E-002, 2.1372499E-002, 8.1002188E-002
 5.6724138E-003, 1.8597843E+003, 1.2349799E-003, 1.4123296E-002, 2.3470948E-002, 8.0049734E-002, 1.8783338E+003, 1.2880974E-003, 1.2160855E-002, 2.1455629E-002, 8.1695296E-002, 1.8891816E+003, 1.4767031E-003, 1.0061187E-002, 2.0265327E-002, 8.2540727E-002
 5.9245690E-003, 1.8638938E+003, 8.1822850E-003, 3.1541327E-003, 1.8224732E-002, 8.2047748E-002, 1.8732454E+003, 8.5374692E-003, 2.6540792E-003, 1.6238463E-002, 8.3333203E-002, 1.8711532E+003, 9.7014841E-003, 2.0642332E-003, 1.4680472E-002, 8.3818186E-002
 6.1767241E-003, 1.7107033E+003, 3.9807355E-002, 2.8852568E-004, 6.5794781E-003, 7.5068711E-002, 1.7270822E+003, 3.8354564E-002, 2.4336645E-004, 5.7805933E-003, 7.6179695E-002, 1.7273040E+003, 3.8625233E-002, 1.8964823E-004, 5.1230359E-003, 7.6246833E-002
 6.4288793E-003, 1.5127943E+003, 6.3906524E-002, 4.2841692E-005, 3.0928555E-003, 6.4425767E-002, 1.5420717E+003, 6.0872421E-002, 3.6196180E-005, 2.6606876E-003, 6.6073737E-002, 1.5506369E+003, 5.9996032E-002, 2.8245392E-005, 2.3277109E-003, 6.6488874E-002
 6.6810345E-003, 1.3056602E+003, 8.7438192E-002, 6.3279992E-006, 1.5811170E-003, 5.2554449E-002, 1.3486044E+003, 8.2963197E-002, 5.3549442E-006, 1.3022584E-003, 5.4823799E-002, 1.3666113E+003, 8.0966686E-002, 4.1847382E-006, 1.1112085E-003, 5.5726724E-002
 6.9331897E-003, 1.1016682E+003, 1.0944639E-001, 9.2945707E-007, 9.3476343E-004, 4.1203283E-002, 1.1573061E+003, 1.0379285E-001, 7.8771014E-007, 7.1444705E-004, 4.3981426E-002, 1.1843984E+003, 1.0082732E-001, 6.1649721E-007, 5.8296685E-004, 4.5328843E-002
 7.1853448E-003, 9.0674686E+002, 1.2954601E-001, 1.3579846E-007, 6.6231990E-004, 3.1069133E-002, 9.7314405E+002, 1.2302596E-001, 1.1522888E-007, 4.6127182E-004, 3.4168245E-002, 1.0083241E+003, 1.1928640E-001, 9.0314901E-008, 3.5285103E-004, 3.5848864E-002
 7.4375000E-003, 7.2504898E+002, 1.4750407E-001, 1.9727408E-008, 5.5019150E-004, 2.2429726E-002, 7.9945476E+002, 1.4046353E-001, 1.6745183E-008, 3.5825191E-004, 2.5632830E-002, 8.4125759E+002, 1.3617084E-001, 1.3138577E-008, 2.5644564E-004, 2.7510538E-002
 7.6896552E-003, 5.6046702E+002, 1.6313095E-001, 2.8484719E-009, 4.9041158E-004, 1.5394558E-002, 6.3924635E+002, 1.5594553E-001, 2.4161612E-009, 3.1381033E-004, 1.8477691E-002, 6.8573573E+002, 1.5134202E-001, 1.8971130E-009, 2.1540357E-004, 2.0406945E-002
 7.9418103E-003, 4.1699566E+002, 1.7626741E-001, 4.0869941E-010, 4.3268185E-004, 9.9629062E-003, 4.9558772E+002, 1.6933414E-001, 3.4596633E-010, 2.8531133E-004, 1.2718586E-002, 5.4429378E+002, 1.6467911E-001, 2.7173244E-010, 1.9401999E-004, 1.4556954E-002
 8.1939655E-003, 2.9839429E+002, 1.8680373E-001, 5.8203232E-011, 3.6152507E-004, 6.0399513E-003, 3.7158341E+002, 1.8051947E-001, 4.9098322E-011, 2.5378626E-004, 8.3068981E-003, 4.1956896E+002, 1.7607878E-001, 3.8562158E-011, 1.7592093E-004, 9.9305276E-003
 8.4461207E-003, 2.0714848E+002, 1.9473319E-001, 8.2106430E-012, 2.8024042E-004, 3.4385450E-003, 2.6993481E+002, 1.8944495E-001, 6.8907701E-012, 2.1445186E-004, 5.1319834E-003, 3.1404062E+002, 1.8547021E-001, 5.4107902E-012, 1.5459004E-004, 6.4522357E-003
 8.6982759E-003, 1.4286431E+002, 2.0023466E-001, 1.1454629E-012, 1.9955515E-004, 1.8849190E-003, 1.9196233E+002, 1.9615496E-001, 9.5406916E-013, 1.6977589E-004, 3.0184460E-003, 2.2943817E+002, 1.9284579E-001, 7.4871183E-013, 1.2940936E-004, 3.9973775E-003
 8.9504310E-003, 1.0167819E+002, 2.0371482E-001, 1.5816006E-013, 1.3047455E-004, 1.0584978E-003, 1.3659254E+002, 2.0084780E-001, 1.3024409E-013, 1.2512129E-004, 1.7347092E-003, 1.6586801E+002, 1.9830434E-001, 1.0218120E-013, 1.0217063E-004, 2.3915959E-003
