m,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
Width,T_7_mm,O2_7_mm,Fuel_7_mm,CO_7_mm,CO2_7_mm,H2_7_mm,H2O_7_mm,T_9_mm,O2_9_mm,Fuel_9_mm,CO_9_mm,CO2_9_mm,H2_9_mm,H2O_9_mm,T_11_mm,O2_11_mm,Fuel_11_mm,CO_11_mm,CO2_11_mm,H2_11_mm,H2O_11_mm
 1.2500000E-004, 1.7043763E+002, 2.0492536E-003, 9.0837521E-001, 3.6210710E-003, 5.5439960E-003, 4.5263388E-003, 1.4633802E-002, 2.7463130E+002, 3.1876234E-003, 8.2694083E-001, 6.2262374E-003, 1.1146452E-002, 7.7827967E-003, 2.8536933E-002, 3.7665777E+002, 3.8576129E-003, 7.4142517E-001, 8.7936050E-003, 1.7368079E-002, 1.0992006E-002, 4.3687567E-002
 3.7715517E-004, 1.8899257E+002, 2.3668150E-003, 8.9191744E-001, 4.0272502E-003, 6.7083858E-003, 5.0340628E-003, 1.7420014E-002, 2.9502683E+002, 3.4109146E-003, 8.0848291E-001, 6.6544758E-003, 1.2528813E-002, 8.3180948E-003, 3.1794006E-002, 3.9602147E+002, 3.9575616E-003, 7.2427364E-001, 9.1724657E-003, 1.8712680E-002, 1.1465582E-002, 4.6819764E-002
 6.2931034E-004, 2.2089450E+002, 2.8973463E-003, 8.6323929E-001, 4.7328640E-003, 8.7490000E-003, 5.9160800E-003, 2.2296633E-002, 3.2974096E+002, 3.7640815E-003, 7.7713343E-001, 7.3873028E-003, 1.4885189E-002, 9.2341285E-003, 3.7346889E-002, 4.2922677E+002, 4.1092062E-003, 6.9517996E-001, 9.8196782E-003, 2.0998872E-002, 1.2274598E-002, 5.2146852E-002
 8.8146552E-004, 2.6418216E+002, 3.5787370E-003, 8.2381429E-001, 5.7010094E-003, 1.1577158E-002, 7.1262617E-003, 2.9044788E-002, 3.7622860E+002, 4.1864555E-003, 7.3546755E-001, 8.3712499E-003, 1.8032343E-002, 1.0464062E-002, 4.4764882E-002, 4.7406864E+002, 4.2741227E-003, 6.5664321E-001, 1.0685324E-002, 2.4038395E-002, 1.3356655E-002, 5.9231524E-002
 1.1336207E-003, 3.1692401E+002, 4.3361765E-003, 7.7551378E-001, 6.8887132E-003, 1.5076076E-002, 8.6108915E-003, 3.7381068E-002, 4.3206669E+002, 4.6113740E-003, 6.8629317E-001, 9.5471472E-003, 2.1771228E-002, 1.1933934E-002, 5.3579219E-002, 5.2828936E+002, 4.4130760E-003, 6.1139053E-001, 1.1713019E-002, 2.7625728E-002, 1.4641273E-002, 6.7595020E-002
 1.3857759E-003, 3.7752781E+002, 5.0919093E-003, 7.2044300E-001, 8.2511479E-003, 1.9109372E-002, 1.0313935E-002, 4.6979251E-002, 4.9529285E+002, 4.9795928E-003, 6.3225589E-001, 1.0857733E-002, 2.5913587E-002, 1.3572167E-002, 6.3345711E-002, 5.8991207E+002, 4.4934469E-003, 5.6217426E-001, 1.2846372E-002, 3.1549980E-002, 1.6057965E-002, 7.6747620E-002
 1.6379310E-003, 4.4478116E+002, 5.7736489E-003, 6.6078568E-001, 9.7437777E-003, 2.3530618E-002, 1.2179722E-002, 5.7492510E-002, 5.6441634E+002, 5.2471660E-003, 5.7567417E-001, 1.2251113E-002, 3.0291856E-002, 1.5313891E-002, 7.3668697E-002, 6.5729441E+002, 4.4922403E-003, 5.1188334E-001, 1.4030958E-002, 3.5581861E-002, 1.7538697E-002, 8.6162992E-002
 1.8900862E-003, 5.1775632E+002, 6.3243354E-003, 5.9864575E-001, 1.1323574E-002, 2.8193113E-002, 1.4154467E-002, 6.8575411E-002, 6.3827872E+002, 5.3849577E-003, 5.1918407E-001, 1.3676879E-002, 3.4700952E-002, 1.7096098E-002, 8.4075603E-002, 7.2912252E+002, 4.4017414E-003, 4.6137110E-001, 1.5231307E-002, 3.9665631E-002, 1.9039134E-002, 9.5695402E-002
 2.1422414E-003, 5.9568876E+002, 6.6995907E-003, 5.3628414E-001, 1.2947934E-002, 3.2929362E-002, 1.6184917E-002, 7.9839808E-002, 7.1594745E+002, 5.3834072E-003, 4.6361004E-001, 1.5100847E-002, 3.9087925E-002, 1.8876059E-002, 9.4427491E-002, 8.0435218E+002, 4.2221713E-003, 4.1181197E-001, 1.6415195E-002, 4.3709767E-002, 2.0518993E-002, 1.0512690E-001
