XO2,eta,Chi_R
0.208, -0.10,  2.74
0.208, -0.10,  0.00
0.208,  0.61,  0.22
0.208,  0.95,  0.20
0.208,  0.94,  0.20
0.208,  0.96,  0.20
0.202,  0.98,  0.20
0.197,  0.96,  0.19
0.192,  0.96,  0.19
0.187,  0.94,  0.17
0.183,  0.96,  0.16
0.178,  0.92,  0.15
0.174,  0.97,  0.15
0.170,  0.93,  0.14
0.167,  0.93,  0.14
0.163,  0.95,  0.12
0.159,  0.96,  0.12
0.156,  0.90,  0.10
0.153,  0.93,  0.10
0.150,  0.94,  0.08
0.147,  0.94,  0.08
0.144,  0.90,  0.07
0.141,  0.90,  0.06
0.139,  0.91,  0.05
0.136,  0.89,  0.04
0.134,  0.85,  0.03
0.132,  0.85,  0.02
0.129,  0.73,  0.00
0.127,  0.54,  0.00
0.125,  0.34,  0.00
0.123,  0.19,  0.00
0.121,  0.09,  0.00
0.119,  0.03,  0.00
0.117,  0.01,  0.00
0.115, -0.01,  0.00
0.114, -0.05,  0.00
0.112, -0.06,  0.00
0.110, -0.06,  0.00
0.109, -0.07,  0.00
0.107, -0.07,  0.00
0.106, -0.07,  0.00
0.104, -0.08,  0.00
0.103, -0.08,  0.00
0.101, -0.09,  0.00
0.100, -0.09,  0.00
0.099, -0.09,  0.00
0.097, -0.09,  0.00
0.096, -0.09,  0.00
0.095, -0.09,  0.00
0.094, -0.09,  0.00
0.093, -0.09,  0.00
0.092, -0.09,  0.00
0.090, -0.09,  0.00
0.089, -0.10,  0.00
0.088, -0.10,  0.00
0.087, -0.10,  0.00
0.086, -0.10,  0.00
0.085, -0.10,  0.00
0.084, -0.10,  0.00
0.083, -0.10,  0.00
0.082, -0.10,  0.00
0.082, -0.10,  0.00
0.081, -0.10,  0.00
0.080, -0.10,  0.00
0.079, -0.10,  0.00
0.078, -0.10,  0.00
