s,kg/s,kg/s,Pa,Pa,kg/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2
Time,M1,M2,P1,P2,B,G1,G2,G3,G4,G5,G6,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,TC15,TC16,TC17,TC18,TC19,HF1,HF2,HF3,HF4
 0.0000000E+000,-1.3170708E-006, 2.2938351E-006,-4.3562948E-005,-3.5265883E-005, 0.0000000E+000, 2.0755882E-001, 2.0755882E-001, 3.8641183E-004, 3.8641183E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9718142E-005,-3.0359610E-005,-2.3520962E-005,-1.8871969E-005
 5.0001684E+000, 1.3380888E-003, 1.3700464E-003, 8.1832793E+001, 8.1555080E+001, 3.8420936E-005, 2.0376838E-001, 2.0566727E-001, 2.6287355E-003, 1.5054045E-003, 1.2942461E-012, 2.8221897E-011, 8.8464803E-013, 6.4786769E+000, 5.0045592E+000, 4.7742899E+000, 4.6624411E+000, 4.3637551E+000, 4.0464660E+000, 3.8174458E+000, 3.6710109E+000, 3.4038457E+000, 3.4468371E+000,-2.8932626E-013, 1.3668010E+001, 1.4238988E+001, 2.0694421E+001, 4.4656951E+001, 9.2118494E+000, 1.1869128E+001, 1.8309341E+001, 1.4456870E+001, 4.8877160E+000, 1.1113481E+000, 5.9138916E-001
 1.0000634E+001, 1.4977656E-003, 1.5365574E-003, 1.1191510E+002, 1.1072551E+002, 6.9758590E-005, 1.8750115E-001, 1.9102594E-001, 1.2252002E-002, 1.0166830E-002, 1.2321649E-011, 4.8290456E-011, 8.7756971E-013, 6.0516288E+001, 5.2770676E+001, 5.1317464E+001, 5.0805599E+001, 5.0122912E+001, 4.9811874E+001, 4.7871892E+001, 4.4808699E+001, 4.2961050E+001, 4.7015075E+001,-3.0770762E-012, 9.0464644E+001, 1.0071569E+002, 1.2951725E+002, 1.6401151E+002, 6.1157817E+001, 5.3293569E+001, 5.8755584E+001, 2.4818352E+001, 1.0841550E+001, 3.3150817E+000, 1.8472543E+000
 1.5002778E+001, 6.8877052E-004, 6.6940324E-004, 4.9059485E+001, 4.7201452E+001, 7.7361560E-005, 1.5968797E-001, 1.6416840E-001, 2.8705541E-002, 2.6055038E-002, 1.3414700E-011, 1.3242606E-011,-3.3661446E-013, 1.4980410E+002, 1.4693197E+002, 1.4466594E+002, 1.4331766E+002, 1.4086758E+002, 1.4003703E+002, 1.3666717E+002, 1.3121142E+002, 1.2670723E+002, 1.3095913E+002,-1.3791187E-012, 2.0404728E+002, 2.2825373E+002, 2.9528505E+002, 3.6383409E+002, 1.5768915E+002, 1.4081850E+002, 1.3472176E+002, 2.6160966E+001, 1.9210604E+001, 5.5131775E+000, 3.4335588E+000
 2.0001316E+001,-3.0946370E-004,-4.1543738E-004,-6.5866752E+000,-8.3799543E+000, 3.4328208E-005, 1.5879195E-001, 1.4939586E-001, 2.9235602E-002, 3.4794080E-002, 4.7364453E-011, 1.1514444E-011, 1.1391268E-013, 1.7123267E+002, 2.1253944E+002, 2.0930036E+002, 2.0820122E+002, 2.0586825E+002, 2.0398181E+002, 1.9700538E+002, 1.9029313E+002, 1.8318798E+002, 1.7177574E+002,-6.0650069E-013, 2.4491664E+002, 2.6473144E+002, 2.9465272E+002, 3.3002917E+002, 2.1090276E+002, 2.0103143E+002, 1.9461837E+002, 1.4418226E+001, 7.2239290E+000, 3.7298915E+000, 2.9577403E+000
 2.5002107E+001, 4.1252282E-004, 3.5612481E-004, 3.1568796E+001, 2.9693869E+001, 6.3040213E-005, 1.3061764E-001, 1.3376860E-001, 4.5902554E-002, 4.4038759E-002, 2.2034685E-007, 7.8798814E-011,-1.0475626E-012, 1.7684614E+002, 2.1333132E+002, 2.1217800E+002, 2.1140301E+002, 2.0903129E+002, 2.0557457E+002, 1.9893418E+002, 1.9193695E+002, 1.8430306E+002, 1.7173365E+002, 1.0436309E-014, 2.4000446E+002, 2.5764499E+002, 2.8191830E+002, 3.2362635E+002, 2.1215877E+002, 2.0669085E+002, 2.0122740E+002, 2.2056342E+001, 1.4125899E+001, 5.3671680E+000, 3.5239074E+000
 3.0000797E+001, 2.1910697E-005,-2.2200850E-005, 9.8856630E+000, 7.8689271E+000, 6.5767208E-005, 1.2178359E-001, 1.1285499E-001, 5.1072509E-002, 5.6355542E-002, 4.9024764E-005, 5.1362001E-005, 1.2447425E-012, 2.0123820E+002, 2.3263587E+002, 2.3051183E+002, 2.2876978E+002, 2.2844304E+002, 2.2531722E+002, 2.2036894E+002, 2.1572980E+002, 2.0929141E+002, 1.9519755E+002,-3.9660032E-013, 2.6485231E+002, 2.9324579E+002, 3.3548635E+002, 4.7362840E+002, 2.2408844E+002, 2.2872718E+002, 2.2114466E+002, 1.1971324E+001, 2.7276102E+001, 6.0342253E+000, 4.0236059E+000
 3.5002795E+001,-1.3368848E-004,-2.5252174E-004, 3.5021188E-001,-1.5385266E+000, 6.0007071E-005, 1.1800512E-001, 1.0660738E-001, 5.3080480E-002, 5.9628131E-002, 2.5430831E-004, 4.3226732E-004, 5.7074056E-013, 1.9503286E+002, 2.3142227E+002, 2.3057360E+002, 2.2885355E+002, 2.2797039E+002, 2.2665790E+002, 2.2281371E+002, 2.1687557E+002, 2.0947967E+002, 1.9168456E+002,-5.6086641E-013, 2.6889939E+002, 2.9414992E+002, 3.3172635E+002, 4.5640470E+002, 2.1157921E+002, 2.2669375E+002, 2.2492084E+002, 1.3481235E+001, 1.5022482E+001, 5.4127439E+000, 3.6925257E+000
 4.0001688E+001,-2.3329895E-004,-3.3130674E-004,-3.0579116E+000,-4.7370522E+000, 7.1743386E-005, 1.3864707E-001, 9.6584256E-002, 4.0872093E-002, 6.4240897E-002, 2.5577856E-004, 1.6353710E-003, 1.0174105E-012, 1.6750024E+002, 2.1203061E+002, 2.1125333E+002, 2.0748523E+002, 2.0458725E+002, 2.0430402E+002, 2.0153743E+002, 1.9541578E+002, 1.8809705E+002, 1.7262645E+002, 9.7743314E-013, 2.5614272E+002, 2.7001728E+002, 2.7270510E+002, 3.2202355E+002, 2.0658776E+002, 2.1055448E+002, 2.0492069E+002, 1.9600450E+001, 5.9001093E+000, 3.6593563E+000, 3.8432440E+000
