s,kg/s,kg/s,Pa,Pa,kg/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2
Time,M1,M2,P1,P2,B,G1,G2,G3,G4,G5,G6,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,TC15,TC16,TC17,TC18,TC19,HF1,HF2,HF3,HF4
 0.0000000E+000,-1.6620646E-006, 6.6819329E-007,-4.3562948E-005,-3.5265883E-005, 0.0000000E+000, 2.0755882E-001, 2.0755882E-001, 3.8641183E-004, 3.8641183E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.4689575E-007,-6.7379750E-007,-5.0829153E-007,-3.7931513E-007
 5.0024842E+000, 7.1184941E-004, 2.4931783E-005, 3.2131385E-002, 7.8740416E-004, 1.0652818E-005, 2.0468706E-001, 2.0755882E-001, 2.0852711E-003, 3.8641201E-004, 1.1552071E-011, 1.2512399E-017, 2.4784131E+000, 2.7260999E+000, 2.4813239E-001, 1.3506004E-001, 1.0518807E-001, 1.0662553E-001, 1.3563295E-001, 1.8050619E-001, 2.1781389E-001, 2.7891056E-001, 2.7602440E-001, 1.4539475E-001, 2.6665835E+000, 5.8383912E-001, 1.7944795E-001, 2.8292156E-001, 1.4307028E+001, 2.8182075E+001, 6.9988799E+001, 2.7619017E+001, 1.8551282E-001, 1.3386957E-001, 3.9314277E-001
 1.0001678E+001, 1.8048857E-003,-4.2343610E-005, 3.5468352E-001,-2.5805145E-003, 3.1911898E-005, 1.9580617E-001, 2.0754787E-001, 7.3389695E-003, 3.9288840E-004, 1.3933485E-009, 8.6503888E-015, 2.6414342E+001, 2.7604737E+001, 1.1205049E+001, 9.6539212E+000, 8.4108305E+000, 7.4678689E+000, 6.4401684E+000, 4.4768051E+000, 2.2272043E+000, 2.1789111E+000, 2.0598742E+000, 1.0927523E+000, 2.8783235E+001, 1.1681114E+001, 3.4190473E+000, 2.0378949E+000, 7.6105839E+001, 1.3941339E+002, 3.5162434E+002, 4.3726066E+001, 6.3093902E-001, 6.8017453E-001, 1.2681083E+000
 1.5002087E+001, 2.3854275E-003,-3.4394407E-004, 8.8855797E-001,-2.7342254E-002, 5.3175278E-005, 1.8046560E-001, 2.0712033E-001, 1.6414032E-002, 6.4581424E-004, 1.4697218E-008, 5.8177887E-013, 8.2745110E+001, 8.4762325E+001, 4.7563797E+001, 3.9816987E+001, 3.8878359E+001, 3.7854832E+001, 3.4221057E+001, 3.0026371E+001, 2.2404327E+001, 9.8751218E+000, 5.5284158E+000, 2.5477242E+000, 9.0422256E+001, 5.1911259E+001, 2.6575614E+001, 6.4866913E+000, 1.6680774E+002, 2.7263108E+002, 5.5425164E+002, 4.0263274E+001, 1.2861806E+000, 1.8363976E+000, 2.7555259E+000
 2.0001212E+001, 2.5499784E-003,-7.2044455E-004, 1.3736530E+000,-9.8152890E-002, 7.4438997E-005, 1.6179842E-001, 2.0302368E-001, 2.7457018E-002, 3.0692828E-003, 3.6570056E-008, 3.1848023E-012, 1.5609713E+002, 1.6092283E+002, 1.0490556E+002, 9.7651078E+001, 9.3453519E+001, 9.0379049E+001, 8.6662155E+001, 8.3210872E+001, 6.9705533E+001, 4.1324484E+001, 1.2065205E+001, 3.8303555E+000, 1.9025821E+002, 1.1199331E+002, 7.4571531E+001, 1.8549667E+001, 2.4713943E+002, 3.0275220E+002, 4.8813901E+002, 4.4701426E+001, 2.6038217E+000, 3.8397178E+000, 4.5401966E+000
 2.5001580E+001, 2.4205560E-003,-1.4144285E-003, 1.5257710E+000,-4.4231327E-001, 8.7228362E-005, 1.4201959E-001, 1.8174438E-001, 3.9157685E-002, 1.5657554E-002, 2.4966838E-009, 6.0843662E-012, 2.2643438E+002, 2.2957145E+002, 1.8203619E+002, 1.7214849E+002, 1.6755290E+002, 1.6258374E+002, 1.5755420E+002, 1.5314375E+002, 1.4132440E+002, 1.1786650E+002, 4.2771648E+001, 6.9991872E+000, 2.8792949E+002, 2.3380544E+002, 1.8139718E+002, 4.7361876E+001, 2.9805951E+002, 2.8201247E+002, 3.6730018E+002, 2.8603985E+001, 6.6792639E+000, 7.5304471E+000, 5.3467305E+000
 3.0001678E+001, 2.2985918E-003,-1.9280119E-003, 1.4684351E+000,-6.7651518E-001, 9.1563452E-005, 1.2288037E-001, 1.7627434E-001, 5.0479938E-002, 1.8893486E-002, 4.3464974E-009, 5.6027649E-012, 2.8432255E+002, 2.8521468E+002, 2.5654041E+002, 2.4895608E+002, 2.4706847E+002, 2.4189079E+002, 2.3414407E+002, 2.2852945E+002, 2.1657668E+002, 1.9477283E+002, 6.1441921E+001, 6.8764144E+000, 3.4867486E+002, 3.8080102E+002, 4.3653517E+002, 1.2605134E+002, 3.2909010E+002, 2.6989500E+002, 2.9128948E+002, 1.9768233E+001, 1.4247886E+001, 1.2185516E+001, 6.1671439E+000
 3.5000435E+001, 2.3003555E-003,-2.0142794E-003, 1.5240612E+000,-6.9829464E-001, 9.5897712E-005, 1.0773550E-001, 1.7124949E-001, 5.9438553E-002, 2.1866031E-002, 6.7268974E-007, 1.8573466E-008, 3.0821724E+002, 3.0958462E+002, 2.9083482E+002, 2.8629775E+002, 2.8833147E+002, 2.8638563E+002, 2.8092884E+002, 2.7271848E+002, 2.5720494E+002, 2.3633476E+002, 6.9735728E+001, 7.1541691E+000, 3.8799978E+002, 4.2301116E+002, 5.3131137E+002, 2.1558077E+002, 3.4562341E+002, 2.7781328E+002, 2.8306640E+002, 1.8778594E+001, 1.8619089E+001, 1.3150441E+001, 7.1336310E+000
 4.0002792E+001, 2.2617077E-003,-1.9551688E-003, 1.5773430E+000,-6.6157399E-001, 1.0023280E-004, 9.4868705E-002, 1.6509092E-001, 6.7024646E-002, 2.5506066E-002, 2.5322403E-005, 3.1188339E-006, 3.3112593E+002, 3.3236938E+002, 3.2022768E+002, 3.1814202E+002, 3.1960184E+002, 3.1669267E+002, 3.0922302E+002, 2.9840082E+002, 2.8271226E+002, 2.6249488E+002, 7.3915168E+001, 6.5389496E+000, 4.1813676E+002, 4.7174680E+002, 5.6624560E+002, 2.7602062E+002, 3.6916147E+002, 2.9081745E+002, 2.8711935E+002, 1.9678701E+001, 2.2877406E+001, 1.4829358E+001, 8.0868638E+000
 4.5000144E+001, 2.2843472E-003,-2.0290387E-003, 1.6139023E+000,-7.1564698E-001, 1.0456757E-004, 7.9778739E-002, 1.5585991E-001, 7.5879494E-002, 3.0938057E-002, 9.4726658E-005, 3.0907696E-005, 3.4662193E+002, 3.4938541E+002, 3.3662934E+002, 3.3238595E+002, 3.3185042E+002, 3.2894732E+002, 3.2263953E+002, 3.1250716E+002, 2.9762678E+002, 2.7808213E+002, 8.1744550E+001, 7.0579980E+000, 4.3857949E+002, 4.7082147E+002, 5.8042281E+002, 3.4376334E+002, 3.8757323E+002, 3.0715958E+002, 2.9819020E+002, 1.9559422E+001, 2.9385550E+001, 1.6030540E+001, 9.1600873E+000
 5.0002472E+001, 2.2936382E-003,-1.9013352E-003, 1.7106718E+000,-6.7243874E-001, 1.0890181E-004, 6.9270486E-002, 1.5519488E-001, 8.2026722E-002, 3.1325838E-002, 1.6132004E-004, 3.6325801E-005, 3.6813889E+002, 3.7054743E+002, 3.5662714E+002, 3.5108908E+002, 3.5195484E+002, 3.4770533E+002, 3.4031109E+002, 3.3088585E+002, 3.1594746E+002, 2.9550829E+002, 8.1537384E+001, 8.4640304E+000, 4.4765359E+002, 4.8770901E+002, 5.8882006E+002, 4.3960447E+002, 4.0630997E+002, 3.2340529E+002, 3.1468833E+002, 2.0035111E+001, 2.7473529E+001, 1.7256581E+001, 1.0312175E+001
 5.5002346E+001, 2.1916632E-003,-1.9631107E-003, 1.6259946E+000,-8.0622356E-001, 1.1323761E-004, 6.0646400E-002, 1.4192232E-001, 8.7103135E-002, 3.9134345E-002, 1.8571919E-004, 7.7860363E-005, 3.8146741E+002, 3.8410044E+002, 3.7388065E+002, 3.6934728E+002, 3.6813917E+002, 3.6420325E+002, 3.5709552E+002, 3.4719145E+002, 3.3124343E+002, 3.1045208E+002, 1.0461733E+002, 1.7803893E+001, 4.7752239E+002, 5.0665442E+002, 5.8538130E+002, 4.6041411E+002, 4.2720871E+002, 3.3827010E+002, 3.2740214E+002, 2.0025152E+001, 3.1654221E+001, 1.7875474E+001, 1.1616088E+001
 6.0001468E+001, 2.2952842E-003,-2.0438795E-003, 1.7832783E+000,-7.0193249E-001, 1.1757188E-004, 4.8144082E-002, 1.4948483E-001, 9.4457950E-002, 3.4647268E-002, 2.2543301E-004, 9.0674924E-005, 4.0118004E+002, 4.0522526E+002, 3.9342769E+002, 3.8804665E+002, 3.8464742E+002, 3.7826696E+002, 3.7002486E+002, 3.5953973E+002, 3.4543271E+002, 3.2560314E+002, 1.0325157E+002, 1.5191083E+001, 5.0173579E+002, 5.2759795E+002, 6.0800122E+002, 4.8253561E+002, 4.5281169E+002, 3.5773847E+002, 3.4504787E+002, 2.0953678E+001, 3.2986919E+001, 2.0318601E+001, 1.3131836E+001
