s,kg/s,kg/s,Pa,Pa,kg/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2
Time,M1,M2,P1,P2,B,G1,G2,G3,G4,G5,G6,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,TC15,TC16,TC17,TC18,TC19,HF1,HF2,HF3,HF4
 0.0000000E+000, 5.7140533E-008,-1.2437377E-006,-1.0523756E-005,-2.6602429E-005, 0.0000000E+000, 2.0755882E-001, 2.0755882E-001, 3.8641183E-004, 3.8641183E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.5138591E-007,-6.7665378E-007,-5.1051528E-007,-3.8207372E-007
 5.0004099E+000, 1.3610250E-003, 1.3938528E-003, 8.6241728E+001, 8.5949073E+001, 3.8421635E-005, 2.0364418E-001, 2.0561480E-001, 2.7022110E-003, 1.5364420E-003, 1.2029056E-012, 1.5267810E-011, 1.1441669E+001, 6.8450565E+000, 5.7959916E+000, 5.1307678E+000, 4.9168119E+000, 4.7045307E+000, 4.2965100E+000, 4.1091994E+000, 3.9301988E+000, 3.8521578E+000, 3.9197962E+000, 5.8297726E+000, 1.1316636E+001, 1.3353557E+001, 1.9461807E+001, 4.9573793E+001, 9.2125441E+000, 1.3132603E+001, 1.7743043E+001, 1.3470068E+001, 5.2167115E+000, 1.0555702E+000, 5.4435609E-001
 1.0000102E+001, 1.4869603E-003, 1.5351771E-003, 1.1229657E+002, 1.1092429E+002, 6.9757875E-005, 1.8682315E-001, 1.9071908E-001, 1.2653085E-002, 1.0348356E-002, 1.2574561E-011, 4.2024608E-011, 8.6497324E+001, 6.3713438E+001, 5.7829059E+001, 5.3795610E+001, 5.3351635E+001, 5.2007868E+001, 4.9700290E+001, 4.9233950E+001, 4.6535530E+001, 4.6191711E+001, 5.0147232E+001, 6.6386210E+001, 9.1412467E+001, 1.0516309E+002, 1.4162841E+002, 1.9711113E+002, 6.1864369E+001, 5.4442111E+001, 5.4429145E+001, 1.9527913E+001, 1.3067325E+001, 3.2845314E+000, 1.8590333E+000
 1.5000057E+001, 6.9654314E-004, 6.8708674E-004, 5.0554062E+001, 4.8599579E+001, 7.7377372E-005, 1.5981648E-001, 1.6437180E-001, 2.8629519E-002, 2.5934709E-002, 1.2972251E-011, 1.2921052E-011, 1.8290487E+002, 1.5833046E+002, 1.5422776E+002, 1.4932988E+002, 1.4854809E+002, 1.4523138E+002, 1.4023999E+002, 1.4015600E+002, 1.3565176E+002, 1.3250120E+002, 1.3588154E+002, 1.4953449E+002, 1.9892097E+002, 2.2211902E+002, 2.8824634E+002, 3.8775780E+002, 1.6041567E+002, 1.4284554E+002, 1.3136524E+002, 2.6162085E+001, 1.8620562E+001, 5.5631943E+000, 3.4879949E+000
 2.0002703E+001,-2.9830409E-004,-4.0035793E-004,-4.9517581E+000,-6.9001810E+000, 3.4340434E-005, 1.6441704E-001, 1.4803150E-001, 2.5907948E-002, 3.5601204E-002, 1.4723972E-011, 1.1437821E-011, 1.0196257E+002, 1.6557795E+002, 2.0520107E+002, 2.0488910E+002, 2.0421004E+002, 2.0317889E+002, 2.0004398E+002, 1.9778214E+002, 1.9212522E+002, 1.8566865E+002, 1.7721686E+002, 7.7286982E+001, 2.4361276E+002, 2.7351670E+002, 3.1960232E+002, 3.7688187E+002, 1.9213598E+002, 2.0648242E+002, 1.9924017E+002, 1.1981100E+001, 9.4292793E+000, 4.4412717E+000, 2.7769188E+000
 2.5000540E+001, 4.3577304E-004, 3.7463867E-004, 3.4999853E+001, 3.2958332E+001, 6.3042849E-005, 1.2846652E-001, 1.3233498E-001, 4.7175324E-002, 4.4886846E-002, 1.8566234E-010, 1.2293181E-011, 1.4419115E+002, 1.8002517E+002, 2.0967086E+002, 2.0904675E+002, 2.0846660E+002, 2.0848444E+002, 2.0654467E+002, 2.0315718E+002, 1.9743635E+002, 1.9076236E+002, 1.7941541E+002, 9.6007357E+001, 2.5025171E+002, 2.7734892E+002, 3.0363117E+002, 3.3468381E+002, 2.0983138E+002, 2.1168400E+002, 2.0904032E+002, 2.2888729E+001, 1.4131756E+001, 5.9183155E+000, 3.8458663E+000
 3.0000620E+001, 4.6072395E-005,-9.1482599E-006, 1.4154005E+001, 1.2019005E+001, 6.5768192E-005, 1.2147003E-001, 1.1153690E-001, 5.1264986E-002, 5.7126770E-002, 4.4382127E-005, 5.8548693E-005, 1.6763987E+002, 2.0811446E+002, 2.3632383E+002, 2.3645472E+002, 2.3626075E+002, 2.3464519E+002, 2.3144567E+002, 2.2796410E+002, 2.2293757E+002, 2.1559501E+002, 2.0413849E+002, 1.2800966E+002, 2.7084944E+002, 3.0691021E+002, 3.6197503E+002, 4.3772288E+002, 2.3481282E+002, 2.3798733E+002, 2.3101825E+002, 1.2452251E+001, 2.5534316E+001, 6.9092354E+000, 4.5497772E+000
 3.5000545E+001,-7.9872877E-005,-1.7379086E-004, 7.8930729E+000, 5.8057504E+000, 6.0008551E-005, 1.1479236E-001, 9.9459435E-002, 5.4942793E-002, 6.3909800E-002, 2.9514230E-004, 3.8252738E-004, 1.2536717E+002, 2.0266476E+002, 2.4195557E+002, 2.4272937E+002, 2.4115933E+002, 2.3908576E+002, 2.3677877E+002, 2.3393326E+002, 2.2870758E+002, 2.2025430E+002, 2.0839948E+002, 8.4933802E+001, 2.8364317E+002, 3.1595724E+002, 3.6510060E+002, 4.8442324E+002, 2.3005118E+002, 2.4016771E+002, 2.3964259E+002, 1.0905623E+001, 2.0716704E+001, 6.5975206E+000, 4.4972111E+000
 4.0003938E+001,-1.9849880E-004,-3.2035746E-004,-1.5764868E+000,-3.5064810E+000, 7.1744515E-005, 1.0421520E-001, 9.7377311E-002, 6.0689138E-002, 6.4558429E-002, 7.5025588E-004, 8.9978405E-004, 7.2408498E+001, 1.9380369E+002, 2.3618200E+002, 2.3491315E+002, 2.3202431E+002, 2.3029724E+002, 2.2747135E+002, 2.2334122E+002, 2.1689041E+002, 2.0966251E+002, 1.9624056E+002, 3.9765941E+001, 2.6667237E+002, 2.7637130E+002, 3.0727485E+002, 3.7524205E+002, 2.3433847E+002, 2.2955217E+002, 2.2870868E+002, 1.8469257E+001, 7.2648199E+000, 4.4149432E+000, 3.9183750E+000
 4.5000715E+001,-2.6035990E-004,-3.4286751E-004,-2.2382825E+000,-3.9835356E+000, 6.8820092E-005, 1.2444228E-001, 9.7748781E-002, 4.8858846E-002, 6.3199014E-002, 5.9853273E-004, 1.8898984E-003, 2.8238856E+001, 1.7498561E+002, 2.1182241E+002, 2.1027104E+002, 2.0594454E+002, 2.0379989E+002, 2.0201277E+002, 1.9948014E+002, 1.9492267E+002, 1.8854394E+002, 1.7563567E+002, 1.1857981E+001, 2.3595809E+002, 2.3448583E+002, 2.5060322E+002, 2.6277581E+002, 2.1704055E+002, 2.0913140E+002, 2.0730529E+002, 2.6031279E+001, 3.6982005E+000, 3.2567555E+000, 4.3715202E+000
