s,kg/s,kg/s,Pa,Pa,kg/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2
Time,M1,M2,P1,P2,B,G1,G2,G3,G4,G5,G6,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,TC15,TC16,TC17,TC18,TC19,HF1,HF2,HF3,HF4
 0.0000000E+000,-1.3170708E-006, 2.2938351E-006,-4.3562948E-005,-3.5265883E-005, 0.0000000E+000, 2.0755882E-001, 2.0755882E-001, 3.8641183E-004, 3.8641183E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9492674E-005,-3.0213966E-005,-2.3402483E-005,-1.8718970E-005
 5.0010769E+000, 7.0774341E-004, 2.8067668E-005, 3.0678518E-002, 4.9102939E-004, 1.0650177E-005, 2.0492221E-001, 2.0755882E-001, 1.9461618E-003, 3.8641201E-004, 5.2602124E-012, 1.2791707E-017, 2.3637504E+000, 2.5576516E+000, 2.5011797E-001, 1.4865386E-001, 1.1864907E-001, 1.2145820E-001, 1.5172858E-001, 1.9921174E-001, 2.3999854E-001, 3.0384440E-001, 2.9515962E-001, 1.5051188E-001, 2.4618223E+000, 6.1362363E-001, 1.9816483E-001, 3.0748758E-001, 1.4493878E+001, 2.8232025E+001, 6.9955329E+001, 2.7556463E+001, 1.9564286E-001, 1.4977852E-001, 3.9132442E-001
 1.0002632E+001, 1.8132934E-003,-6.4132481E-005, 3.5147050E-001,-1.0280317E-003, 3.1911209E-005, 1.9630946E-001, 2.0755840E-001, 7.0412340E-003, 3.8666060E-004, 1.1936412E-009, 4.4608474E-015, 2.5619264E+001, 2.6985177E+001, 1.0713017E+001, 8.9168357E+000, 8.4393057E+000, 7.5795523E+000, 6.1826217E+000, 4.7793733E+000, 2.8716554E+000, 2.2197809E+000, 2.1148491E+000, 1.0609585E+000, 2.7906908E+001, 1.2604948E+001, 2.9276156E+000, 2.1791706E+000, 7.8992326E+001, 1.3918148E+002, 3.4551398E+002, 4.4223823E+001, 6.5306257E-001, 7.0430110E-001, 1.3374805E+000
 1.5000384E+001, 2.3587129E-003,-3.7716309E-004, 8.7482978E-001,-3.2263655E-002, 5.3172410E-005, 1.8056989E-001, 2.0703433E-001, 1.6352335E-002, 6.9668771E-004, 1.3914511E-008, 6.4209690E-013, 7.8738209E+001, 8.1007801E+001, 4.4509050E+001, 3.9760039E+001, 3.8775004E+001, 3.6484097E+001, 3.4513030E+001, 3.1629812E+001, 2.4758493E+001, 1.0162092E+001, 5.3019714E+000, 2.4690079E+000, 8.5752037E+001, 5.0603441E+001, 2.8119204E+001, 7.1825187E+000, 1.6551614E+002, 2.6227223E+002, 5.5153565E+002, 4.1703570E+001, 1.3289904E+000, 1.8198144E+000, 2.7611123E+000
 2.0001659E+001, 2.5451328E-003,-7.3294249E-004, 1.3569798E+000,-9.8054952E-002, 7.4435893E-005, 1.6310499E-001, 2.0252307E-001, 2.6684088E-002, 3.3654275E-003, 3.5885029E-008, 3.0735977E-012, 1.5331280E+002, 1.5704753E+002, 1.0324266E+002, 9.3889126E+001, 9.1302305E+001, 8.6779259E+001, 8.4618407E+001, 8.0148845E+001, 7.1790231E+001, 4.8751257E+001, 1.1368153E+001, 3.7120361E+000, 1.8161747E+002, 1.1403565E+002, 7.3861620E+001, 1.8264990E+001, 2.4428019E+002, 2.9324194E+002, 4.9838905E+002, 4.4198263E+001, 2.6800850E+000, 3.9208324E+000, 4.3704485E+000
 2.5002591E+001, 2.4432759E-003,-1.4590148E-003, 1.5428481E+000,-3.7902239E-001, 8.7229091E-005, 1.4169252E-001, 1.8358974E-001, 3.9351175E-002, 1.4565886E-002, 1.0813556E-009, 5.7169758E-012, 2.1938670E+002, 2.2176058E+002, 1.7965875E+002, 1.6777356E+002, 1.6129638E+002, 1.5916280E+002, 1.5699048E+002, 1.5006057E+002, 1.4009885E+002, 1.1995143E+002, 3.4382055E+001, 4.5340231E+000, 2.9096127E+002, 2.3076932E+002, 1.5407664E+002, 4.2710644E+001, 2.9238998E+002, 2.6467829E+002, 3.3919881E+002, 3.2185740E+001, 6.2653799E+000, 7.0064841E+000, 5.1451100E+000
 3.0002667E+001, 2.2836367E-003,-1.9564907E-003, 1.4030946E+000,-6.6311173E-001, 9.1564435E-005, 1.2311330E-001, 1.7594310E-001, 5.0342082E-002, 1.9089438E-002, 6.4029602E-008, 5.5411913E-012, 2.7530473E+002, 2.7575649E+002, 2.5138667E+002, 2.3996773E+002, 2.3289656E+002, 2.3053914E+002, 2.2515347E+002, 2.1595495E+002, 2.0429004E+002, 1.8772581E+002, 5.6379893E+001, 5.8400108E+000, 3.4648062E+002, 3.7498658E+002, 3.8493545E+002, 9.7722138E+001, 3.1911533E+002, 2.5821652E+002, 2.7148421E+002, 1.9875288E+001, 1.2733838E+001, 1.0994068E+001, 5.7120042E+000
 3.5003414E+001, 2.2838547E-003,-1.9700210E-003, 1.4744130E+000,-6.4064584E-001, 9.5899493E-005, 1.0698620E-001, 1.7287994E-001, 5.9880569E-002, 2.0901514E-002, 1.8805135E-006, 5.2071734E-009, 2.9943951E+002, 3.0081527E+002, 2.8506515E+002, 2.7712066E+002, 2.7398364E+002, 2.7285863E+002, 2.6732477E+002, 2.5680501E+002, 2.4146514E+002, 2.2395026E+002, 6.0275880E+001, 5.2330284E+000, 3.9074814E+002, 4.4287761E+002, 5.6440025E+002, 1.8018770E+002, 3.4408346E+002, 2.6686201E+002, 2.6444274E+002, 1.9247765E+001, 1.8199967E+001, 1.3535327E+001, 6.5971331E+000
 4.0000530E+001, 2.3223004E-003,-2.0588102E-003, 1.5168096E+000,-6.7625943E-001, 1.0023306E-004, 9.5159556E-002, 1.7531654E-001, 6.6847044E-002, 1.9458599E-002, 3.0690401E-005, 1.4394121E-006, 3.1675532E+002, 3.1798894E+002, 3.0401572E+002, 3.0033510E+002, 2.9929584E+002, 2.9736765E+002, 2.9191400E+002, 2.8361254E+002, 2.6784710E+002, 2.4914075E+002, 6.2940522E+001, 5.4732142E+000, 3.9992142E+002, 4.5339475E+002, 5.9130971E+002, 2.3395846E+002, 3.5822270E+002, 2.7950417E+002, 2.7175530E+002, 1.8621269E+001, 2.1789012E+001, 1.4116247E+001, 7.2878206E+000
 4.5000787E+001, 2.2692937E-003,-2.0046871E-003, 1.5305452E+000,-6.9427799E-001, 1.0456685E-004, 8.3022767E-002, 1.5963488E-001, 7.3931229E-002, 2.8715495E-002, 1.2281673E-004, 2.0677307E-005, 3.3411048E+002, 3.3625663E+002, 3.2157849E+002, 3.1732842E+002, 3.1718282E+002, 3.1549091E+002, 3.0901894E+002, 2.9800875E+002, 2.8529328E+002, 2.6494981E+002, 6.3887432E+001, 6.2360298E+000, 4.2730455E+002, 4.8398560E+002, 6.2146423E+002, 2.7683576E+002, 3.7419419E+002, 2.8723280E+002, 2.7666054E+002, 1.9380059E+001, 2.1756624E+001, 1.5231505E+001, 8.0122245E+000
 5.0000894E+001, 2.2460671E-003,-1.9711088E-003, 1.5832084E+000,-7.1994883E-001, 1.0890149E-004, 7.0690841E-002, 1.4889298E-001, 8.1143235E-002, 3.5016393E-002, 2.0290572E-004, 7.2335451E-005, 3.4559258E+002, 3.4884761E+002, 3.3580964E+002, 3.3028159E+002, 3.3075946E+002, 3.3121838E+002, 3.2308797E+002, 3.1165077E+002, 2.9871650E+002, 2.8070563E+002, 8.4371230E+001, 9.1889864E+000, 4.4062011E+002, 4.9514650E+002, 5.9457939E+002, 2.9420753E+002, 3.9255063E+002, 3.0230772E+002, 2.8847289E+002, 1.9609738E+001, 2.3289215E+001, 1.6894997E+001, 9.2279951E+000
