s,kg/s,kg/s,Pa,Pa,kg/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2
Time,M1,M2,P1,P2,B,G1,G2,G3,G4,G5,G6,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,TC15,TC16,TC17,TC18,TC19,HF1,HF2,HF3,HF4
 4.5000148E+001, 8.5533693E-003,-8.3370100E-003, 9.3917384E-001,-5.5053893E-001, 1.1577692E-004, 1.6088448E-001, 2.0555956E-001, 2.7997708E-002, 1.5691239E-003, 7.7547249E-009, 1.6972737E-012, 2.3092445E+002, 2.3989050E+002, 2.2578046E+002, 2.2241876E+002, 2.1843802E+002, 2.1302812E+002, 2.0214057E+002, 1.8311387E+002, 1.3061283E+002, 7.4317949E+001, 2.9893021E+001, 4.2965906E+000, 3.4316627E+002, 3.8637292E+002, 3.1204694E+002, 1.2023094E+002, 2.9393382E+002, 2.1397889E+002, 1.6074266E+002, 2.6955148E+001, 1.7318981E+001, 1.1189456E+001, 5.6591808E+000
 5.0001214E+001, 8.7092125E-003,-8.5350809E-003, 9.6373666E-001,-5.6885529E-001, 1.2050168E-004, 1.5841319E-001, 2.0552789E-001, 2.9459661E-002, 1.5878598E-003, 4.9491013E-009, 1.8161336E-012, 2.4687647E+002, 2.5818804E+002, 2.3712827E+002, 2.3249163E+002, 2.2629755E+002, 2.1789944E+002, 2.0733504E+002, 1.9116266E+002, 1.3609095E+002, 7.9685162E+001, 3.0895612E+001, 4.9496386E+000, 3.4757707E+002, 3.7764637E+002, 3.1393268E+002, 1.3015431E+002, 3.0830413E+002, 2.2294658E+002, 1.6868039E+002, 2.7446954E+001, 1.7728934E+001, 1.2399364E+001, 6.0777294E+000
 5.5001814E+001, 8.8073643E-003,-8.4997153E-003, 1.0052926E+000,-5.6919392E-001, 1.2522792E-004, 1.5779352E-001, 2.0560798E-001, 2.9826240E-002, 1.5404798E-003, 6.3198532E-009, 2.2843039E-012, 2.6411903E+002, 2.7506383E+002, 2.4982661E+002, 2.4168698E+002, 2.3552406E+002, 2.2682951E+002, 2.1331494E+002, 1.9496208E+002, 1.4464613E+002, 8.5035909E+001, 3.3388360E+001, 5.7696404E+000, 3.6642663E+002, 3.9173661E+002, 3.1630828E+002, 1.3424975E+002, 3.2000004E+002, 2.3076308E+002, 1.7697898E+002, 2.8356727E+001, 1.8839651E+001, 1.3450026E+001, 6.5703981E+000
 6.0002358E+001, 8.8404940E-003,-8.6011070E-003, 1.0275613E+000,-5.8061264E-001, 1.2995383E-004, 1.5655888E-001, 2.0547208E-001, 3.0556615E-002, 1.6208738E-003, 1.5862436E-008, 2.2087699E-012, 2.6614960E+002, 2.8006731E+002, 2.5740196E+002, 2.4785678E+002, 2.4308177E+002, 2.3782321E+002, 2.2787083E+002, 2.1013131E+002, 1.5074201E+002, 9.1315996E+001, 3.6342991E+001, 6.2801492E+000, 3.7908209E+002, 4.1793481E+002, 3.5527964E+002, 1.4383141E+002, 3.2965257E+002, 2.4011214E+002, 1.9204531E+002, 2.8465787E+001, 2.0090950E+001, 1.3588367E+001, 7.1126638E+000
 6.5000002E+001, 8.7688511E-003,-8.4069335E-003, 1.0742945E+000,-5.5543804E-001, 1.3467836E-004, 1.5265855E-001, 2.0570174E-001, 3.2863946E-002, 1.4850117E-003, 1.3396058E-008, 2.3327094E-012, 2.7413676E+002, 2.8572430E+002, 2.6662051E+002, 2.6083120E+002, 2.5340575E+002, 2.4767493E+002, 2.3801850E+002, 2.1689897E+002, 1.5624283E+002, 9.5153120E+001, 3.7728410E+001, 6.7741842E+000, 4.0147430E+002, 4.3654403E+002, 3.7540025E+002, 1.5300704E+002, 3.4802381E+002, 2.5145567E+002, 2.0140812E+002, 2.9487111E+001, 1.8897900E+001, 1.4740448E+001, 7.8466533E+000
 7.0000476E+001, 8.9245488E-003,-8.6675228E-003, 1.1030596E+000,-5.8801708E-001, 1.3940324E-004, 1.5420764E-001, 2.0537569E-001, 3.1947551E-002, 1.6778951E-003, 8.4797747E-009, 2.4695835E-012, 2.7936899E+002, 2.9243817E+002, 2.7352247E+002, 2.6862312E+002, 2.6284472E+002, 2.5657622E+002, 2.4652252E+002, 2.2590119E+002, 1.6649784E+002, 1.0146771E+002, 4.0529058E+001, 7.2494343E+000, 4.1816720E+002, 4.3666606E+002, 3.5622754E+002, 1.5694029E+002, 3.5910205E+002, 2.6318213E+002, 2.1097615E+002, 2.9817355E+001, 2.0750924E+001, 1.5473462E+001, 8.1916278E+000
 7.5002216E+001, 8.8376831E-003,-8.7854387E-003, 1.1068214E+000,-6.0431662E-001, 1.4176437E-004, 1.5133196E-001, 2.0550809E-001, 3.3648723E-002, 1.5995698E-003, 1.2037575E-008, 2.0114359E-012, 2.9237793E+002, 3.0513436E+002, 2.8936154E+002, 2.8344943E+002, 2.7975390E+002, 2.7254217E+002, 2.5995463E+002, 2.3127895E+002, 1.7125573E+002, 1.0844710E+002, 4.1701882E+001, 7.5236697E+000, 4.3432715E+002, 4.4919076E+002, 3.2420661E+002, 1.6009501E+002, 3.6634329E+002, 2.7289246E+002, 2.1866984E+002, 2.8391031E+001, 2.0931098E+001, 1.5980989E+001, 8.7961357E+000
 8.0002711E+001, 8.8587880E-003,-8.5560017E-003, 1.1329593E+000,-5.6920747E-001, 1.4176437E-004, 1.5262811E-001, 2.0548437E-001, 3.2881955E-002, 1.6136050E-003, 1.2204559E-008, 2.4372796E-012, 3.0125347E+002, 3.1373857E+002, 2.9616226E+002, 2.9055886E+002, 2.8589151E+002, 2.7803109E+002, 2.6391439E+002, 2.2823936E+002, 1.6588467E+002, 1.1256018E+002, 4.3748617E+001, 7.6755479E+000, 4.3338801E+002, 4.4167358E+002, 3.4304238E+002, 1.6294197E+002, 3.7402203E+002, 2.7560822E+002, 2.1570440E+002, 2.9129519E+001, 2.1522405E+001, 1.6735147E+001, 8.8989613E+000
 8.5001101E+001, 8.9023231E-003,-8.7663962E-003, 1.1573288E+000,-6.0623491E-001, 1.4176437E-004, 1.5259079E-001, 2.0560562E-001, 3.2904042E-002, 1.5418727E-003, 1.6302764E-009, 2.2270756E-012, 3.0085200E+002, 3.1408634E+002, 2.9928019E+002, 2.9657009E+002, 2.9160871E+002, 2.8282532E+002, 2.6973339E+002, 2.4597054E+002, 1.7772444E+002, 1.1584929E+002, 4.6441958E+001, 8.5072753E+000, 4.2597628E+002, 4.5220918E+002, 3.7616639E+002, 1.7302069E+002, 3.6983129E+002, 2.8161183E+002, 2.2860236E+002, 2.9837878E+001, 2.6139180E+001, 1.6047706E+001, 9.1895062E+000
 9.0002205E+001, 8.8045732E-003,-8.6079856E-003, 1.1636052E+000,-5.8314984E-001, 1.4176437E-004, 1.5073064E-001, 2.0551815E-001, 3.4004367E-002, 1.5936221E-003, 9.0508484E-008, 2.6854765E-012, 3.0508232E+002, 3.1715502E+002, 3.0392337E+002, 3.0057252E+002, 2.9517374E+002, 2.8864256E+002, 2.7606702E+002, 2.5628469E+002, 1.8950363E+002, 1.2045618E+002, 4.9263448E+001, 8.8028504E+000, 4.4551726E+002, 4.5450752E+002, 3.7875217E+002, 1.7808787E+002, 3.7663285E+002, 2.8926143E+002, 2.3612968E+002, 2.9316192E+001, 2.3363353E+001, 1.7427234E+001, 9.6498763E+000
