s,kg/s,kg/s,Pa,Pa,kg/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2
Time,"M1","M2","P1","P2","B","G1","G2","G3","G4","G5","G6","TC1","TC2","TC3","TC4","TC5","TC6","TC7","TC8","TC9","TC10","TC11","TC12","TC13","TC14","TC15","TC16","TC17","TC18","TC19","HF1","HF2","HF3","HF4"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0782285E-001, 2.0782285E-001, 3.8690337E-004, 3.8690337E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.9123064E-007,-7.4083042E-007,-5.8298018E-007,-4.7714380E-007
 5.0016386E+000, 5.5096396E-003, 1.1473013E-003, 1.2390799E+000, 2.3800516E-001, 1.6114863E-004, 1.6880402E-001, 2.0641642E-001, 2.3265408E-002, 1.2187412E-003, 1.9530762E-004, 6.1160860E-008, 9.9498604E+001, 8.5775484E+001, 4.6303501E+001, 3.3683282E+001, 2.5721378E+001, 2.6165844E+001, 2.6317869E+001, 2.3203540E+001, 2.0003644E+001, 1.1852195E+001, 5.7755840E+000, 3.9504711E+000, 7.7618072E+001, 4.4318698E+001, 2.0129276E+001, 5.8510728E+000, 1.6235950E+002, 2.8024118E+002, 3.7642720E+002, 2.9140435E+001, 3.3339573E+000, 4.8719594E+000, 9.9297831E+000
 1.0000801E+001, 5.0538186E-003,-3.2921492E-003, 1.4252037E+000,-6.5414571E-001, 2.0519975E-004, 1.1110545E-001, 1.9422122E-001, 5.7352424E-002, 8.4325329E-003, 2.3646379E-004, 7.8604251E-009, 3.5795442E+002, 3.4332009E+002, 2.2952540E+002, 2.0277890E+002, 1.8829515E+002, 1.7723527E+002, 1.6267432E+002, 1.4103501E+002, 1.2227140E+002, 9.1766050E+001, 3.0490919E+001, 1.2104417E+001, 3.6816722E+002, 2.2478585E+002, 1.3817829E+002, 3.9208686E+001, 5.0466676E+002, 4.9293551E+002, 5.7940689E+002, 2.8048430E+001, 7.2995066E+000, 1.1723729E+001, 1.8905507E+001
 1.5001990E+001, 4.7915487E-003,-3.8439419E-003, 1.5056067E+000,-9.4385795E-001, 2.4925159E-004, 6.5770973E-002, 1.8973555E-001, 8.2991410E-002, 1.1085886E-002, 1.3723594E-003, 1.8941495E-008, 5.0246087E+002, 5.1297332E+002, 4.0368540E+002, 3.6489293E+002, 3.4338742E+002, 3.2024394E+002, 2.9722984E+002, 2.7081428E+002, 2.4788981E+002, 1.8246201E+002, 5.7212562E+001, 2.0124008E+001, 5.5511546E+002, 4.0846929E+002, 2.8619495E+002, 8.1580423E+001, 6.5074096E+002, 5.6270553E+002, 5.8606636E+002, 2.8459729E+001, 1.1585291E+001, 1.8278168E+001, 2.7094615E+001
 2.0000754E+001, 4.7503989E-003,-3.8787360E-003, 1.5856518E+000,-1.0319149E+000, 2.9329989E-004, 2.3317765E-002, 1.7514542E-001, 1.0576479E-001, 1.9716248E-002, 3.6063255E-003, 2.2094247E-008, 5.6195914E+002, 5.8327161E+002, 4.7076673E+002, 4.3764997E+002, 4.2029214E+002, 3.9976114E+002, 3.8134040E+002, 3.6037757E+002, 3.3516524E+002, 2.8290830E+002, 9.1891302E+001, 3.1528801E+001, 6.6442099E+002, 5.3545855E+002, 3.8681709E+002, 1.3760762E+002, 6.9872445E+002, 5.6259876E+002, 5.6816567E+002, 3.2401889E+001, 1.9855391E+001, 2.8177441E+001, 3.2461731E+001
 2.5001763E+001, 4.7731012E-003,-4.1051902E-003, 1.6051073E+000,-1.1722804E+000, 3.3734891E-004, 1.0781682E-002, 1.7854084E-001, 1.0981574E-001, 1.7707758E-002, 6.8123379E-003, 4.9942727E-008, 5.7288779E+002, 5.9665723E+002, 5.3476363E+002, 5.1649898E+002, 4.9850740E+002, 4.7635192E+002, 4.5688373E+002, 4.3685039E+002, 4.1382758E+002, 3.5397181E+002, 1.1143475E+002, 3.9171910E+001, 6.8210357E+002, 6.7495463E+002, 5.0460735E+002, 2.1473883E+002, 6.8768803E+002, 5.3796415E+002, 5.1592336E+002, 3.8010543E+001, 3.3714271E+001, 4.1539830E+001, 3.4274365E+001
 3.0000115E+001, 5.0338213E-003,-4.2243527E-003, 1.7212571E+000,-1.1417232E+000, 3.8139458E-004, 5.8415718E-004, 1.5603208E-001, 1.1076469E-001, 3.0934716E-002, 1.1590948E-002, 8.4469111E-005, 5.6016071E+002, 5.8083479E+002, 5.5241088E+002, 5.3725169E+002, 5.2476920E+002, 5.1311737E+002, 4.9942300E+002, 4.8534373E+002, 4.6823521E+002, 4.4065060E+002, 1.6075394E+002, 5.3258540E+001, 6.7358171E+002, 7.2500697E+002, 6.2838782E+002, 3.5692562E+002, 6.6551403E+002, 5.5437533E+002, 5.3566234E+002, 4.0692868E+001, 4.2245728E+001, 4.7489576E+001, 3.7920694E+001
 3.5002068E+001, 5.0064978E-003,-4.3202475E-003, 1.6914380E+000,-1.2423055E+000, 4.2544662E-004, 1.0009345E-003, 1.3862495E-001, 1.0797489E-001, 4.0758816E-002, 1.3863948E-002, 5.3865711E-004, 5.6818243E+002, 5.8697221E+002, 5.6842139E+002, 5.5546977E+002, 5.4432008E+002, 5.3473414E+002, 5.2471063E+002, 5.1283838E+002, 4.9985717E+002, 4.9748558E+002, 2.4781143E+002, 6.8517202E+001, 6.5485673E+002, 7.6038154E+002, 7.4502446E+002, 5.9183575E+002, 6.5228004E+002, 5.6793195E+002, 5.6150916E+002, 4.4344301E+001, 5.2352700E+001, 5.5747470E+001, 4.0299451E+001
 4.0000469E+001, 5.2185237E-003,-4.4392723E-003, 1.8486211E+000,-1.1151960E+000, 4.6949673E-004, 1.0029922E-004, 1.3202268E-001, 1.0186368E-001, 4.3661108E-002, 1.9919587E-002, 1.4993077E-003, 5.6507922E+002, 5.8373033E+002, 5.7133743E+002, 5.6334597E+002, 5.5594720E+002, 5.4842930E+002, 5.4136083E+002, 5.3241236E+002, 5.2585217E+002, 5.4896979E+002, 2.9820446E+002, 8.1408110E+001, 6.3094339E+002, 7.1291585E+002, 7.8050661E+002, 7.4935061E+002, 6.4137402E+002, 5.9275583E+002, 5.7173576E+002, 4.6879609E+001, 5.6866914E+001, 5.6898299E+001, 4.3280549E+001
