s,g/m2/s
Time,MLR
 0.000E+000, 0.000E+000
 5.050E+000, 5.658E-002
 1.000E+001, 5.737E-001
 1.500E+001, 8.119E+000
 2.000E+001, 1.677E+001
 2.500E+001, 1.174E+001
 3.000E+001, 7.684E+000
 3.500E+001, 4.976E+000
 4.005E+001, 3.580E+000
 4.505E+001, 2.919E+000
 5.005E+001, 2.693E+000
 5.505E+001, 2.873E+000
 6.005E+001, 3.683E+000
 6.505E+001, 5.194E+000
 7.005E+001, 6.770E+000
 7.505E+001, 7.504E+000
 8.005E+001, 7.309E+000
 8.505E+001, 6.650E+000
 9.005E+001, 5.920E+000
 9.505E+001, 5.272E+000
 1.000E+002, 4.814E+000
 1.050E+002, 4.653E+000
 1.100E+002, 4.801E+000
 1.150E+002, 5.265E+000
 1.200E+002, 5.945E+000
 1.250E+002, 6.557E+000
 1.300E+002, 6.853E+000
 1.350E+002, 6.786E+000
 1.400E+002, 6.415E+000
 1.450E+002, 5.822E+000
 1.500E+002, 5.086E+000
 1.550E+002, 4.250E+000
 1.600E+002, 3.320E+000
 1.650E+002, 2.328E+000
 1.700E+002, 1.381E+000
 1.750E+002, 6.899E-001
 1.800E+002, 3.810E-001
 1.850E+002, 3.079E-001
 1.900E+002, 2.998E-001
 1.950E+002, 2.994E-001
 2.000E+002, 2.990E-001
