s,kW,C,kg/m2/s,m,kW/m2
Time,"HRR","temp","MLR","thick","flux"
 1.300E+002, 5.564E+001, 7.594E+002, 0.000E+000, 1.790E-002, 9.003E+001
 1.320E+002, 5.016E+001, 7.640E+002, 0.000E+000, 1.790E-002, 9.049E+001
 1.340E+002, 4.365E+001, 7.646E+002, 0.000E+000, 1.790E-002, 8.860E+001
 1.360E+002, 3.568E+001, 7.551E+002, 0.000E+000, 1.790E-002, 8.312E+001
 1.380E+002, 2.606E+001, 7.529E+002, 0.000E+000, 1.790E-002, 8.218E+001
 1.400E+002, 1.585E+001, 7.498E+002, 0.000E+000, 1.790E-002, 8.071E+001
 1.420E+002, 8.241E+000, 7.452E+002, 0.000E+000, 1.790E-002, 7.916E+001
 1.440E+002, 4.779E+000, 7.424E+002, 0.000E+000, 1.790E-002, 7.865E+001
 1.460E+002, 3.395E+000, 7.415E+002, 0.000E+000, 1.790E-002, 7.865E+001
 1.480E+002, 2.265E+000, 7.397E+002, 0.000E+000, 1.790E-002, 7.840E+001
 1.500E+002, 1.104E+000, 7.388E+002, 0.000E+000, 1.790E-002, 7.825E+001
 1.520E+002, 2.863E-001, 7.382E+002, 0.000E+000, 1.790E-002, 7.838E+001
 1.540E+002, 2.866E-002, 7.402E+002, 0.000E+000, 1.790E-002, 7.914E+001
 1.560E+002, 1.002E-003, 7.408E+002, 0.000E+000, 1.790E-002, 7.947E+001
 1.580E+002, 1.250E-005, 7.406E+002, 0.000E+000, 1.790E-002, 7.904E+001
 1.600E+002, 4.412E-008, 7.410E+002, 0.000E+000, 1.790E-002, 7.964E+001
 1.620E+002, 0.000E+000, 7.420E+002, 0.000E+000, 1.790E-002, 7.998E+001
 1.640E+002, 0.000E+000, 7.414E+002, 0.000E+000, 1.790E-002, 7.929E+001
 1.660E+002, 0.000E+000, 7.414E+002, 0.000E+000, 1.790E-002, 7.956E+001
 1.680E+002, 0.000E+000, 7.410E+002, 0.000E+000, 1.790E-002, 7.914E+001
 1.700E+002, 0.000E+000, 7.414E+002, 0.000E+000, 1.790E-002, 7.961E+001
 1.720E+002, 0.000E+000, 7.404E+002, 0.000E+000, 1.790E-002, 7.897E+001
 1.740E+002, 0.000E+000, 7.406E+002, 0.000E+000, 1.790E-002, 7.925E+001
 1.760E+002, 0.000E+000, 7.404E+002, 0.000E+000, 1.790E-002, 7.946E+001
 1.780E+002, 0.000E+000, 7.420E+002, 0.000E+000, 1.790E-002, 8.003E+001
