s,kW,C,kg/m2/s,m,kW/m2
Time,"HRR","temp","MLR","thick","flux"
 0.000E+000, 0.000E+000, 2.000E+001, 0.000E+000, 2.040E-002,-4.653E-011
 2.010E+000, 0.000E+000, 6.031E+001, 0.000E+000, 2.040E-002, 7.506E+001
 4.015E+000, 0.000E+000, 1.196E+002, 0.000E+000, 2.040E-002, 7.522E+001
 6.011E+000, 0.000E+000, 1.638E+002, 1.372E-017, 2.040E-002, 7.535E+001
 8.003E+000, 0.000E+000, 2.002E+002, 3.913E-015, 2.040E-002, 7.546E+001
 1.001E+001, 0.000E+000, 2.316E+002, 3.067E-013, 2.040E-002, 7.555E+001
 1.201E+001, 9.877E-008, 2.593E+002, 9.894E-012, 2.040E-002, 7.564E+001
 1.401E+001, 2.592E-006, 2.839E+002, 1.709E-010, 2.040E-002, 7.571E+001
 1.600E+001, 2.842E-005, 3.062E+002, 1.852E-009, 2.040E-002, 7.578E+001
 1.800E+001, 2.138E-004, 3.264E+002, 1.410E-008, 2.040E-002, 7.585E+001
 2.001E+001, 1.215E-003, 3.449E+002, 8.133E-008, 2.040E-002, 7.591E+001
 2.201E+001, 5.508E-003, 3.619E+002, 3.741E-007, 2.040E-002, 7.596E+001
 2.400E+001, 2.071E-002, 3.776E+002, 1.426E-006, 2.040E-002, 7.602E+001
 2.600E+001, 6.706E-002, 3.921E+002, 4.677E-006, 2.040E-002, 7.609E+001
 2.800E+001, 1.918E-001, 4.056E+002, 1.358E-005, 2.040E-002, 7.618E+001
 3.000E+001, 4.935E-001, 4.182E+002, 3.542E-005, 2.040E-002, 7.633E+001
 3.201E+001, 1.167E+000, 4.302E+002, 8.522E-005, 2.040E-002, 7.669E+001
 3.400E+001, 2.585E+000, 4.419E+002, 1.944E-004, 2.040E-002, 7.744E+001
 3.600E+001, 5.467E+000, 4.540E+002, 4.391E-004, 2.040E-002, 7.910E+001
 3.800E+001, 1.136E+001, 4.679E+002, 1.054E-003, 2.040E-002, 8.263E+001
 4.000E+001, 2.467E+001, 4.876E+002, 3.370E-003, 2.040E-002, 9.420E+001
 4.200E+001, 6.769E+001, 5.218E+002, 1.875E-002, 2.040E-002, 1.200E+002
 4.400E+001, 1.761E+002, 5.346E+002, 3.115E-002, 2.040E-002, 1.184E+002
 4.600E+001, 3.370E+002, 5.393E+002, 3.211E-002, 2.040E-002, 1.168E+002
 4.800E+001, 4.911E+002, 5.440E+002, 2.990E-002, 2.040E-002, 1.140E+002
 5.000E+001, 5.771E+002, 5.507E+002, 2.704E-002, 2.040E-002, 1.124E+002
 5.200E+001, 5.886E+002, 5.618E+002, 2.452E-002, 2.040E-002, 1.133E+002
 5.400E+001, 5.579E+002, 5.755E+002, 2.204E-002, 2.040E-002, 1.140E+002
 5.600E+001, 5.276E+002, 5.834E+002, 2.282E-002, 2.040E-002, 1.132E+002
 5.800E+001, 5.154E+002, 5.871E+002, 2.396E-002, 2.040E-002, 1.137E+002
 6.000E+001, 5.153E+002, 5.911E+002, 2.428E-002, 2.040E-002, 1.137E+002
 6.200E+001, 4.980E+002, 5.963E+002, 2.345E-002, 2.040E-002, 1.139E+002
 6.400E+001, 4.641E+002, 6.047E+002, 2.210E-002, 2.040E-002, 1.148E+002
 6.600E+001, 4.536E+002, 6.144E+002, 2.042E-002, 2.040E-002, 1.148E+002
 6.800E+001, 4.527E+002, 6.218E+002, 2.108E-002, 2.040E-002, 1.150E+002
 7.000E+001, 4.419E+002, 6.258E+002, 2.252E-002, 2.040E-002, 1.155E+002
 7.200E+001, 4.438E+002, 6.275E+002, 2.282E-002, 2.040E-002, 1.144E+002
 7.400E+001, 4.316E+002, 6.321E+002, 2.271E-002, 2.040E-002, 1.155E+002
 7.600E+001, 4.306E+002, 6.357E+002, 2.168E-002, 2.040E-002, 1.144E+002
 7.800E+001, 4.352E+002, 6.419E+002, 2.030E-002, 2.040E-002, 1.151E+002
 8.000E+001, 4.351E+002, 6.488E+002, 1.967E-002, 2.040E-002, 1.148E+002
 8.200E+001, 4.304E+002, 6.533E+002, 2.028E-002, 2.040E-002, 1.145E+002
 8.400E+001, 4.161E+002, 6.567E+002, 2.127E-002, 2.040E-002, 1.150E+002
 8.600E+001, 4.073E+002, 6.601E+002, 2.193E-002, 2.040E-002, 1.156E+002
 8.800E+001, 3.977E+002, 6.616E+002, 2.154E-002, 2.040E-002, 1.146E+002
 9.000E+001, 4.072E+002, 6.653E+002, 2.095E-002, 2.040E-002, 1.145E+002
 9.200E+001, 4.194E+002, 6.703E+002, 2.015E-002, 2.040E-002, 1.155E+002
 9.400E+001, 4.255E+002, 6.736E+002, 1.944E-002, 2.040E-002, 1.143E+002
 9.600E+001, 4.272E+002, 6.799E+002, 2.004E-002, 2.040E-002, 1.159E+002
 9.800E+001, 4.261E+002, 6.851E+002, 2.136E-002, 2.040E-002, 1.168E+002
 1.000E+002, 4.218E+002, 6.868E+002, 2.193E-002, 2.040E-002, 1.162E+002
 1.020E+002, 4.262E+002, 6.872E+002, 2.161E-002, 2.040E-002, 1.151E+002
 1.040E+002, 4.259E+002, 6.911E+002, 2.122E-002, 2.040E-002, 1.163E+002
 1.060E+002, 4.338E+002, 6.944E+002, 2.080E-002, 2.040E-002, 1.156E+002
 1.080E+002, 4.271E+002, 6.971E+002, 2.021E-002, 2.040E-002, 1.152E+002
 1.100E+002, 4.224E+002, 7.002E+002, 2.035E-002, 2.040E-002, 1.150E+002
 1.120E+002, 4.208E+002, 7.028E+002, 2.095E-002, 2.040E-002, 1.150E+002
 1.140E+002, 4.194E+002, 7.045E+002, 2.143E-002, 2.040E-002, 1.146E+002
 1.160E+002, 4.250E+002, 7.068E+002, 2.166E-002, 2.040E-002, 1.148E+002
 1.180E+002, 4.358E+002, 7.089E+002, 2.153E-002, 2.040E-002, 1.148E+002
 1.200E+002, 4.396E+002, 7.132E+002, 2.136E-002, 2.040E-002, 1.161E+002
 1.220E+002, 4.465E+002, 7.162E+002, 2.131E-002, 2.040E-002, 1.158E+002
 1.240E+002, 4.455E+002, 7.213E+002, 2.155E-002, 2.040E-002, 1.170E+002
 1.260E+002, 4.505E+002, 7.239E+002, 2.221E-002, 2.040E-002, 1.167E+002
 1.280E+002, 4.513E+002, 7.245E+002, 2.263E-002, 2.040E-002, 1.157E+002
 1.300E+002, 4.536E+002, 7.262E+002, 2.278E-002, 2.040E-002, 1.158E+002
 1.320E+002, 4.616E+002, 7.285E+002, 2.279E-002, 2.040E-002, 1.160E+002
 1.340E+002, 4.703E+002, 7.316E+002, 2.270E-002, 2.040E-002, 1.170E+002
 1.360E+002, 4.737E+002, 7.363E+002, 2.287E-002, 2.040E-002, 1.178E+002
 1.380E+002, 4.769E+002, 7.360E+002, 2.295E-002, 2.040E-002, 1.155E+002
 1.400E+002, 4.745E+002, 7.380E+002, 2.316E-002, 2.040E-002, 1.163E+002
 1.420E+002, 4.759E+002, 7.407E+002, 2.364E-002, 2.040E-002, 1.166E+002
 1.440E+002, 4.855E+002, 7.414E+002, 2.395E-002, 2.040E-002, 1.155E+002
 1.460E+002, 4.884E+002, 7.426E+002, 2.387E-002, 2.040E-002, 1.157E+002
 1.480E+002, 4.915E+002, 7.463E+002, 2.394E-002, 2.040E-002, 1.167E+002
 1.500E+002, 4.964E+002, 7.472E+002, 2.395E-002, 2.040E-002, 1.159E+002
 1.520E+002, 4.947E+002, 7.504E+002, 2.414E-002, 2.040E-002, 1.168E+002
 1.540E+002, 5.013E+002, 7.549E+002, 2.462E-002, 2.040E-002, 1.188E+002
 1.560E+002, 5.099E+002, 7.570E+002, 2.524E-002, 2.040E-002, 1.177E+002
 1.580E+002, 5.115E+002, 7.572E+002, 2.543E-002, 2.040E-002, 1.170E+002
 1.600E+002, 5.143E+002, 7.582E+002, 2.539E-002, 2.040E-002, 1.165E+002
 1.620E+002, 5.169E+002, 7.577E+002, 2.518E-002, 2.040E-002, 1.157E+002
 1.640E+002, 5.157E+002, 7.618E+002, 2.513E-002, 2.040E-002, 1.172E+002
 1.660E+002, 5.207E+002, 7.620E+002, 2.531E-002, 2.040E-002, 1.163E+002
 1.680E+002, 5.233E+002, 7.646E+002, 2.550E-002, 2.040E-002, 1.168E+002
 1.700E+002, 5.237E+002, 7.667E+002, 2.572E-002, 2.040E-002, 1.171E+002
 1.720E+002, 5.281E+002, 7.674E+002, 2.577E-002, 2.040E-002, 1.164E+002
 1.740E+002, 5.253E+002, 7.688E+002, 2.562E-002, 2.040E-002, 1.167E+002
 1.760E+002, 5.226E+002, 7.679E+002, 2.543E-002, 2.040E-002, 1.153E+002
 1.780E+002, 5.215E+002, 7.699E+002, 2.519E-002, 2.040E-002, 1.161E+002
 1.800E+002, 5.195E+002, 7.720E+002, 2.517E-002, 2.040E-002, 1.165E+002
 1.820E+002, 5.236E+002, 7.760E+002, 2.524E-002, 2.040E-002, 1.185E+002
 1.840E+002, 5.277E+002, 7.753E+002, 2.532E-002, 2.040E-002, 1.164E+002
 1.860E+002, 5.284E+002, 7.777E+002, 2.517E-002, 2.040E-002, 1.171E+002
 1.880E+002, 5.241E+002, 7.780E+002, 2.496E-002, 2.040E-002, 1.164E+002
 1.900E+002, 5.277E+002, 7.799E+002, 2.472E-002, 2.040E-002, 1.177E+002
 1.920E+002, 5.185E+002, 7.806E+002, 2.458E-002, 2.040E-002, 1.162E+002
 1.940E+002, 5.238E+002, 7.816E+002, 2.439E-002, 2.040E-002, 1.174E+002
 1.960E+002, 5.174E+002, 7.830E+002, 2.426E-002, 2.040E-002, 1.168E+002
 1.980E+002, 5.121E+002, 7.836E+002, 2.411E-002, 2.040E-002, 1.178E+002
 2.000E+002, 5.108E+002, 7.894E+002, 2.395E-002, 2.040E-002, 1.195E+002
 2.020E+002, 5.047E+002, 7.887E+002, 2.391E-002, 2.040E-002, 1.175E+002
 2.040E+002, 5.029E+002, 7.888E+002, 2.370E-002, 2.040E-002, 1.175E+002
 2.060E+002, 5.029E+002, 7.879E+002, 2.344E-002, 2.040E-002, 1.166E+002
 2.080E+002, 4.964E+002, 7.896E+002, 2.319E-002, 2.040E-002, 1.175E+002
 2.100E+002, 4.930E+002, 7.930E+002, 2.304E-002, 2.040E-002, 1.188E+002
 2.120E+002, 4.873E+002, 7.917E+002, 2.296E-002, 2.040E-002, 1.166E+002
 2.140E+002, 4.895E+002, 7.925E+002, 2.272E-002, 2.040E-002, 1.184E+002
 2.160E+002, 4.801E+002, 7.967E+002, 2.249E-002, 2.040E-002, 1.185E+002
 2.180E+002, 4.777E+002, 7.960E+002, 2.238E-002, 2.040E-002, 1.181E+002
 2.200E+002, 4.740E+002, 7.975E+002, 2.220E-002, 2.040E-002, 1.186E+002
 2.220E+002, 4.721E+002, 7.979E+002, 2.206E-002, 2.040E-002, 1.178E+002
 2.240E+002, 4.652E+002, 7.954E+002, 2.188E-002, 2.040E-002, 1.156E+002
 2.260E+002, 4.592E+002, 7.948E+002, 2.157E-002, 2.040E-002, 1.153E+002
 2.280E+002, 4.539E+002, 7.975E+002, 2.125E-002, 2.040E-002, 1.174E+002
 2.300E+002, 4.520E+002, 7.979E+002, 2.101E-002, 2.040E-002, 1.165E+002
 2.320E+002, 4.493E+002, 7.998E+002, 2.081E-002, 2.040E-002, 1.180E+002
 2.340E+002, 4.394E+002, 7.996E+002, 2.062E-002, 2.040E-002, 1.165E+002
 2.360E+002, 4.311E+002, 8.020E+002, 2.045E-002, 2.040E-002, 1.179E+002
 2.380E+002, 4.270E+002, 8.035E+002, 2.027E-002, 2.040E-002, 1.179E+002
 2.400E+002, 4.181E+002, 8.046E+002, 2.011E-002, 2.040E-002, 1.180E+002
 2.420E+002, 4.052E+002, 8.062E+002, 1.989E-002, 2.040E-002, 1.188E+002
 2.440E+002, 3.854E+002, 8.062E+002, 1.963E-002, 2.040E-002, 1.183E+002
 2.460E+002, 3.481E+002, 8.077E+002, 1.934E-002, 2.040E-002, 1.181E+002
 2.480E+002, 3.211E+002, 8.069E+002, 1.905E-002, 2.040E-002, 1.179E+002
 2.500E+002, 3.081E+002, 8.094E+002, 1.867E-002, 2.040E-002, 1.194E+002
 2.520E+002, 2.932E+002, 8.097E+002, 1.825E-002, 2.040E-002, 1.182E+002
 2.540E+002, 2.812E+002, 8.104E+002, 1.774E-002, 2.040E-002, 1.188E+002
 2.560E+002, 2.619E+002, 8.138E+002, 1.709E-002, 2.040E-002, 1.207E+002
 2.580E+002, 2.488E+002, 8.133E+002, 1.631E-002, 2.040E-002, 1.188E+002
 2.600E+002, 2.396E+002, 8.125E+002, 1.517E-002, 2.040E-002, 1.181E+002
 2.620E+002, 2.295E+002, 8.153E+002, 1.332E-002, 2.040E-002, 1.195E+002
 2.640E+002, 2.097E+002, 8.149E+002, 1.004E-002, 2.040E-002, 1.180E+002
 2.660E+002, 1.851E+002, 8.156E+002, 3.897E-003, 2.040E-002, 1.179E+002
 2.680E+002, 1.631E+002, 8.146E+002, 9.747E-005, 2.040E-002, 1.147E+002
 2.700E+002, 1.440E+002, 8.096E+002, 5.129E-010, 2.040E-002, 1.099E+002
 2.720E+002, 1.304E+002, 7.989E+002, 0.000E+000, 2.040E-002, 1.012E+002
 2.740E+002, 1.230E+002, 7.896E+002, 0.000E+000, 2.040E-002, 9.763E+001
 2.760E+002, 1.199E+002, 7.931E+002, 0.000E+000, 2.040E-002, 1.006E+002
 2.780E+002, 1.180E+002, 7.944E+002, 0.000E+000, 2.040E-002, 9.999E+001
 2.800E+002, 1.166E+002, 7.952E+002, 0.000E+000, 2.040E-002, 9.953E+001
 2.820E+002, 1.149E+002, 7.956E+002, 0.000E+000, 2.040E-002, 9.894E+001
 2.840E+002, 1.135E+002, 7.933E+002, 0.000E+000, 2.040E-002, 9.660E+001
 2.860E+002, 1.122E+002, 7.938E+002, 0.000E+000, 2.040E-002, 9.773E+001
 2.880E+002, 1.109E+002, 7.940E+002, 0.000E+000, 2.040E-002, 9.638E+001
