s,C,kg/m2/s,m
Time,"temp","MLR","thick"
 3.9501000E+002, 4.6710040E+002, 2.3520886E-002, 1.3566529E-002
 4.0001000E+002, 4.6725832E+002, 2.3716363E-002, 1.3442213E-002
 4.0501000E+002, 4.6741321E+002, 2.3896220E-002, 1.3316909E-002
 4.1001000E+002, 4.6756602E+002, 2.4060279E-002, 1.3190699E-002
 4.1501000E+002, 4.6771769E+002, 2.4208824E-002, 1.3063668E-002
 4.2001000E+002, 4.6786819E+002, 2.4341911E-002, 1.2935896E-002
 4.2501000E+002, 4.6801719E+002, 2.4459415E-002, 1.2807464E-002
 4.3001000E+002, 4.6816671E+002, 2.4563573E-002, 1.2678450E-002
 4.3501000E+002, 4.6831652E+002, 2.4654978E-002, 1.2548922E-002
 4.4001000E+002, 4.6846910E+002, 2.4736358E-002, 1.2418940E-002
 4.4501000E+002, 4.6862443E+002, 2.4808219E-002, 1.2288555E-002
 4.5001000E+002, 4.6878415E+002, 2.4871891E-002, 1.2157815E-002
 4.5501000E+002, 4.6895030E+002, 2.4928684E-002, 1.2026757E-002
 4.6001000E+002, 4.6912592E+002, 2.4979734E-002, 1.1895417E-002
 4.6501000E+002, 4.6931301E+002, 2.5024416E-002, 1.1763823E-002
 4.7001000E+002, 4.6951552E+002, 2.5061754E-002, 1.1632015E-002
 4.7501000E+002, 4.6974169E+002, 2.5093066E-002, 1.1500024E-002
 4.8001000E+002, 4.6999697E+002, 2.5113282E-002, 1.1367897E-002
 4.8501000E+002, 4.7026280E+002, 2.5115044E-002, 1.1235703E-002
 4.9001000E+002, 4.7048900E+002, 2.5099282E-002, 1.1103561E-002
 4.9501000E+002, 4.7080808E+002, 2.5069204E-002, 1.0971524E-002
 5.0001000E+002, 4.7125014E+002, 2.4987337E-002, 1.0839769E-002
 5.0501000E+002, 4.7190917E+002, 2.4822620E-002, 1.0708641E-002
 5.1001000E+002, 4.7290477E+002, 2.4504191E-002, 1.0578746E-002
 5.1501000E+002, 4.7430936E+002, 2.3841359E-002, 1.0451294E-002
 5.2001000E+002, 4.7620891E+002, 2.2217831E-002, 1.0329645E-002
 5.2501000E+002, 4.8259201E+002, 2.0732027E-002, 1.0216734E-002
 5.3001000E+002, 4.9298597E+002, 1.8166141E-002, 1.0113585E-002
 5.3501000E+002, 5.1749585E+002, 1.2494584E-002, 1.0030543E-002
 5.4001000E+002, 6.2440266E+002, 1.2843279E-004, 1.0000029E-002
 5.4501000E+002, 6.4131320E+002, 0.0000000E+000, 1.0000000E-002
 5.5001000E+002, 6.4771628E+002, 0.0000000E+000, 1.0000000E-002
 5.5501000E+002, 6.5149669E+002, 0.0000000E+000, 1.0000000E-002
 5.6001000E+002, 6.5370426E+002, 0.0000000E+000, 1.0000000E-002
 5.6501000E+002, 6.5496167E+002, 0.0000000E+000, 1.0000000E-002
 5.7001000E+002, 6.5566679E+002, 0.0000000E+000, 1.0000000E-002
 5.7501000E+002, 6.5605867E+002, 0.0000000E+000, 1.0000000E-002
 5.8001000E+002, 6.5627543E+002, 0.0000000E+000, 1.0000000E-002
 5.8501000E+002, 6.5639500E+002, 0.0000000E+000, 1.0000000E-002
 5.9001000E+002, 6.5646089E+002, 0.0000000E+000, 1.0000000E-002
 5.9501000E+002, 6.5649714E+002, 0.0000000E+000, 1.0000000E-002
 6.0001000E+002, 6.5651706E+002, 0.0000000E+000, 1.0000000E-002
 6.0501000E+002, 6.5652814E+002, 0.0000000E+000, 1.0000000E-002
