s,kW,C,kg/m2/s,m,kW/m2
Time,HRR,temp,MLR,thick,flux
 0.000E+000, 0.000E+000, 2.000E+001, 0.000E+000, 2.100E-002,-4.653E-011
 2.010E+000, 0.000E+000, 5.124E+001, 0.000E+000, 2.100E-002, 5.004E+001
 4.010E+000, 0.000E+000, 9.697E+001, 1.101E-018, 2.100E-002, 5.017E+001
 6.006E+000, 0.000E+000, 1.310E+002, 7.149E-015, 2.100E-002, 5.027E+001
 8.007E+000, 0.000E+000, 1.590E+002, 4.557E-012, 2.100E-002, 5.035E+001
 1.001E+001, 9.750E-007, 1.833E+002, 7.232E-010, 2.100E-002, 5.043E+001
 1.201E+001, 6.088E-005, 2.046E+002, 4.402E-008, 2.100E-002, 5.049E+001
 1.401E+001, 1.827E-003, 2.238E+002, 1.353E-006, 2.100E-002, 5.055E+001
 1.601E+001, 3.275E-002, 2.411E+002, 2.489E-005, 2.100E-002, 5.061E+001
 1.801E+001, 3.937E-001, 2.571E+002, 3.079E-004, 2.100E-002, 5.077E+001
 2.001E+001, 3.408E+000, 2.723E+002, 2.845E-003, 2.100E-002, 5.210E+001
 2.200E+001, 2.064E+001, 2.894E+002, 2.412E-002, 2.100E-002, 6.363E+001
 2.400E+001, 6.977E+001, 3.135E+002, 9.438E-002, 2.100E-002, 9.004E+001
 2.600E+001, 1.019E+002, 3.648E+002, 8.489E-002, 2.100E-002, 9.121E+001
 2.800E+001, 9.352E+001, 4.041E+002, 4.536E-002, 2.100E-002, 9.101E+001
 3.000E+001, 9.347E+001, 4.403E+002, 7.635E-002, 2.100E-002, 9.190E+001
 3.200E+001, 7.212E+001, 4.613E+002, 2.597E-002, 2.100E-002, 8.793E+001
 3.400E+001, 8.153E+001, 4.871E+002, 6.549E-002, 2.100E-002, 9.227E+001
 3.600E+001, 6.794E+001, 5.006E+002, 2.737E-002, 2.100E-002, 9.090E+001
 3.800E+001, 6.502E+001, 5.117E+002, 3.427E-002, 2.100E-002, 9.192E+001
 4.000E+001, 8.354E+001, 5.217E+002, 5.099E-002, 2.100E-002, 9.361E+001
 4.200E+001, 8.188E+001, 5.261E+002, 3.736E-002, 2.100E-002, 9.361E+001
 4.400E+001, 6.278E+001, 5.308E+002, 1.723E-002, 2.100E-002, 9.351E+001
 4.600E+001, 7.137E+001, 5.374E+002, 3.360E-002, 2.100E-002, 9.405E+001
 4.800E+001, 8.555E+001, 5.428E+002, 4.165E-002, 2.100E-002, 9.444E+001
 5.000E+001, 8.688E+001, 5.486E+002, 3.869E-002, 2.100E-002, 9.499E+001
 5.200E+001, 7.592E+001, 5.543E+002, 1.801E-002, 2.100E-002, 9.457E+001
 5.400E+001, 7.212E+001, 5.624E+002, 2.402E-002, 2.100E-002, 9.489E+001
 5.600E+001, 8.687E+001, 5.673E+002, 3.407E-002, 2.100E-002, 9.333E+001
 5.800E+001, 9.512E+001, 5.737E+002, 3.787E-002, 2.100E-002, 9.456E+001
 6.000E+001, 9.698E+001, 5.793E+002, 3.215E-002, 2.100E-002, 9.513E+001
 6.200E+001, 9.104E+001, 5.833E+002, 1.671E-002, 2.100E-002, 9.488E+001
 6.400E+001, 9.057E+001, 5.888E+002, 2.531E-002, 2.100E-002, 9.532E+001
 6.600E+001, 1.027E+002, 5.928E+002, 3.303E-002, 2.100E-002, 9.469E+001
 6.800E+001, 1.141E+002, 5.964E+002, 3.529E-002, 2.100E-002, 9.432E+001
 7.000E+001, 1.176E+002, 6.006E+002, 2.999E-002, 2.100E-002, 9.429E+001
 7.200E+001, 1.170E+002, 6.050E+002, 1.689E-002, 2.100E-002, 9.453E+001
 7.400E+001, 1.137E+002, 6.098E+002, 2.333E-002, 2.100E-002, 9.472E+001
 7.600E+001, 1.166E+002, 6.149E+002, 3.064E-002, 2.100E-002, 9.535E+001
 7.800E+001, 1.279E+002, 6.159E+002, 3.333E-002, 2.100E-002, 9.406E+001
 8.000E+001, 1.394E+002, 6.159E+002, 3.035E-002, 2.100E-002, 9.291E+001
 8.200E+001, 1.423E+002, 6.212E+002, 1.932E-002, 2.100E-002, 9.493E+001
 8.400E+001, 1.417E+002, 6.245E+002, 2.035E-002, 2.100E-002, 9.391E+001
 8.600E+001, 1.386E+002, 6.280E+002, 2.738E-002, 2.100E-002, 9.510E+001
 8.800E+001, 1.362E+002, 6.342E+002, 3.125E-002, 2.100E-002, 9.522E+001
 9.000E+001, 1.385E+002, 6.341E+002, 3.100E-002, 2.100E-002, 9.394E+001
 9.200E+001, 1.449E+002, 6.400E+002, 2.451E-002, 2.100E-002, 9.643E+001
 9.400E+001, 1.465E+002, 6.393E+002, 1.849E-002, 2.100E-002, 9.318E+001
 9.600E+001, 1.479E+002, 6.378E+002, 2.475E-002, 2.100E-002, 9.240E+001
 9.800E+001, 1.449E+002, 6.425E+002, 2.915E-002, 2.100E-002, 9.403E+001
 1.000E+002, 1.423E+002, 6.435E+002, 3.042E-002, 2.100E-002, 9.304E+001
 1.020E+002, 1.409E+002, 6.486E+002, 2.767E-002, 2.100E-002, 9.478E+001
 1.040E+002, 1.417E+002, 6.515E+002, 2.031E-002, 2.100E-002, 9.472E+001
 1.060E+002, 1.416E+002, 6.507E+002, 2.220E-002, 2.100E-002, 9.251E+001
 1.080E+002, 1.430E+002, 6.539E+002, 2.763E-002, 2.100E-002, 9.427E+001
 1.100E+002, 1.421E+002, 6.557E+002, 3.017E-002, 2.100E-002, 9.312E+001
 1.120E+002, 1.430E+002, 6.617E+002, 2.957E-002, 2.100E-002, 9.580E+001
 1.140E+002, 1.433E+002, 6.592E+002, 2.438E-002, 2.100E-002, 9.242E+001
 1.160E+002, 1.437E+002, 6.615E+002, 2.166E-002, 2.100E-002, 9.400E+001
 1.180E+002, 1.431E+002, 6.634E+002, 2.711E-002, 2.100E-002, 9.342E+001
 1.200E+002, 1.411E+002, 6.642E+002, 3.026E-002, 2.100E-002, 9.300E+001
 1.220E+002, 1.420E+002, 6.661E+002, 3.047E-002, 2.100E-002, 9.343E+001
 1.240E+002, 1.422E+002, 6.684E+002, 2.693E-002, 2.100E-002, 9.380E+001
 1.260E+002, 1.428E+002, 6.719E+002, 2.331E-002, 2.100E-002, 9.432E+001
 1.280E+002, 1.445E+002, 6.718E+002, 2.777E-002, 2.100E-002, 9.325E+001
 1.300E+002, 1.461E+002, 6.762E+002, 3.120E-002, 2.100E-002, 9.499E+001
