s,C,kg/m2/s,m
Time,"temp","MLR","thick"
 0.0000000E+000, 2.0000000E+001, 0.0000000E+000, 1.4000000E-002
 5.0100000E+000, 6.8032825E+001, 2.7767014E-017, 1.4000000E-002
 1.0010000E+001, 1.2602283E+002, 7.3446731E-014, 1.4000000E-002
 1.5010000E+001, 1.6519333E+002, 1.0639565E-011, 1.4000000E-002
 2.0000000E+001, 1.9647736E+002, 3.8533769E-010, 1.4000000E-002
 2.5000000E+001, 2.2309229E+002, 6.2557800E-009, 1.4000000E-002
 3.0000000E+001, 2.4663794E+002, 6.0523994E-008, 1.4000000E-002
 3.5000000E+001, 2.6801389E+002, 4.1003092E-007, 1.4000000E-002
 4.0000000E+001, 2.8779849E+002, 2.1467334E-006, 1.4000000E-002
 4.5010000E+001, 3.0637563E+002, 9.2595705E-006, 1.4000000E-002
 5.0010000E+001, 3.2395604E+002, 3.4183793E-005, 1.4000000E-002
 5.5010000E+001, 3.4065908E+002, 1.1092360E-004, 1.4000000E-002
 6.0010000E+001, 3.5655871E+002, 3.2201540E-004, 1.4000000E-002
 6.5010000E+001, 3.7161775E+002, 8.4218575E-004, 1.4000000E-002
 7.0010000E+001, 3.8566988E+002, 1.9764837E-003, 1.4000000E-002
 7.5000000E+001, 3.9838941E+002, 4.0969046E-003, 1.4000000E-002
 8.0000000E+001, 4.0943697E+002, 7.3670179E-003, 1.4000000E-002
 8.5000000E+001, 4.1872413E+002, 1.1418281E-002, 1.4000000E-002
 9.0000000E+001, 4.2664670E+002, 1.5503518E-002, 1.4000000E-002
 9.5000000E+001, 4.3403628E+002, 1.9032681E-002, 1.4000000E-002
 1.0000000E+002, 4.4196524E+002, 2.1728373E-002, 1.4000000E-002
 1.0500000E+002, 4.5195884E+002, 2.3365943E-002, 1.4000000E-002
 1.1000000E+002, 4.6696684E+002, 2.3260515E-002, 1.4000000E-002
 1.1500000E+002, 4.9020591E+002, 2.1159666E-002, 1.4001014E-002
 1.2000000E+002, 5.0700210E+002, 2.2747580E-002, 1.4003270E-002
 1.2500000E+002, 5.1751996E+002, 2.4194014E-002, 1.4003306E-002
 1.3000000E+002, 5.3063091E+002, 2.3803049E-002, 1.4003306E-002
 1.3500000E+002, 5.4572654E+002, 2.2417877E-002, 1.4003791E-002
 1.4000000E+002, 5.5664343E+002, 2.3168813E-002, 1.4006372E-002
 1.4500000E+002, 5.6270366E+002, 2.4288213E-002, 1.4006601E-002
 1.5000000E+002, 5.6893465E+002, 2.4164033E-002, 1.4006602E-002
 1.5500000E+002, 5.7630389E+002, 2.3125591E-002, 1.4006602E-002
 1.6001000E+002, 5.8393172E+002, 2.2062769E-002, 1.4007329E-002
 1.6501000E+002, 5.8979138E+002, 2.2088440E-002, 1.4009628E-002
 1.7001000E+002, 5.9376927E+002, 2.2108721E-002, 1.4009897E-002
 1.7501000E+002, 5.9761760E+002, 2.1465029E-002, 1.4009904E-002
 1.8001000E+002, 6.0189689E+002, 2.0409694E-002, 1.4009904E-002
 1.8501000E+002, 6.0629063E+002, 1.9436781E-002, 1.4010277E-002
 1.9001000E+002, 6.1011566E+002, 1.9020998E-002, 1.4012570E-002
 1.9501000E+002, 6.1306402E+002, 1.8783495E-002, 1.4013165E-002
 2.0001000E+002, 6.1565230E+002, 1.8242801E-002, 1.4013210E-002
 2.0501000E+002, 6.1834286E+002, 1.7449545E-002, 1.4013211E-002
 2.1001000E+002, 6.2114012E+002, 1.6649864E-002, 1.4013212E-002
 2.1501000E+002, 6.2381020E+002, 1.6108854E-002, 1.4014882E-002
 2.2001000E+002, 6.2614055E+002, 1.5795855E-002, 1.4016263E-002
 2.2501000E+002, 6.2813694E+002, 1.5424828E-002, 1.4016500E-002
 2.3001000E+002, 6.3001884E+002, 1.4875821E-002, 1.4016522E-002
 2.3501000E+002, 6.3194638E+002, 1.4245893E-002, 1.4016524E-002
 2.4001000E+002, 6.3387794E+002, 1.3695144E-002, 1.4016894E-002
 2.4501000E+002, 6.3571616E+002, 1.3302720E-002, 1.4018877E-002
 2.5001000E+002, 6.3739610E+002, 1.2981712E-002, 1.4019669E-002
 2.5501000E+002, 6.3891366E+002, 1.2586601E-002, 1.4019822E-002
 2.6001000E+002, 6.4038954E+002, 1.2092081E-002, 1.4019840E-002
 2.6501000E+002, 6.4186761E+002, 1.1579221E-002, 1.4019842E-002
 2.7001000E+002, 6.4333797E+002, 1.1136287E-002, 1.4020969E-002
 2.7501000E+002, 6.4476237E+002, 1.0769393E-002, 1.4022574E-002
 2.8001000E+002, 6.4610803E+002, 1.0405319E-002, 1.4023056E-002
 2.8501000E+002, 6.4738114E+002, 9.9704119E-003, 1.4023152E-002
 2.9001000E+002, 6.4863189E+002, 9.4779728E-003, 1.4023164E-002
 2.9501000E+002, 6.4988477E+002, 8.9912317E-003, 1.4023696E-002
 3.0001000E+002, 6.5113554E+002, 8.5397715E-003, 1.4025542E-002
 3.0501000E+002, 6.5237541E+002, 8.0935161E-003, 1.4026289E-002
 3.1001000E+002, 6.5358515E+002, 7.5833721E-003, 1.4026466E-002
 3.1501000E+002, 6.5478653E+002, 6.9927670E-003, 1.4026492E-002
 3.2001000E+002, 6.5600535E+002, 6.3585490E-003, 1.4027739E-002
 3.2501000E+002, 6.5726349E+002, 5.6925035E-003, 1.4029315E-002
 3.3001000E+002, 6.5856144E+002, 4.9358466E-003, 1.4029754E-002
 3.3501000E+002, 6.5989597E+002, 4.0089490E-003, 1.4030043E-002
 3.4001000E+002, 6.6130062E+002, 2.9204427E-003, 1.4032144E-002
 3.4501000E+002, 6.6283168E+002, 1.7267621E-003, 1.4033052E-002
 3.5001000E+002, 6.6449220E+002, 6.1384788E-004, 1.4034995E-002
 3.5501000E+002, 6.6626688E+002, 7.8146409E-005, 1.4036395E-002
 3.6001000E+002, 6.6802620E+002, 2.3320340E-006, 1.4036512E-002
 3.6501000E+002, 6.6958598E+002, 1.3424102E-008, 1.4036515E-002
 3.7001000E+002, 6.7089495E+002, 1.2985401E-011, 1.4036515E-002
 3.7501000E+002, 6.7198520E+002, 1.8587006E-015, 1.4036515E-002
 3.8001000E+002, 6.7289875E+002, 1.4262845E-020, 1.4036515E-002
 3.8501000E+002, 6.7366942E+002, 0.0000000E+000, 1.4036515E-002
 3.9001000E+002, 6.7432260E+002, 0.0000000E+000, 1.4036515E-002
 3.9501000E+002, 6.7487746E+002, 0.0000000E+000, 1.4036515E-002
 4.0001000E+002, 6.7534939E+002, 0.0000000E+000, 1.4036515E-002
 4.0501000E+002, 6.7575092E+002, 0.0000000E+000, 1.4036515E-002
 4.1001000E+002, 6.7609254E+002, 0.0000000E+000, 1.4036515E-002
 4.1501000E+002, 6.7638282E+002, 0.0000000E+000, 1.4036515E-002
 4.2001000E+002, 6.7662948E+002, 0.0000000E+000, 1.4036515E-002
 4.2501000E+002, 6.7683883E+002, 0.0000000E+000, 1.4036515E-002
 4.3001000E+002, 6.7701636E+002, 0.0000000E+000, 1.4036515E-002
