s,g/m2/s
Time,MLR
 0.000E+000, 0.000E+000
 3.050E+000, 5.601E-002
 6.050E+000, 1.050E+000
 9.050E+000, 1.815E+001
 1.200E+001, 2.867E+001
 1.500E+001, 2.078E+001
 1.800E+001, 1.260E+001
 2.100E+001, 7.971E+000
 2.400E+001, 5.843E+000
 2.700E+001, 4.356E+000
 3.000E+001, 3.939E+000
 3.300E+001, 4.196E+000
 3.600E+001, 5.872E+000
 3.905E+001, 9.538E+000
 4.205E+001, 1.288E+001
 4.505E+001, 1.321E+001
 4.805E+001, 1.201E+001
 5.105E+001, 1.047E+001
 5.405E+001, 8.907E+000
 5.705E+001, 7.975E+000
 6.005E+001, 6.689E+000
 6.305E+001, 5.682E+000
 6.605E+001, 5.417E+000
 6.905E+001, 5.783E+000
 7.205E+001, 6.932E+000
 7.505E+001, 8.795E+000
 7.805E+001, 1.067E+001
 8.105E+001, 1.168E+001
 8.405E+001, 1.161E+001
 8.705E+001, 1.080E+001
 9.005E+001, 9.722E+000
 9.305E+001, 8.471E+000
 9.605E+001, 6.972E+000
 9.905E+001, 5.212E+000
 1.020E+002, 2.968E+000
 1.050E+002, 1.102E+000
 1.080E+002, 4.438E-001
 1.110E+002, 3.883E-001
 1.140E+002, 3.889E-001
 1.170E+002, 3.900E-001
 1.200E+002, 3.909E-001
 1.230E+002, 3.916E-001
 1.260E+002, 3.921E-001
 1.290E+002, 3.923E-001
 1.320E+002, 3.923E-001
 1.350E+002, 3.920E-001
 1.380E+002, 3.916E-001
 1.410E+002, 3.909E-001
 1.440E+002, 3.900E-001
 1.470E+002, 3.890E-001
 1.500E+002, 3.878E-001
 1.530E+002, 3.864E-001
 1.560E+002, 3.850E-001
 1.590E+002, 3.834E-001
 1.620E+002, 3.818E-001
 1.650E+002, 3.800E-001
 1.680E+002, 3.782E-001
 1.710E+002, 3.763E-001
 1.740E+002, 3.743E-001
 1.770E+002, 3.722E-001
 1.800E+002, 3.701E-001
 1.830E+002, 3.680E-001
 1.860E+002, 3.658E-001
 1.890E+002, 3.636E-001
 1.920E+002, 3.613E-001
 1.950E+002, 3.591E-001
 1.980E+002, 3.567E-001
 2.000E+002, 3.548E-001
