s,kW,C,kg/s,m,kW/m2
Time,"HRR","temp","MLR","thick","flux"
 2.140E+002, 3.590E+000, 7.208E+002, 0.000E+000, 1.904E-002, 7.208E+001
 2.160E+002, 2.323E+000, 7.195E+002, 0.000E+000, 1.904E-002, 7.198E+001
 2.180E+002, 1.035E+000, 7.183E+002, 0.000E+000, 1.904E-002, 7.196E+001
 2.200E+002, 2.360E-001, 7.214E+002, 0.000E+000, 1.904E-002, 7.216E+001
 2.220E+002, 2.133E-002, 7.210E+002, 0.000E+000, 1.904E-002, 7.211E+001
 2.240E+002, 6.773E-004, 7.201E+002, 0.000E+000, 1.904E-002, 7.205E+001
 2.260E+002, 7.207E-006, 7.193E+002, 0.000E+000, 1.904E-002, 7.202E+001
 2.280E+002, 1.501E-008, 7.194E+002, 0.000E+000, 1.904E-002, 7.204E+001
 2.300E+002, 0.000E+000, 7.202E+002, 0.000E+000, 1.904E-002, 7.210E+001
 2.320E+002, 0.000E+000, 7.202E+002, 0.000E+000, 1.904E-002, 7.209E+001
 2.340E+002, 0.000E+000, 7.181E+002, 0.000E+000, 1.904E-002, 7.195E+001
 2.360E+002, 0.000E+000, 7.174E+002, 0.000E+000, 1.904E-002, 7.193E+001
 2.380E+002, 0.000E+000, 7.185E+002, 0.000E+000, 1.904E-002, 7.204E+001
 2.400E+002, 0.000E+000, 7.195E+002, 0.000E+000, 1.904E-002, 7.207E+001
 2.420E+002, 0.000E+000, 7.197E+002, 0.000E+000, 1.904E-002, 7.208E+001
 2.440E+002, 0.000E+000, 7.188E+002, 0.000E+000, 1.904E-002, 7.201E+001
 2.460E+002, 0.000E+000, 7.192E+002, 0.000E+000, 1.904E-002, 7.206E+001
 2.480E+002, 0.000E+000, 7.191E+002, 0.000E+000, 1.904E-002, 7.204E+001
 2.500E+002, 0.000E+000, 7.178E+002, 0.000E+000, 1.904E-002, 7.196E+001
 2.520E+002, 0.000E+000, 7.186E+002, 0.000E+000, 1.904E-002, 7.203E+001
 2.540E+002, 0.000E+000, 7.173E+002, 0.000E+000, 1.904E-002, 7.195E+001
 2.560E+002, 0.000E+000, 7.182E+002, 0.000E+000, 1.904E-002, 7.201E+001
 2.580E+002, 0.000E+000, 7.187E+002, 0.000E+000, 1.904E-002, 7.204E+001
 2.600E+002, 0.000E+000, 7.179E+002, 0.000E+000, 1.904E-002, 7.198E+001
 2.620E+002, 0.000E+000, 7.190E+002, 0.000E+000, 1.904E-002, 7.208E+001
 2.640E+002, 0.000E+000, 7.189E+002, 0.000E+000, 1.904E-002, 7.203E+001
 2.660E+002, 0.000E+000, 7.186E+002, 0.000E+000, 1.904E-002, 7.204E+001
 2.680E+002, 0.000E+000, 7.189E+002, 0.000E+000, 1.904E-002, 7.205E+001
 2.700E+002, 0.000E+000, 7.182E+002, 0.000E+000, 1.904E-002, 7.200E+001
 2.720E+002, 0.000E+000, 7.177E+002, 0.000E+000, 1.904E-002, 7.197E+001
 2.740E+002, 0.000E+000, 7.173E+002, 0.000E+000, 1.904E-002, 7.195E+001
 2.760E+002, 0.000E+000, 7.175E+002, 0.000E+000, 1.904E-002, 7.199E+001
 2.780E+002, 0.000E+000, 7.195E+002, 0.000E+000, 1.904E-002, 7.210E+001
 2.800E+002, 0.000E+000, 7.183E+002, 0.000E+000, 1.904E-002, 7.202E+001
 2.820E+002, 0.000E+000, 7.185E+002, 0.000E+000, 1.904E-002, 7.202E+001
 2.840E+002, 0.000E+000, 7.191E+002, 0.000E+000, 1.904E-002, 7.207E+001
 2.860E+002, 0.000E+000, 7.193E+002, 0.000E+000, 1.904E-002, 7.207E+001
 2.880E+002, 0.000E+000, 7.171E+002, 0.000E+000, 1.904E-002, 7.193E+001
 2.900E+002, 0.000E+000, 7.189E+002, 0.000E+000, 1.904E-002, 7.206E+001
 2.920E+002, 0.000E+000, 7.180E+002, 0.000E+000, 1.904E-002, 7.198E+001
 2.940E+002, 0.000E+000, 7.176E+002, 0.000E+000, 1.904E-002, 7.197E+001
 2.960E+002, 0.000E+000, 7.180E+002, 0.000E+000, 1.904E-002, 7.201E+001
 2.980E+002, 0.000E+000, 7.185E+002, 0.000E+000, 1.904E-002, 7.204E+001
 3.000E+002, 0.000E+000, 7.184E+002, 0.000E+000, 1.904E-002, 7.203E+001
