s,C,kg/m2/s,m
Time,temp,MLR,thick
 0.0000000E+000, 2.0000000E+001, 0.0000000E+000, 3.2054300E-002
 5.0100000E+000, 6.9932363E+001, 0.0000000E+000, 3.2054300E-002
 1.0010000E+001, 1.3094978E+002, 0.0000000E+000, 3.2054300E-002
 1.5010000E+001, 1.7226607E+002, 0.0000000E+000, 3.2054300E-002
 2.0000000E+001, 2.0512489E+002, 0.0000000E+000, 3.2054300E-002
 2.5000000E+001, 2.3278175E+002, 1.2947236E-015, 3.2054300E-002
 3.0000000E+001, 2.5433325E+002, 1.0758104E-010, 3.2054300E-002
 3.5000000E+001, 2.7241160E+002, 3.1895110E-009, 3.2054300E-002
 4.0000000E+001, 2.8995235E+002, 2.0608186E-008, 3.2054300E-002
 4.5010000E+001, 3.0834255E+002, 1.3492753E-007, 3.2054300E-002
 5.0010000E+001, 3.2259764E+002, 5.3883808E-007, 3.2054299E-002
 5.5010000E+001, 3.3776068E+002, 2.1981948E-006, 3.2054294E-002
 6.0010000E+001, 3.5012845E+002, 6.5269531E-006, 3.2054280E-002
 6.5010000E+001, 3.6254046E+002, 1.9144484E-005, 3.2054237E-002
 7.0010000E+001, 3.7362002E+002, 4.7331292E-005, 3.2054122E-002
 7.5000000E+001, 3.8363856E+002, 1.0692655E-004, 3.2053857E-002
 8.0000000E+001, 3.9327642E+002, 2.2649566E-004, 3.2053273E-002
 8.5000000E+001, 4.0132718E+002, 4.1893562E-004, 3.2052131E-002
 9.0000000E+001, 4.0874112E+002, 7.3248271E-004, 3.2050085E-002
 9.5000000E+001, 4.1485053E+002, 1.1470479E-003, 3.2046697E-002
 1.0000000E+002, 4.1966747E+002, 1.6353978E-003, 3.2041684E-002
 1.0500000E+002, 4.2368666E+002, 2.1921793E-003, 3.2034753E-002
 1.1000000E+002, 4.2666262E+002, 2.7167308E-003, 3.2025843E-002
 1.1500000E+002, 4.2906209E+002, 3.2345899E-003, 3.2015065E-002
 1.2000000E+002, 4.3105508E+002, 3.7306450E-003, 3.2002425E-002
 1.2500000E+002, 4.3259585E+002, 4.1595079E-003, 3.1988119E-002
 1.3000000E+002, 4.3268881E+002, 4.4637660E-003, 3.1972526E-002
 1.3500000E+002, 4.3411233E+002, 4.9363128E-003, 3.1955460E-002
 1.4000000E+002, 4.3521181E+002, 5.3087908E-003, 3.1936885E-002
 1.4500000E+002, 4.3619832E+002, 5.6666499E-003, 3.1916999E-002
 1.5000000E+002, 4.3708362E+002, 5.9984555E-003, 3.1895852E-002
 1.5500000E+002, 4.3644883E+002, 6.1157025E-003, 3.1873857E-002
 1.6001000E+002, 4.3707479E+002, 6.4971608E-003, 3.1851049E-002
 1.6501000E+002, 4.3790744E+002, 6.8323008E-003, 3.1826861E-002
 1.7001000E+002, 4.3863774E+002, 7.1301399E-003, 3.1801555E-002
 1.7501000E+002, 4.3910143E+002, 7.3678506E-003, 3.1775226E-002
 1.8001000E+002, 4.3855879E+002, 7.5330278E-003, 3.1748357E-002
 1.8501000E+002, 4.3937529E+002, 7.8895225E-003, 3.1720356E-002
 1.9001000E+002, 4.4000887E+002, 8.1603086E-003, 3.1691271E-002
 1.9501000E+002, 4.4058536E+002, 8.4073919E-003, 3.1661250E-002
 2.0001000E+002, 4.4042938E+002, 8.5280583E-003, 3.1630459E-002
 2.0501000E+002, 4.4032506E+002, 8.7826074E-003, 3.1599240E-002
 2.1001000E+002, 4.4094942E+002, 9.0641477E-003, 3.1566878E-002
 2.1501000E+002, 4.4059755E+002, 9.1400141E-003, 3.1533818E-002
 2.2001000E+002, 4.4083000E+002, 9.4171772E-003, 3.1500294E-002
 2.2501000E+002, 4.4139797E+002, 9.6665704E-003, 3.1465700E-002
 2.3001000E+002, 4.4189911E+002, 9.8746425E-003, 3.1430292E-002
 2.3501000E+002, 4.4204829E+002, 1.0002240E-002, 3.1394185E-002
 2.4001000E+002, 4.4142049E+002, 1.0126103E-002, 3.1357876E-002
 2.4501000E+002, 4.4202161E+002, 1.0411059E-002, 3.1320620E-002
 2.5001000E+002, 4.4250971E+002, 1.0624749E-002, 3.1282504E-002
 2.5501000E+002, 4.4296806E+002, 1.0828488E-002, 3.1243638E-002
 2.6001000E+002, 4.4174319E+002, 1.0826481E-002, 3.1204484E-002
 2.6501000E+002, 4.4233615E+002, 1.1172516E-002, 3.1164571E-002
 2.7001000E+002, 4.4283511E+002, 1.1408435E-002, 3.1123652E-002
 2.7501000E+002, 4.4235323E+002, 1.1496356E-002, 3.1082178E-002
 2.8001000E+002, 4.4280567E+002, 1.1800912E-002, 3.1039958E-002
 2.8501000E+002, 4.4328131E+002, 1.2022159E-002, 3.0996786E-002
 2.9001000E+002, 4.4371515E+002, 1.2218677E-002, 3.0952868E-002
 2.9501000E+002, 4.4266559E+002, 1.2230385E-002, 3.0908602E-002
 3.0001000E+002, 4.4305271E+002, 1.2539357E-002, 3.0863718E-002
 3.0501000E+002, 4.4351622E+002, 1.2754132E-002, 3.0817881E-002
 3.1001000E+002, 4.4394294E+002, 1.2941548E-002, 3.0771326E-002
 3.1501000E+002, 4.4308732E+002, 1.2978116E-002, 3.0724437E-002
 3.2001000E+002, 4.4358085E+002, 1.3268912E-002, 3.0676827E-002
 3.2501000E+002, 4.4401491E+002, 1.3456102E-002, 3.0628402E-002
 3.3001000E+002, 4.4316038E+002, 1.3466510E-002, 3.0579663E-002
 3.3501000E+002, 4.4355626E+002, 1.3737363E-002, 3.0530354E-002
