s,C,kg/m2/s,m
Time,"temp","MLR","thick"
 0.0000000E+000, 2.0000000E+001, 0.0000000E+000, 1.4000000E-002
 5.0100000E+000, 6.7866153E+001, 3.2058594E-017, 1.4000000E-002
 1.0010000E+001, 1.2748306E+002, 1.0704031E-013, 1.4000000E-002
 1.5010000E+001, 1.6829383E+002, 1.7861025E-011, 1.4000000E-002
 2.0000000E+001, 2.0091879E+002, 7.0316029E-010, 1.4000000E-002
 2.5000000E+001, 2.2851480E+002, 1.1855486E-008, 1.4000000E-002
 3.0000000E+001, 2.5262496E+002, 1.1449452E-007, 1.4000000E-002
 3.5000000E+001, 2.7413120E+002, 7.4923407E-007, 1.3999998E-002
 4.0000000E+001, 2.9364010E+002, 3.6952437E-006, 1.3999991E-002
 4.5010000E+001, 3.1158937E+002, 1.4753841E-005, 1.3999960E-002
 5.0010000E+001, 3.2824945E+002, 4.9864680E-005, 1.3999847E-002
 5.5010000E+001, 3.4378505E+002, 1.4714559E-004, 1.3999498E-002
 6.0010000E+001, 3.5828120E+002, 3.8670036E-004, 1.3998535E-002
 6.5010000E+001, 3.7167158E+002, 9.1210084E-004, 1.3996157E-002
 7.0010000E+001, 3.8373792E+002, 1.9267462E-003, 1.3990885E-002
 7.5000000E+001, 3.9414430E+002, 3.6138050E-003, 1.3980468E-002
 8.0000000E+001, 4.0262793E+002, 5.9927392E-003, 1.3962201E-002
 8.5000000E+001, 4.0917274E+002, 8.8491128E-003, 1.3933748E-002
 9.0000000E+001, 4.1404517E+002, 1.1863803E-002, 1.3893910E-002
 9.5000000E+001, 4.1766796E+002, 1.4810508E-002, 1.3842559E-002
 1.0000000E+002, 4.2043279E+002, 1.7605121E-002, 1.3780159E-002
 1.0500000E+002, 4.2262522E+002, 2.0251773E-002, 1.3707306E-002
 1.1000000E+002, 4.2443358E+002, 2.2788358E-002, 1.3624498E-002
 1.1500000E+002, 4.2597585E+002, 2.5255907E-002, 1.3532080E-002
 1.2000000E+002, 4.2732729E+002, 2.7690722E-002, 1.3430244E-002
 1.2500000E+002, 4.2853560E+002, 3.0120079E-002, 1.3319061E-002
 1.3000000E+002, 4.2962884E+002, 3.2557517E-002, 1.3198523E-002
 1.3500000E+002, 4.3063000E+002, 3.5010294E-002, 1.3068579E-002
 1.4000000E+002, 4.3155814E+002, 3.7472818E-002, 1.2929179E-002
 1.4500000E+002, 4.3242048E+002, 3.9907728E-002, 1.2780342E-002
 1.5000000E+002, 4.3322197E+002, 4.2250594E-002, 1.2622297E-002
 1.5500000E+002, 4.3397155E+002, 4.4426595E-002, 1.2455534E-002
 1.6001000E+002, 4.3467682E+002, 4.6357268E-002, 1.2280676E-002
 1.6501000E+002, 4.3534790E+002, 4.7985025E-002, 1.2098959E-002
 1.7001000E+002, 4.3599781E+002, 4.9290604E-002, 1.1911785E-002
 1.7501000E+002, 4.3664963E+002, 5.0302360E-002, 1.1720170E-002
 1.8001000E+002, 4.3733630E+002, 5.1072724E-002, 1.1525146E-002
 1.8501000E+002, 4.3810612E+002, 5.1652052E-002, 1.1327541E-002
 1.9001000E+002, 4.3903470E+002, 5.2060135E-002, 1.1128036E-002
 1.9501000E+002, 4.4025486E+002, 5.2257546E-002, 1.0927342E-002
 2.0001000E+002, 4.4181446E+002, 5.2047091E-002, 1.0726565E-002
 2.0501000E+002, 4.4397041E+002, 5.0915251E-002, 1.0528088E-002
 2.1001000E+002, 4.4829658E+002, 4.7241799E-002, 1.0338266E-002
 2.1501000E+002, 4.6011498E+002, 4.1214183E-002, 1.0167388E-002
 2.2001000E+002, 5.0663363E+002, 2.3362903E-002, 1.0033464E-002
 2.2501000E+002, 6.2322820E+002, 0.0000000E+000, 1.0000000E-002
 2.3001000E+002, 6.3815054E+002, 0.0000000E+000, 1.0000000E-002
 2.3501000E+002, 6.4567070E+002, 0.0000000E+000, 1.0000000E-002
 2.4001000E+002, 6.5026368E+002, 0.0000000E+000, 1.0000000E-002
 2.4501000E+002, 6.5299054E+002, 0.0000000E+000, 1.0000000E-002
 2.5001000E+002, 6.5455784E+002, 0.0000000E+000, 1.0000000E-002
 2.5501000E+002, 6.5544120E+002, 0.0000000E+000, 1.0000000E-002
 2.6001000E+002, 6.5593356E+002, 0.0000000E+000, 1.0000000E-002
 2.6501000E+002, 6.5620632E+002, 0.0000000E+000, 1.0000000E-002
 2.7001000E+002, 6.5635689E+002, 0.0000000E+000, 1.0000000E-002
 2.7501000E+002, 6.5643989E+002, 0.0000000E+000, 1.0000000E-002
 2.8001000E+002, 6.5648564E+002, 0.0000000E+000, 1.0000000E-002
 2.8501000E+002, 6.5651079E+002, 0.0000000E+000, 1.0000000E-002
 2.9001000E+002, 6.5652461E+002, 0.0000000E+000, 1.0000000E-002
 2.9501000E+002, 6.5653219E+002, 0.0000000E+000, 1.0000000E-002
 3.0001000E+002, 6.5653635E+002, 0.0000000E+000, 1.0000000E-002
 3.0501000E+002, 6.5653860E+002, 0.0000000E+000, 1.0000000E-002
 3.1001000E+002, 6.5653983E+002, 0.0000000E+000, 1.0000000E-002
 3.1501000E+002, 6.5654053E+002, 0.0000000E+000, 1.0000000E-002
 3.2001000E+002, 6.5654090E+002, 0.0000000E+000, 1.0000000E-002
 3.2501000E+002, 6.5654111E+002, 0.0000000E+000, 1.0000000E-002
 3.3001000E+002, 6.5654122E+002, 0.0000000E+000, 1.0000000E-002
 3.3501000E+002, 6.5654128E+002, 0.0000000E+000, 1.0000000E-002
 3.4001000E+002, 6.5654131E+002, 0.0000000E+000, 1.0000000E-002
 3.4501000E+002, 6.5654132E+002, 0.0000000E+000, 1.0000000E-002
 3.5001000E+002, 6.5654133E+002, 0.0000000E+000, 1.0000000E-002
 3.5501000E+002, 6.5654134E+002, 0.0000000E+000, 1.0000000E-002
 3.6001000E+002, 6.5654134E+002, 0.0000000E+000, 1.0000000E-002
 3.6501000E+002, 6.5654134E+002, 0.0000000E+000, 1.0000000E-002
 3.7001000E+002, 6.5654135E+002, 0.0000000E+000, 1.0000000E-002
 3.7501000E+002, 6.5654135E+002, 0.0000000E+000, 1.0000000E-002
 3.8001000E+002, 6.5654135E+002, 0.0000000E+000, 1.0000000E-002
 3.8501000E+002, 6.5654135E+002, 0.0000000E+000, 1.0000000E-002
 3.9001000E+002, 6.5654135E+002, 0.0000000E+000, 1.0000000E-002
 3.9501000E+002, 6.5654135E+002, 0.0000000E+000, 1.0000000E-002
 4.0001000E+002, 6.5654135E+002, 0.0000000E+000, 1.0000000E-002
 4.0501000E+002, 6.5654135E+002, 0.0000000E+000, 1.0000000E-002
 4.1001000E+002, 6.5654135E+002, 0.0000000E+000, 1.0000000E-002
 4.1501000E+002, 6.5654135E+002, 0.0000000E+000, 1.0000000E-002
 4.2001000E+002, 6.5654135E+002, 0.0000000E+000, 1.0000000E-002
 4.2501000E+002, 6.5654135E+002, 0.0000000E+000, 1.0000000E-002
 4.3001000E+002, 6.5654135E+002, 0.0000000E+000, 1.0000000E-002
