s,kW,C,kg/s,m,kW/m2
Time,HRR,temp,MLR,thick,flux
 0.000E+000, 0.000E+000, 2.000E+001, 0.000E+000, 1.900E-002,-4.759E-011
 2.010E+000, 0.000E+000, 4.278E+001, 0.000E+000, 1.900E-002, 5.003E+001
 4.019E+000, 0.000E+000, 7.518E+001, 3.715E-018, 1.900E-002, 5.011E+001
 6.012E+000, 0.000E+000, 9.890E+001, 2.817E-016, 1.900E-002, 5.018E+001
 8.010E+000, 0.000E+000, 1.184E+002, 7.125E-015, 1.900E-002, 5.023E+001
 1.001E+001, 0.000E+000, 1.355E+002, 9.654E-014, 1.900E-002, 5.028E+001
 1.201E+001, 0.000E+000, 1.506E+002, 8.380E-013, 1.900E-002, 5.033E+001
 1.401E+001, 4.011E-008, 1.643E+002, 5.317E-012, 1.900E-002, 5.037E+001
 1.601E+001, 4.308E-007, 1.769E+002, 2.643E-011, 1.900E-002, 5.041E+001
 1.800E+001, 1.955E-006, 1.886E+002, 1.080E-010, 1.900E-002, 5.044E+001
 2.000E+001, 7.067E-006, 1.994E+002, 3.787E-010, 1.900E-002, 5.047E+001
 2.200E+001, 2.216E-005, 2.096E+002, 1.173E-009, 1.900E-002, 5.050E+001
 2.400E+001, 6.208E-005, 2.193E+002, 3.270E-009, 1.900E-002, 5.053E+001
 2.601E+001, 1.591E-004, 2.284E+002, 8.357E-009, 1.900E-002, 5.055E+001
 2.800E+001, 3.769E-004, 2.371E+002, 1.975E-008, 1.900E-002, 5.058E+001
 3.000E+001, 8.352E-004, 2.453E+002, 4.367E-008, 1.900E-002, 5.061E+001
 3.200E+001, 1.749E-003, 2.533E+002, 9.131E-008, 1.900E-002, 5.063E+001
 3.401E+001, 3.487E-003, 2.609E+002, 1.818E-007, 1.900E-002, 5.066E+001
 3.600E+001, 6.656E-003, 2.682E+002, 3.467E-007, 1.900E-002, 5.068E+001
 3.801E+001, 1.222E-002, 2.753E+002, 6.359E-007, 1.900E-002, 5.071E+001
 4.000E+001, 2.167E-002, 2.821E+002, 1.127E-006, 1.900E-002, 5.073E+001
 4.201E+001, 3.731E-002, 2.887E+002, 1.939E-006, 1.900E-002, 5.076E+001
 4.400E+001, 6.244E-002, 2.951E+002, 3.242E-006, 1.900E-002, 5.079E+001
 4.600E+001, 1.019E-001, 3.014E+002, 5.290E-006, 1.900E-002, 5.082E+001
 4.801E+001, 1.629E-001, 3.075E+002, 8.447E-006, 1.900E-002, 5.086E+001
 5.001E+001, 2.551E-001, 3.135E+002, 1.322E-005, 1.900E-002, 5.091E+001
 5.200E+001, 3.921E-001, 3.193E+002, 2.032E-005, 1.900E-002, 5.097E+001
 5.401E+001, 5.938E-001, 3.251E+002, 3.076E-005, 1.900E-002, 5.107E+001
 5.600E+001, 8.864E-001, 3.309E+002, 4.589E-005, 1.900E-002, 5.118E+001
 5.801E+001, 1.306E+000, 3.366E+002, 6.761E-005, 1.900E-002, 5.139E+001
 6.000E+001, 1.904E+000, 3.423E+002, 9.852E-005, 1.900E-002, 5.166E+001
 6.201E+001, 2.751E+000, 3.480E+002, 1.423E-004, 1.900E-002, 5.203E+001
 6.400E+001, 3.943E+000, 3.538E+002, 2.039E-004, 1.900E-002, 5.256E+001
 6.600E+001, 5.615E+000, 3.598E+002, 2.904E-004, 1.900E-002, 5.330E+001
 6.800E+001, 7.975E+000, 3.663E+002, 4.122E-004, 1.900E-002, 5.473E+001
 7.000E+001, 1.130E+001, 3.732E+002, 5.840E-004, 1.900E-002, 5.607E+001
 7.200E+001, 1.610E+001, 3.808E+002, 8.314E-004, 1.899E-002, 5.786E+001
 7.400E+001, 2.335E+001, 3.900E+002, 1.205E-003, 1.899E-002, 6.321E+001
 7.600E+001, 3.560E+001, 4.042E+002, 1.838E-003, 1.899E-002, 7.580E+001
 7.800E+001, 6.167E+001, 4.272E+002, 3.203E-003, 1.897E-002, 9.257E+001
 8.000E+001, 1.117E+002, 4.405E+002, 5.843E-003, 1.893E-002, 9.532E+001
 8.200E+001, 1.901E+002, 4.454E+002, 9.989E-003, 1.887E-002, 9.393E+001
 8.400E+001, 2.971E+002, 4.450E+002, 1.572E-002, 1.881E-002, 9.018E+001
 8.600E+001, 4.348E+002, 4.436E+002, 2.281E-002, 1.874E-002, 8.879E+001
 8.800E+001, 5.784E+002, 4.431E+002, 3.059E-002, 1.867E-002, 8.611E+001
 9.000E+001, 7.251E+002, 4.436E+002, 3.814E-002, 1.860E-002, 8.650E+001
 9.200E+001, 8.394E+002, 4.440E+002, 4.394E-002, 1.853E-002, 8.533E+001
 9.400E+001, 9.377E+002, 4.445E+002, 4.980E-002, 1.846E-002, 8.487E+001
 9.600E+001, 1.047E+003, 4.444E+002, 5.441E-002, 1.838E-002, 8.721E+001
 9.800E+001, 1.115E+003, 4.464E+002, 5.867E-002, 1.830E-002, 8.826E+001
 1.000E+002, 1.146E+003, 4.470E+002, 6.063E-002, 1.821E-002, 8.713E+001
 1.020E+002, 1.194E+003, 4.466E+002, 6.274E-002, 1.813E-002, 8.764E+001
 1.040E+002, 1.227E+003, 4.472E+002, 6.498E-002, 1.804E-002, 8.743E+001
 1.060E+002, 1.282E+003, 4.483E+002, 6.729E-002, 1.794E-002, 8.849E+001
 1.080E+002, 1.272E+003, 4.493E+002, 6.918E-002, 1.785E-002, 8.785E+001
 1.100E+002, 1.347E+003, 4.488E+002, 7.070E-002, 1.774E-002, 8.812E+001
 1.120E+002, 1.338E+003, 4.494E+002, 7.330E-002, 1.764E-002, 8.716E+001
 1.140E+002, 1.398E+003, 4.495E+002, 7.522E-002, 1.753E-002, 8.732E+001
 1.160E+002, 1.452E+003, 4.502E+002, 7.894E-002, 1.742E-002, 8.810E+001
 1.180E+002, 1.481E+003, 4.511E+002, 8.268E-002, 1.730E-002, 8.809E+001
 1.200E+002, 1.563E+003, 4.523E+002, 8.624E-002, 1.718E-002, 8.919E+001
 1.220E+002, 1.661E+003, 4.528E+002, 9.121E-002, 1.704E-002, 8.990E+001
 1.240E+002, 1.682E+003, 4.542E+002, 9.572E-002, 1.690E-002, 8.966E+001
 1.260E+002, 1.722E+003, 4.533E+002, 1.006E-001, 1.676E-002, 8.837E+001
 1.280E+002, 1.825E+003, 4.541E+002, 1.069E-001, 1.660E-002, 8.850E+001
 1.300E+002, 1.943E+003, 4.546E+002, 1.134E-001, 1.644E-002, 8.915E+001
 1.320E+002, 2.040E+003, 4.563E+002, 1.195E-001, 1.627E-002, 8.917E+001
 1.340E+002, 2.007E+003, 4.567E+002, 1.248E-001, 1.609E-002, 8.840E+001
 1.360E+002, 2.094E+003, 4.586E+002, 1.308E-001, 1.590E-002, 8.927E+001
 1.380E+002, 2.071E+003, 4.596E+002, 1.337E-001, 1.571E-002, 8.832E+001
 1.400E+002, 2.073E+003, 4.629E+002, 1.335E-001, 1.552E-002, 8.822E+001
 1.420E+002, 1.969E+003, 4.702E+002, 1.194E-001, 1.532E-002, 8.856E+001
 1.440E+002, 1.390E+003, 4.872E+002, 6.970E-002, 1.514E-002, 9.060E+001
 1.460E+002, 9.038E+002, 6.294E+002, 4.505E-002, 1.438E-002, 9.226E+001
 1.480E+002, 7.712E+002, 7.389E+002, 3.934E-002, 1.393E-002, 9.441E+001
 1.500E+002, 3.929E+002, 7.213E+002, 1.850E-002, 1.393E-002, 8.145E+001
 1.520E+002, 1.569E+002, 6.316E+002, 7.859E-003, 1.393E-002, 5.910E+001
 1.540E+002, 8.059E+001, 5.923E+002, 4.146E-003, 1.393E-002, 5.301E+001
 1.560E+002, 8.287E+001, 5.923E+002, 4.263E-003, 1.393E-002, 5.324E+001
