s,kW,C,kg/s,m,kW/m2
Time,"HRR","temp","MLR","thick","flux"
 0.000E+000, 0.000E+000, 2.000E+001, 0.000E+000, 1.900E-002,-4.759E-011
 2.012E+000, 0.000E+000, 5.192E+001, 0.000E+000, 1.900E-002, 7.004E+001
 4.013E+000, 0.000E+000, 9.725E+001, 0.000E+000, 1.900E-002, 7.025E+001
 6.007E+000, 0.000E+000, 1.305E+002, 0.000E+000, 1.900E-002, 7.040E+001
 8.006E+000, 2.274E-008, 1.578E+002, 0.000E+000, 1.900E-002, 7.048E+001
 1.001E+001, 9.125E-007, 1.815E+002, 0.000E+000, 1.900E-002, 7.055E+001
 1.201E+001, 1.049E-005, 2.025E+002, 0.000E+000, 1.900E-002, 7.062E+001
 1.401E+001, 7.847E-005, 2.214E+002, 0.000E+000, 1.900E-002, 7.071E+001
 1.601E+001, 4.334E-004, 2.387E+002, 0.000E+000, 1.900E-002, 7.079E+001
 1.801E+001, 1.912E-003, 2.547E+002, 0.000E+000, 1.900E-002, 7.086E+001
 2.001E+001, 7.031E-003, 2.695E+002, 0.000E+000, 1.900E-002, 7.094E+001
 2.200E+001, 2.231E-002, 2.834E+002, 0.000E+000, 1.900E-002, 7.105E+001
 2.401E+001, 6.293E-002, 2.964E+002, 0.000E+000, 1.900E-002, 7.115E+001
 2.601E+001, 1.605E-001, 3.087E+002, 0.000E+000, 1.900E-002, 7.124E+001
 2.800E+001, 3.753E-001, 3.205E+002, 0.000E+000, 1.900E-002, 7.151E+001
 3.000E+001, 8.192E-001, 3.316E+002, 0.000E+000, 1.900E-002, 7.186E+001
 3.200E+001, 1.692E+000, 3.427E+002, 0.000E+000, 1.900E-002, 7.250E+001
 3.400E+001, 3.339E+000, 3.538E+002, 0.000E+000, 1.900E-002, 7.387E+001
 3.600E+001, 6.398E+000, 3.658E+002, 0.000E+000, 1.900E-002, 7.679E+001
 3.800E+001, 1.214E+001, 3.802E+002, 0.000E+000, 1.900E-002, 8.284E+001
 4.000E+001, 2.381E+001, 4.007E+002, 0.000E+000, 1.899E-002, 9.680E+001
 4.200E+001, 5.067E+001, 4.238E+002, 0.000E+000, 1.898E-002, 1.052E+002
 4.400E+001, 1.026E+002, 4.311E+002, 0.000E+000, 1.896E-002, 9.826E+001
 4.600E+001, 1.885E+002, 4.326E+002, 0.000E+000, 1.892E-002, 9.498E+001
 4.800E+001, 3.102E+002, 4.354E+002, 0.000E+000, 1.888E-002, 9.625E+001
 5.000E+001, 4.511E+002, 4.374E+002, 0.000E+000, 1.884E-002, 9.622E+001
 5.200E+001, 5.897E+002, 4.390E+002, 0.000E+000, 1.879E-002, 9.673E+001
 5.400E+001, 7.130E+002, 4.409E+002, 0.000E+000, 1.873E-002, 9.846E+001
 5.600E+001, 8.284E+002, 4.428E+002, 0.000E+000, 1.867E-002, 9.990E+001
 5.800E+001, 8.919E+002, 4.442E+002, 0.000E+000, 1.861E-002, 1.009E+002
 6.000E+001, 9.440E+002, 4.454E+002, 0.000E+000, 1.854E-002, 1.016E+002
 6.200E+001, 9.869E+002, 4.457E+002, 0.000E+000, 1.847E-002, 1.004E+002
 6.400E+001, 1.003E+003, 4.465E+002, 0.000E+000, 1.839E-002, 1.008E+002
 6.600E+001, 1.059E+003, 4.469E+002, 0.000E+000, 1.831E-002, 1.008E+002
 6.800E+001, 1.123E+003, 4.480E+002, 0.000E+000, 1.823E-002, 1.021E+002
 7.000E+001, 1.122E+003, 4.490E+002, 0.000E+000, 1.815E-002, 1.021E+002
 7.200E+001, 1.155E+003, 4.491E+002, 0.000E+000, 1.806E-002, 1.007E+002
 7.400E+001, 1.184E+003, 4.495E+002, 0.000E+000, 1.797E-002, 1.008E+002
 7.600E+001, 1.228E+003, 4.507E+002, 0.000E+000, 1.788E-002, 1.021E+002
 7.800E+001, 1.261E+003, 4.517E+002, 0.000E+000, 1.778E-002, 1.027E+002
 8.000E+001, 1.276E+003, 4.520E+002, 0.000E+000, 1.768E-002, 1.015E+002
 8.200E+001, 1.347E+003, 4.529E+002, 0.000E+000, 1.758E-002, 1.027E+002
 8.400E+001, 1.427E+003, 4.540E+002, 0.000E+000, 1.747E-002, 1.036E+002
 8.600E+001, 1.403E+003, 4.544E+002, 0.000E+000, 1.735E-002, 1.023E+002
 8.800E+001, 1.472E+003, 4.549E+002, 0.000E+000, 1.723E-002, 1.021E+002
 9.000E+001, 1.567E+003, 4.559E+002, 0.000E+000, 1.711E-002, 1.030E+002
 9.200E+001, 1.629E+003, 4.567E+002, 0.000E+000, 1.698E-002, 1.030E+002
 9.400E+001, 1.680E+003, 4.575E+002, 0.000E+000, 1.684E-002, 1.032E+002
 9.600E+001, 1.729E+003, 4.582E+002, 0.000E+000, 1.669E-002, 1.026E+002
 9.800E+001, 1.830E+003, 4.590E+002, 0.000E+000, 1.654E-002, 1.026E+002
 1.000E+002, 1.892E+003, 4.599E+002, 0.000E+000, 1.638E-002, 1.030E+002
 1.020E+002, 1.974E+003, 4.608E+002, 0.000E+000, 1.621E-002, 1.033E+002
 1.040E+002, 2.027E+003, 4.618E+002, 0.000E+000, 1.603E-002, 1.035E+002
 1.060E+002, 2.115E+003, 4.629E+002, 0.000E+000, 1.585E-002, 1.037E+002
 1.080E+002, 2.066E+003, 4.640E+002, 0.000E+000, 1.566E-002, 1.027E+002
 1.100E+002, 2.053E+003, 4.661E+002, 0.000E+000, 1.548E-002, 1.036E+002
 1.120E+002, 1.858E+003, 4.690E+002, 0.000E+000, 1.530E-002, 1.031E+002
 1.140E+002, 1.439E+003, 4.818E+002, 0.000E+000, 1.514E-002, 1.033E+002
 1.160E+002, 5.131E+002, 5.580E+002, 0.000E+000, 1.502E-002, 9.872E+001
 1.180E+002, 7.098E+001, 6.630E+002, 0.000E+000, 1.500E-002, 7.511E+001
 1.200E+002, 5.956E+001, 6.608E+002, 0.000E+000, 1.500E-002, 7.363E+001
 1.220E+002, 2.357E+001, 6.563E+002, 0.000E+000, 1.500E-002, 7.221E+001
 1.240E+002, 1.147E-008, 6.792E+002, 0.000E+000, 1.500E-002, 7.362E+001
 1.260E+002, 0.000E+000, 6.882E+002, 0.000E+000, 1.500E-002, 7.434E+001
 1.280E+002, 0.000E+000, 6.875E+002, 0.000E+000, 1.500E-002, 7.396E+001
 1.300E+002, 0.000E+000, 6.926E+002, 0.000E+000, 1.500E-002, 7.459E+001
 1.320E+002, 0.000E+000, 6.943E+002, 0.000E+000, 1.500E-002, 7.466E+001
 1.340E+002, 0.000E+000, 6.926E+002, 0.000E+000, 1.500E-002, 7.431E+001
 1.360E+002, 0.000E+000, 6.912E+002, 0.000E+000, 1.500E-002, 7.420E+001
 1.380E+002, 0.000E+000, 6.857E+002, 0.000E+000, 1.500E-002, 7.336E+001
 1.400E+002, 0.000E+000, 6.877E+002, 0.000E+000, 1.500E-002, 7.366E+001
 1.420E+002, 0.000E+000, 6.901E+002, 0.000E+000, 1.500E-002, 7.390E+001
 1.440E+002, 0.000E+000, 6.902E+002, 0.000E+000, 1.500E-002, 7.396E+001
 1.460E+002, 0.000E+000, 6.847E+002, 0.000E+000, 1.500E-002, 7.321E+001
 1.480E+002, 0.000E+000, 6.862E+002, 0.000E+000, 1.500E-002, 7.359E+001
 1.500E+002, 0.000E+000, 6.893E+002, 0.000E+000, 1.500E-002, 7.400E+001
 1.520E+002, 0.000E+000, 6.891E+002, 0.000E+000, 1.500E-002, 7.378E+001
 1.540E+002, 0.000E+000, 6.844E+002, 0.000E+000, 1.500E-002, 7.336E+001
 1.560E+002, 0.000E+000, 6.845E+002, 0.000E+000, 1.500E-002, 7.323E+001
