s,kg/m2/s
Time,"MLR"
 0.000E+000, 0.000E+000
 2.000E+000, 4.620E-020
 4.010E+000, 2.456E-017
 6.010E+000, 1.694E-015
 8.010E+000, 4.159E-014
 1.001E+001, 5.407E-013
 1.201E+001, 4.557E-012
 1.401E+001, 2.802E-011
 1.601E+001, 1.357E-010
 1.800E+001, 5.421E-010
 2.000E+001, 1.866E-009
 2.200E+001, 5.687E-009
 2.400E+001, 1.563E-008
 2.600E+001, 3.934E-008
 2.800E+001, 9.190E-008
 3.000E+001, 2.013E-007
 3.200E+001, 4.170E-007
 3.400E+001, 8.226E-007
 3.600E+001, 1.554E-006
 3.800E+001, 2.828E-006
 4.000E+001, 4.972E-006
 4.200E+001, 8.480E-006
 4.401E+001, 1.409E-005
 4.601E+001, 2.284E-005
 4.801E+001, 3.614E-005
 5.001E+001, 5.601E-005
 5.201E+001, 8.515E-005
 5.401E+001, 1.271E-004
 5.601E+001, 1.866E-004
 5.801E+001, 2.694E-004
 6.001E+001, 3.829E-004
 6.201E+001, 5.358E-004
 6.401E+001, 7.382E-004
 6.601E+001, 1.001E-003
 6.801E+001, 1.383E-003
 7.001E+001, 2.679E-003
 7.201E+001, 4.604E-003
 7.400E+001, 6.815E-003
 7.600E+001, 9.192E-003
 7.800E+001, 1.160E-002
 8.000E+001, 1.391E-002
 8.200E+001, 1.606E-002
 8.400E+001, 1.804E-002
 8.600E+001, 1.984E-002
 8.800E+001, 2.150E-002
 9.000E+001, 2.303E-002
 9.200E+001, 2.446E-002
 9.400E+001, 2.581E-002
 9.600E+001, 2.711E-002
 9.800E+001, 2.836E-002
 1.000E+002, 2.958E-002
 1.020E+002, 3.078E-002
 1.040E+002, 3.197E-002
 1.060E+002, 3.316E-002
 1.080E+002, 3.434E-002
 1.100E+002, 3.550E-002
 1.120E+002, 3.669E-002
 1.140E+002, 3.790E-002
 1.160E+002, 3.914E-002
 1.180E+002, 4.041E-002
 1.200E+002, 4.170E-002
 1.220E+002, 4.303E-002
 1.240E+002, 4.441E-002
 1.260E+002, 4.583E-002
 1.280E+002, 4.730E-002
 1.300E+002, 4.883E-002
 1.320E+002, 5.040E-002
 1.340E+002, 5.203E-002
 1.360E+002, 5.369E-002
 1.380E+002, 5.539E-002
 1.400E+002, 5.714E-002
 1.420E+002, 5.889E-002
 1.440E+002, 6.064E-002
 1.460E+002, 6.238E-002
 1.480E+002, 6.409E-002
 1.500E+002, 6.572E-002
 1.520E+002, 6.730E-002
 1.540E+002, 6.881E-002
 1.560E+002, 7.022E-002
 1.580E+002, 7.157E-002
 1.600E+002, 7.288E-002
 1.620E+002, 7.414E-002
 1.640E+002, 7.540E-002
 1.660E+002, 7.663E-002
 1.680E+002, 7.786E-002
 1.700E+002, 7.901E-002
 1.720E+002, 7.993E-002
 1.740E+002, 8.028E-002
 1.760E+002, 7.932E-002
 1.780E+002, 7.531E-002
 1.800E+002, 6.426E-002
 1.820E+002, 2.797E-002
 1.840E+002, 0.000E+000
 1.860E+002, 0.000E+000
 1.880E+002, 0.000E+000
 1.900E+002, 0.000E+000
 1.920E+002, 0.000E+000
 1.940E+002, 0.000E+000
 1.960E+002, 0.000E+000
 1.980E+002, 0.000E+000
 2.000E+002, 0.000E+000
 2.020E+002, 0.000E+000
 2.040E+002, 0.000E+000
 2.060E+002, 0.000E+000
 2.080E+002, 0.000E+000
 2.100E+002, 0.000E+000
 2.120E+002, 0.000E+000
 2.140E+002, 0.000E+000
 2.160E+002, 0.000E+000
 2.180E+002, 0.000E+000
 2.200E+002, 0.000E+000
 2.220E+002, 0.000E+000
 2.240E+002, 0.000E+000
 2.260E+002, 0.000E+000
 2.280E+002, 0.000E+000
 2.300E+002, 0.000E+000
 2.320E+002, 0.000E+000
 2.340E+002, 0.000E+000
 2.360E+002, 0.000E+000
 2.380E+002, 0.000E+000
 2.400E+002, 0.000E+000
 2.420E+002, 0.000E+000
 2.440E+002, 0.000E+000
 2.460E+002, 0.000E+000
 2.480E+002, 0.000E+000
 2.500E+002, 0.000E+000
 2.520E+002, 0.000E+000
 2.540E+002, 0.000E+000
 2.560E+002, 0.000E+000
 2.580E+002, 0.000E+000
 2.600E+002, 0.000E+000
 2.620E+002, 0.000E+000
 2.640E+002, 0.000E+000
 2.660E+002, 0.000E+000
 2.680E+002, 0.000E+000
 2.700E+002, 0.000E+000
 2.720E+002, 0.000E+000
 2.740E+002, 0.000E+000
 2.760E+002, 0.000E+000
 2.780E+002, 0.000E+000
 2.800E+002, 0.000E+000
 2.820E+002, 0.000E+000
 2.840E+002, 0.000E+000
 2.860E+002, 0.000E+000
 2.880E+002, 0.000E+000
 2.900E+002, 0.000E+000
 2.920E+002, 0.000E+000
 2.940E+002, 0.000E+000
 2.960E+002, 0.000E+000
 2.980E+002, 0.000E+000
 3.000E+002, 0.000E+000
 3.020E+002, 0.000E+000
 3.040E+002, 0.000E+000
 3.060E+002, 0.000E+000
 3.080E+002, 0.000E+000
 3.100E+002, 0.000E+000
 3.120E+002, 0.000E+000
 3.140E+002, 0.000E+000
 3.160E+002, 0.000E+000
 3.180E+002, 0.000E+000
 3.200E+002, 0.000E+000
 3.220E+002, 0.000E+000
 3.240E+002, 0.000E+000
 3.260E+002, 0.000E+000
 3.280E+002, 0.000E+000
 3.300E+002, 0.000E+000
 3.320E+002, 0.000E+000
 3.340E+002, 0.000E+000
 3.360E+002, 0.000E+000
 3.380E+002, 0.000E+000
 3.400E+002, 0.000E+000
 3.420E+002, 0.000E+000
 3.440E+002, 0.000E+000
 3.460E+002, 0.000E+000
 3.480E+002, 0.000E+000
 3.500E+002, 0.000E+000
 3.520E+002, 0.000E+000
 3.540E+002, 0.000E+000
 3.560E+002, 0.000E+000
 3.580E+002, 0.000E+000
 3.600E+002, 0.000E+000
 3.620E+002, 0.000E+000
 3.640E+002, 0.000E+000
 3.660E+002, 0.000E+000
