s,kW/m2
Time,"HRRPUA"
 0.000E+000, 0.000E+000
 2.000E+000, 0.000E+000
 4.010E+000, 0.000E+000
 6.010E+000, 0.000E+000
 8.010E+000, 0.000E+000
 1.001E+001, 0.000E+000
 1.201E+001, 0.000E+000
 1.401E+001, 0.000E+000
 1.601E+001, 0.000E+000
 1.800E+001, 0.000E+000
 2.000E+001, 0.000E+000
 2.200E+001, 0.000E+000
 2.400E+001, 0.000E+000
 2.600E+001, 0.000E+000
 2.800E+001, 0.000E+000
 3.000E+001, 0.000E+000
 3.200E+001, 0.000E+000
 3.400E+001, 0.000E+000
 3.600E+001, 0.000E+000
 3.800E+001, 0.000E+000
 4.000E+001, 0.000E+000
 4.200E+001, 0.000E+000
 4.401E+001, 3.552E-018
 4.601E+001, 6.807E-016
 4.801E+001, 2.905E-015
 5.001E+001, 9.621E-015
 5.201E+001, 2.949E-014
 5.401E+001, 8.596E-014
 5.601E+001, 2.406E-013
 5.801E+001, 6.492E-013
 6.001E+001, 1.693E-012
 6.201E+001, 4.275E-012
 6.401E+001, 1.048E-011
 6.601E+001, 2.495E-011
 6.801E+001, 5.782E-011
 7.001E+001, 1.306E-010
 7.201E+001, 2.877E-010
 7.400E+001, 6.178E-010
 7.600E+001, 1.298E-009
 7.800E+001, 2.673E-009
 8.000E+001, 5.392E-009
 8.200E+001, 1.066E-008
 8.400E+001, 2.069E-008
 8.600E+001, 3.941E-008
 8.800E+001, 7.377E-008
 9.000E+001, 1.357E-007
 9.200E+001, 2.457E-007
 9.400E+001, 4.377E-007
 9.600E+001, 7.678E-007
 9.800E+001, 1.327E-006
 1.000E+002, 2.262E-006
 1.020E+002, 3.802E-006
 1.040E+002, 6.304E-006
 1.060E+002, 1.032E-005
 1.080E+002, 1.668E-005
 1.100E+002, 2.664E-005
 1.120E+002, 4.204E-005
 1.140E+002, 6.560E-005
 1.160E+002, 1.012E-004
 1.180E+002, 1.545E-004
 1.200E+002, 2.334E-004
 1.220E+002, 3.489E-004
 1.240E+002, 5.166E-004
 1.260E+002, 7.575E-004
 1.280E+002, 1.100E-003
 1.300E+002, 1.584E-003
 1.320E+002, 2.261E-003
 1.340E+002, 3.198E-003
 1.360E+002, 4.487E-003
 1.380E+002, 6.244E-003
 1.400E+002, 8.621E-003
 1.420E+002, 1.181E-002
 1.440E+002, 1.606E-002
 1.460E+002, 2.168E-002
 1.480E+002, 2.906E-002
 1.500E+002, 3.869E-002
 1.520E+002, 5.115E-002
 1.540E+002, 6.720E-002
 1.560E+002, 8.771E-002
 1.580E+002, 1.138E-001
 1.600E+002, 1.468E-001
 1.620E+002, 1.883E-001
 1.640E+002, 2.400E-001
 1.660E+002, 3.042E-001
 1.680E+002, 3.835E-001
 1.700E+002, 4.810E-001
 1.720E+002, 6.002E-001
 1.740E+002, 7.451E-001
 1.760E+002, 9.206E-001
 1.780E+002, 1.132E+000
 1.800E+002, 1.385E+000
 1.820E+002, 1.687E+000
 1.840E+002, 2.045E+000
 1.860E+002, 2.467E+000
 1.880E+002, 2.961E+000
 1.900E+002, 3.536E+000
 1.920E+002, 4.200E+000
 1.940E+002, 4.959E+000
 1.960E+002, 5.820E+000
 1.980E+002, 6.784E+000
 2.000E+002, 7.854E+000
 2.020E+002, 9.025E+000
 2.040E+002, 1.029E+001
 2.060E+002, 1.165E+001
 2.080E+002, 1.309E+001
 2.100E+002, 2.798E+001
 2.120E+002, 8.075E+001
 2.140E+002, 1.265E+002
 2.160E+002, 1.553E+002
 2.180E+002, 1.734E+002
 2.200E+002, 1.852E+002
 2.220E+002, 1.928E+002
 2.240E+002, 1.970E+002
 2.260E+002, 1.988E+002
 2.280E+002, 1.990E+002
 2.300E+002, 1.984E+002
 2.320E+002, 1.976E+002
 2.340E+002, 1.968E+002
 2.360E+002, 1.962E+002
 2.380E+002, 1.958E+002
 2.400E+002, 1.954E+002
 2.420E+002, 1.952E+002
 2.440E+002, 1.951E+002
 2.460E+002, 1.951E+002
 2.480E+002, 1.951E+002
 2.500E+002, 1.952E+002
 2.520E+002, 1.954E+002
 2.540E+002, 1.955E+002
 2.560E+002, 1.958E+002
 2.580E+002, 1.960E+002
 2.600E+002, 1.962E+002
 2.620E+002, 1.964E+002
 2.640E+002, 1.966E+002
 2.660E+002, 1.968E+002
 2.680E+002, 1.970E+002
 2.700E+002, 1.971E+002
 2.720E+002, 1.972E+002
 2.740E+002, 1.972E+002
 2.760E+002, 1.971E+002
 2.780E+002, 1.970E+002
 2.800E+002, 1.969E+002
 2.820E+002, 1.967E+002
 2.840E+002, 1.964E+002
 2.860E+002, 1.960E+002
 2.880E+002, 1.956E+002
 2.900E+002, 1.951E+002
 2.920E+002, 1.945E+002
 2.940E+002, 1.939E+002
 2.960E+002, 1.932E+002
 2.980E+002, 1.925E+002
 3.000E+002, 1.917E+002
 3.020E+002, 1.909E+002
 3.040E+002, 1.900E+002
 3.060E+002, 1.891E+002
 3.080E+002, 1.882E+002
 3.100E+002, 1.872E+002
 3.120E+002, 1.862E+002
 3.140E+002, 1.852E+002
 3.160E+002, 1.841E+002
 3.180E+002, 1.831E+002
 3.200E+002, 1.820E+002
 3.220E+002, 1.809E+002
 3.240E+002, 1.798E+002
 3.260E+002, 1.788E+002
 3.280E+002, 1.777E+002
 3.300E+002, 1.766E+002
 3.320E+002, 1.755E+002
 3.340E+002, 1.744E+002
 3.360E+002, 1.733E+002
 3.380E+002, 1.722E+002
 3.400E+002, 1.711E+002
 3.420E+002, 1.700E+002
 3.440E+002, 1.689E+002
 3.460E+002, 1.678E+002
 3.480E+002, 1.667E+002
 3.500E+002, 1.656E+002
 3.520E+002, 1.645E+002
 3.540E+002, 1.634E+002
 3.560E+002, 1.623E+002
 3.580E+002, 1.612E+002
 3.600E+002, 1.600E+002
 3.620E+002, 1.589E+002
 3.640E+002, 1.578E+002
 3.660E+002, 1.567E+002
 3.680E+002, 1.555E+002
 3.700E+002, 1.544E+002
 3.720E+002, 1.532E+002
 3.740E+002, 1.521E+002
 3.760E+002, 1.509E+002
 3.780E+002, 1.497E+002
 3.800E+002, 1.485E+002
 3.820E+002, 1.472E+002
 3.840E+002, 1.459E+002
 3.860E+002, 1.447E+002
 3.880E+002, 1.433E+002
 3.900E+002, 1.420E+002
 3.920E+002, 1.405E+002
 3.940E+002, 1.391E+002
 3.960E+002, 1.376E+002
 3.980E+002, 1.360E+002
 4.000E+002, 1.343E+002
 4.020E+002, 1.326E+002
 4.040E+002, 1.307E+002
 4.060E+002, 1.288E+002
 4.080E+002, 1.266E+002
 4.100E+002, 1.243E+002
 4.120E+002, 1.217E+002
 4.140E+002, 1.189E+002
 4.160E+002, 1.157E+002
 4.180E+002, 1.121E+002
 4.200E+002, 1.078E+002
 4.220E+002, 1.027E+002
 4.240E+002, 9.652E+001
 4.260E+002, 8.890E+001
 4.280E+002, 7.957E+001
 4.300E+002, 6.885E+001
 4.320E+002, 5.879E+001
 4.340E+002, 5.271E+001
 4.360E+002, 5.098E+001
 4.380E+002, 5.092E+001
 4.400E+002, 5.092E+001
 4.420E+002, 5.070E+001
 4.440E+002, 5.031E+001
 4.460E+002, 4.978E+001
 4.480E+002, 4.916E+001
 4.500E+002, 4.847E+001
 4.520E+002, 4.773E+001
 4.540E+002, 4.696E+001
 4.560E+002, 4.616E+001
 4.580E+002, 4.535E+001
 4.600E+002, 4.454E+001
 4.620E+002, 4.373E+001
 4.640E+002, 4.292E+001
 4.660E+002, 4.212E+001
 4.680E+002, 4.133E+001
 4.700E+002, 4.055E+001
 4.720E+002, 3.978E+001
 4.740E+002, 3.903E+001
 4.760E+002, 3.830E+001
 4.780E+002, 3.758E+001
 4.800E+002, 3.688E+001
 4.820E+002, 3.619E+001
 4.840E+002, 3.552E+001
 4.860E+002, 3.487E+001
 4.880E+002, 3.423E+001
 4.900E+002, 3.361E+001
 4.920E+002, 3.300E+001
 4.940E+002, 3.241E+001
 4.960E+002, 3.184E+001
 4.980E+002, 3.128E+001
 5.000E+002, 3.073E+001
 5.020E+002, 3.020E+001
 5.040E+002, 2.968E+001
 5.060E+002, 2.917E+001
 5.080E+002, 2.868E+001
 5.100E+002, 2.820E+001
 5.120E+002, 2.774E+001
 5.140E+002, 2.728E+001
 5.160E+002, 2.684E+001
 5.180E+002, 2.641E+001
 5.200E+002, 2.598E+001
 5.220E+002, 2.557E+001
 5.240E+002, 2.517E+001
 5.260E+002, 2.478E+001
 5.280E+002, 2.441E+001
 5.300E+002, 2.404E+001
 5.320E+002, 2.367E+001
 5.340E+002, 2.332E+001
 5.360E+002, 2.298E+001
 5.380E+002, 2.265E+001
 5.400E+002, 2.232E+001
 5.420E+002, 2.200E+001
 5.440E+002, 2.170E+001
 5.460E+002, 2.139E+001
 5.480E+002, 2.110E+001
 5.500E+002, 2.081E+001
 5.520E+002, 2.053E+001
 5.540E+002, 2.026E+001
 5.560E+002, 2.000E+001
 5.580E+002, 1.974E+001
 5.600E+002, 1.949E+001
 5.620E+002, 1.924E+001
 5.640E+002, 1.900E+001
 5.660E+002, 1.876E+001
 5.680E+002, 1.854E+001
 5.700E+002, 1.831E+001
 5.720E+002, 1.810E+001
 5.740E+002, 1.788E+001
 5.760E+002, 1.768E+001
 5.780E+002, 1.747E+001
 5.800E+002, 1.728E+001
 5.820E+002, 1.708E+001
 5.840E+002, 1.690E+001
 5.860E+002, 1.671E+001
 5.880E+002, 1.654E+001
 5.900E+002, 1.636E+001
 5.920E+002, 1.619E+001
 5.940E+002, 1.602E+001
 5.960E+002, 1.586E+001
 5.980E+002, 1.570E+001
 6.000E+002, 1.555E+001
