s,C,kg/m2/s,m
Time,"temp","MLR","thick"
 3.9501000E+002, 4.1466670E+002, 3.0793694E-002, 1.2445380E-002
 4.0001000E+002, 4.1472387E+002, 3.1036526E-002, 1.2304563E-002
 4.0501000E+002, 4.1480791E+002, 3.1426082E-002, 1.2162868E-002
 4.1001000E+002, 4.1495284E+002, 3.1608444E-002, 1.2019315E-002
 4.1501000E+002, 4.1503612E+002, 3.1923613E-002, 1.1875191E-002
 4.2001000E+002, 4.1519085E+002, 3.2039246E-002, 1.1729541E-002
 4.2501000E+002, 4.1539127E+002, 3.2308465E-002, 1.1583546E-002
 4.3001000E+002, 4.1554077E+002, 3.2352205E-002, 1.1436337E-002
 4.3501000E+002, 4.1596367E+002, 3.2571675E-002, 1.1288992E-002
 4.4001000E+002, 4.1617181E+002, 3.2522097E-002, 1.1140850E-002
 4.4501000E+002, 4.1702096E+002, 3.2644649E-002, 1.0992869E-002
 4.5001000E+002, 4.1754721E+002, 3.2410556E-002, 1.0844847E-002
 4.5501000E+002, 4.1925972E+002, 3.2247927E-002, 1.0697934E-002
 4.6001000E+002, 4.2103331E+002, 3.1563580E-002, 1.0552629E-002
 4.6501000E+002, 4.2498428E+002, 3.0700657E-002, 1.0411110E-002
 4.7001000E+002, 4.3107946E+002, 2.8654409E-002, 1.0275394E-002
 4.7501000E+002, 4.4201637E+002, 2.5688810E-002, 1.0151712E-002
 4.8001000E+002, 4.6675316E+002, 1.9347290E-002, 1.0046987E-002
 4.8501000E+002, 6.0116128E+002, 1.3089618E-003, 1.0000457E-002
 4.9001000E+002, 6.3458523E+002, 0.0000000E+000, 1.0000000E-002
 4.9501000E+002, 6.4354791E+002, 0.0000000E+000, 1.0000000E-002
 5.0001000E+002, 6.4897166E+002, 0.0000000E+000, 1.0000000E-002
 5.0501000E+002, 6.5223412E+002, 0.0000000E+000, 1.0000000E-002
 5.1001000E+002, 6.5412690E+002, 0.0000000E+000, 1.0000000E-002
 5.1501000E+002, 6.5519936E+002, 0.0000000E+000, 1.0000000E-002
 5.2001000E+002, 6.5579907E+002, 0.0000000E+000, 1.0000000E-002
 5.2501000E+002, 6.5613181E+002, 0.0000000E+000, 1.0000000E-002
 5.3001000E+002, 6.5631565E+002, 0.0000000E+000, 1.0000000E-002
 5.3501000E+002, 6.5641718E+002, 0.0000000E+000, 1.0000000E-002
 5.4001000E+002, 6.5647316E+002, 0.0000000E+000, 1.0000000E-002
 5.4501000E+002, 6.5650378E+002, 0.0000000E+000, 1.0000000E-002
 5.5001000E+002, 6.5652060E+002, 0.0000000E+000, 1.0000000E-002
 5.5501000E+002, 6.5652993E+002, 0.0000000E+000, 1.0000000E-002
 5.6001000E+002, 6.5653514E+002, 0.0000000E+000, 1.0000000E-002
 5.6501000E+002, 6.5653782E+002, 0.0000000E+000, 1.0000000E-002
 5.7001000E+002, 6.5653940E+002, 0.0000000E+000, 1.0000000E-002
 5.7501000E+002, 6.5654020E+002, 0.0000000E+000, 1.0000000E-002
 5.8001000E+002, 6.5654070E+002, 0.0000000E+000, 1.0000000E-002
 5.8501000E+002, 6.5654100E+002, 0.0000000E+000, 1.0000000E-002
 5.9001000E+002, 6.5654113E+002, 0.0000000E+000, 1.0000000E-002
 5.9501000E+002, 6.5654131E+002, 0.0000000E+000, 1.0000000E-002
 6.0001000E+002, 6.5654127E+002, 0.0000000E+000, 1.0000000E-002
 6.0501000E+002, 6.5654135E+002, 0.0000000E+000, 1.0000000E-002
 6.1001000E+002, 6.5654137E+002, 0.0000000E+000, 1.0000000E-002
 6.1501000E+002, 6.5654126E+002, 0.0000000E+000, 1.0000000E-002
 6.2001000E+002, 6.5654118E+002, 0.0000000E+000, 1.0000000E-002
 6.2501000E+002, 6.5654123E+002, 0.0000000E+000, 1.0000000E-002
 6.3001000E+002, 6.5654122E+002, 0.0000000E+000, 1.0000000E-002
 6.3501000E+002, 6.5654120E+002, 0.0000000E+000, 1.0000000E-002
 6.4001000E+002, 6.5654120E+002, 0.0000000E+000, 1.0000000E-002
 6.4501000E+002, 6.5654128E+002, 0.0000000E+000, 1.0000000E-002
 6.5001000E+002, 6.5654132E+002, 0.0000000E+000, 1.0000000E-002
 6.5501000E+002, 6.5654137E+002, 0.0000000E+000, 1.0000000E-002
 6.6001000E+002, 6.5654131E+002, 0.0000000E+000, 1.0000000E-002
 6.6501000E+002, 6.5654129E+002, 0.0000000E+000, 1.0000000E-002
 6.7001000E+002, 6.5654121E+002, 0.0000000E+000, 1.0000000E-002
 6.7501000E+002, 6.5654122E+002, 0.0000000E+000, 1.0000000E-002
 6.8001000E+002, 6.5654126E+002, 0.0000000E+000, 1.0000000E-002
 6.8501000E+002, 6.5654125E+002, 0.0000000E+000, 1.0000000E-002
 6.9001000E+002, 6.5654123E+002, 0.0000000E+000, 1.0000000E-002
 6.9501000E+002, 6.5654117E+002, 0.0000000E+000, 1.0000000E-002
 7.0001000E+002, 6.5654116E+002, 0.0000000E+000, 1.0000000E-002
 7.0501000E+002, 6.5654123E+002, 0.0000000E+000, 1.0000000E-002
 7.1001000E+002, 6.5654122E+002, 0.0000000E+000, 1.0000000E-002
 7.1501000E+002, 6.5654116E+002, 0.0000000E+000, 1.0000000E-002
 7.2001000E+002, 6.5654121E+002, 0.0000000E+000, 1.0000000E-002
 7.2501000E+002, 6.5654134E+002, 0.0000000E+000, 1.0000000E-002
 7.3001000E+002, 6.5654126E+002, 0.0000000E+000, 1.0000000E-002
 7.3501000E+002, 6.5654122E+002, 0.0000000E+000, 1.0000000E-002
 7.4001000E+002, 6.5654129E+002, 0.0000000E+000, 1.0000000E-002
 7.4501000E+002, 6.5654138E+002, 0.0000000E+000, 1.0000000E-002
 7.5001000E+002, 6.5654118E+002, 0.0000000E+000, 1.0000000E-002
 7.5501000E+002, 6.5654112E+002, 0.0000000E+000, 1.0000000E-002
 7.6001000E+002, 6.5654122E+002, 0.0000000E+000, 1.0000000E-002
 7.6501000E+002, 6.5654128E+002, 0.0000000E+000, 1.0000000E-002
 7.7001000E+002, 6.5654134E+002, 0.0000000E+000, 1.0000000E-002
 7.7501000E+002, 6.5654140E+002, 0.0000000E+000, 1.0000000E-002
 7.8001000E+002, 6.5654137E+002, 0.0000000E+000, 1.0000000E-002
 7.8501000E+002, 6.5654135E+002, 0.0000000E+000, 1.0000000E-002
 7.9001000E+002, 6.5654126E+002, 0.0000000E+000, 1.0000000E-002
 7.9501000E+002, 6.5654123E+002, 0.0000000E+000, 1.0000000E-002
 8.0000000E+002, 6.5654118E+002, 0.0000000E+000, 1.0000000E-002
