s,kW,C,kg/s,m,kW/m2
Time,HRR,temp,MLR,thick,flux
 0.000E+000, 0.000E+000, 2.000E+001, 0.000E+000, 1.900E-002,-4.813E-011
 2.010E+000, 0.000E+000, 4.322E+001, 0.000E+000, 1.900E-002, 5.003E+001
 4.019E+000, 0.000E+000, 7.533E+001, 3.583E-018, 1.900E-002, 5.011E+001
 6.006E+000, 0.000E+000, 9.836E+001, 2.374E-016, 1.900E-002, 5.018E+001
 8.005E+000, 0.000E+000, 1.172E+002, 5.461E-015, 1.900E-002, 5.023E+001
 1.000E+001, 0.000E+000, 1.336E+002, 6.805E-014, 1.900E-002, 5.028E+001
 1.201E+001, 0.000E+000, 1.481E+002, 5.599E-013, 1.900E-002, 5.032E+001
 1.401E+001, 1.373E-008, 1.613E+002, 3.377E-012, 1.900E-002, 5.036E+001
 1.601E+001, 2.364E-007, 1.734E+002, 1.608E-011, 1.900E-002, 5.040E+001
 1.801E+001, 1.126E-006, 1.846E+002, 6.364E-011, 1.900E-002, 5.043E+001
 2.000E+001, 4.033E-006, 1.951E+002, 2.178E-010, 1.900E-002, 5.046E+001
 2.201E+001, 1.250E-005, 2.049E+002, 6.640E-010, 1.900E-002, 5.049E+001
 2.400E+001, 3.472E-005, 2.143E+002, 1.831E-009, 1.900E-002, 5.051E+001
 2.601E+001, 8.854E-005, 2.231E+002, 4.652E-009, 1.900E-002, 5.054E+001
 2.801E+001, 2.108E-004, 2.317E+002, 1.105E-008, 1.900E-002, 5.057E+001
 3.000E+001, 4.714E-004, 2.399E+002, 2.467E-008, 1.900E-002, 5.059E+001
 3.201E+001, 1.002E-003, 2.478E+002, 5.236E-008, 1.900E-002, 5.062E+001
 3.401E+001, 2.036E-003, 2.555E+002, 1.062E-007, 1.900E-002, 5.064E+001
 3.600E+001, 3.973E-003, 2.629E+002, 2.071E-007, 1.900E-002, 5.066E+001
 3.801E+001, 7.500E-003, 2.701E+002, 3.906E-007, 1.900E-002, 5.069E+001
 4.001E+001, 1.371E-002, 2.772E+002, 7.137E-007, 1.900E-002, 5.071E+001
 4.201E+001, 2.436E-002, 2.841E+002, 1.267E-006, 1.900E-002, 5.074E+001
 4.400E+001, 4.219E-002, 2.908E+002, 2.193E-006, 1.900E-002, 5.077E+001
 4.601E+001, 7.145E-002, 2.974E+002, 3.712E-006, 1.900E-002, 5.079E+001
 4.801E+001, 1.186E-001, 3.039E+002, 6.155E-006, 1.900E-002, 5.083E+001
 5.000E+001, 1.927E-001, 3.103E+002, 1.000E-005, 1.900E-002, 5.088E+001
 5.200E+001, 3.079E-001, 3.166E+002, 1.597E-005, 1.900E-002, 5.093E+001
 5.400E+001, 4.846E-001, 3.228E+002, 2.513E-005, 1.900E-002, 5.102E+001
 5.600E+001, 7.521E-001, 3.291E+002, 3.899E-005, 1.900E-002, 5.113E+001
 5.801E+001, 1.153E+000, 3.353E+002, 5.973E-005, 1.900E-002, 5.132E+001
 6.001E+001, 1.747E+000, 3.415E+002, 9.050E-005, 1.900E-002, 5.162E+001
 6.201E+001, 2.620E+000, 3.478E+002, 1.357E-004, 1.900E-002, 5.197E+001
 6.400E+001, 3.896E+000, 3.542E+002, 2.016E-004, 1.900E-002, 5.263E+001
 6.601E+001, 5.765E+000, 3.608E+002, 2.984E-004, 1.900E-002, 5.330E+001
 6.800E+001, 8.515E+000, 3.679E+002, 4.405E-004, 1.900E-002, 5.478E+001
 7.000E+001, 1.257E+001, 3.760E+002, 6.502E-004, 1.900E-002, 5.710E+001
 7.200E+001, 1.874E+001, 3.861E+002, 9.683E-004, 1.900E-002, 6.197E+001
 7.400E+001, 2.882E+001, 4.003E+002, 1.489E-003, 1.900E-002, 7.067E+001
 7.600E+001, 4.953E+001, 4.227E+002, 2.572E-003, 1.900E-002, 8.938E+001
 7.800E+001, 9.865E+001, 4.438E+002, 5.171E-003, 1.900E-002, 9.406E+001
 8.000E+001, 1.925E+002, 4.560E+002, 1.024E-002, 1.899E-002, 9.224E+001
 8.200E+001, 3.458E+002, 4.645E+002, 1.840E-002, 1.899E-002, 8.942E+001
 8.400E+001, 5.455E+002, 4.758E+002, 2.904E-002, 1.898E-002, 8.686E+001
 8.600E+001, 7.726E+002, 4.956E+002, 4.116E-002, 1.898E-002, 8.698E+001
 8.800E+001, 9.251E+002, 5.359E+002, 4.785E-002, 1.897E-002, 8.653E+001
 9.000E+001, 9.602E+002, 5.577E+002, 5.015E-002, 1.897E-002, 8.862E+001
 9.200E+001, 9.876E+002, 5.686E+002, 5.140E-002, 1.896E-002, 8.924E+001
 9.400E+001, 1.012E+003, 5.764E+002, 5.237E-002, 1.896E-002, 8.852E+001
 9.600E+001, 9.757E+002, 5.914E+002, 4.984E-002, 1.896E-002, 8.766E+001
 9.800E+001, 8.392E+002, 6.153E+002, 4.274E-002, 1.895E-002, 8.879E+001
 1.000E+002, 7.263E+002, 6.332E+002, 3.669E-002, 1.895E-002, 9.009E+001
 1.020E+002, 7.208E+002, 6.351E+002, 3.711E-002, 1.895E-002, 8.780E+001
 1.040E+002, 7.749E+002, 6.452E+002, 4.043E-002, 1.894E-002, 9.027E+001
 1.060E+002, 7.746E+002, 6.440E+002, 3.978E-002, 1.894E-002, 8.785E+001
 1.080E+002, 7.503E+002, 6.506E+002, 3.867E-002, 1.894E-002, 8.811E+001
 1.100E+002, 7.239E+002, 6.616E+002, 3.670E-002, 1.893E-002, 8.969E+001
 1.120E+002, 6.561E+002, 6.686E+002, 3.351E-002, 1.893E-002, 8.905E+001
 1.140E+002, 6.592E+002, 6.730E+002, 3.444E-002, 1.892E-002, 8.697E+001
 1.160E+002, 7.202E+002, 6.776E+002, 3.703E-002, 1.892E-002, 8.809E+001
 1.180E+002, 7.589E+002, 6.827E+002, 3.940E-002, 1.892E-002, 8.849E+001
 1.200E+002, 7.821E+002, 6.846E+002, 4.016E-002, 1.891E-002, 8.769E+001
 1.220E+002, 7.486E+002, 6.918E+002, 3.867E-002, 1.891E-002, 8.980E+001
 1.240E+002, 7.225E+002, 6.954E+002, 3.687E-002, 1.891E-002, 8.947E+001
 1.260E+002, 7.075E+002, 7.019E+002, 3.585E-002, 1.890E-002, 9.048E+001
 1.280E+002, 6.990E+002, 7.066E+002, 3.714E-002, 1.890E-002, 8.965E+001
 1.300E+002, 7.571E+002, 7.063E+002, 3.891E-002, 1.889E-002, 8.837E+001
 1.320E+002, 7.821E+002, 7.128E+002, 4.004E-002, 1.889E-002, 9.073E+001
 1.340E+002, 7.783E+002, 7.132E+002, 4.019E-002, 1.889E-002, 8.840E+001
 1.360E+002, 7.566E+002, 7.154E+002, 3.861E-002, 1.888E-002, 8.924E+001
 1.380E+002, 7.121E+002, 7.169E+002, 3.639E-002, 1.888E-002, 8.924E+001
 1.400E+002, 6.958E+002, 7.297E+002, 3.557E-002, 1.888E-002, 9.292E+001
 1.420E+002, 6.937E+002, 7.282E+002, 3.621E-002, 1.887E-002, 9.097E+001
 1.440E+002, 7.168E+002, 7.294E+002, 3.691E-002, 1.887E-002, 9.008E+001
 1.460E+002, 7.194E+002, 7.262E+002, 3.694E-002, 1.886E-002, 8.786E+001
 1.480E+002, 7.082E+002, 7.251E+002, 3.606E-002, 1.886E-002, 8.780E+001
