s,kW/m2
Time,"HRRPUA"
 0.000E+000, 0.000E+000
 2.000E+000, 0.000E+000
 4.010E+000, 0.000E+000
 6.010E+000, 0.000E+000
 8.010E+000, 0.000E+000
 1.001E+001, 0.000E+000
 1.201E+001, 0.000E+000
 1.401E+001, 0.000E+000
 1.601E+001, 0.000E+000
 1.800E+001, 0.000E+000
 2.000E+001, 0.000E+000
 2.200E+001, 0.000E+000
 2.400E+001, 2.849E-016
 2.600E+001, 4.842E-015
 2.800E+001, 4.131E-014
 3.000E+001, 2.912E-013
 3.200E+001, 1.768E-012
 3.400E+001, 9.430E-012
 3.600E+001, 4.487E-011
 3.800E+001, 1.931E-010
 4.000E+001, 7.592E-010
 4.200E+001, 2.756E-009
 4.401E+001, 9.339E-009
 4.601E+001, 2.962E-008
 4.801E+001, 8.832E-008
 5.001E+001, 2.496E-007
 5.201E+001, 6.714E-007
 5.401E+001, 1.726E-006
 5.601E+001, 4.257E-006
 5.801E+001, 1.010E-005
 6.001E+001, 2.311E-005
 6.201E+001, 5.114E-005
 6.401E+001, 1.097E-004
 6.601E+001, 2.285E-004
 6.801E+001, 4.628E-004
 7.001E+001, 9.135E-004
 7.201E+001, 1.759E-003
 7.400E+001, 3.305E-003
 7.600E+001, 6.074E-003
 7.800E+001, 1.095E-002
 8.000E+001, 1.935E-002
 8.200E+001, 3.356E-002
 8.400E+001, 5.719E-002
 8.600E+001, 9.582E-002
 8.800E+001, 1.580E-001
 9.000E+001, 2.569E-001
 9.200E+001, 4.120E-001
 9.400E+001, 6.530E-001
 9.600E+001, 1.024E+000
 9.800E+001, 1.594E+000
 1.000E+002, 2.463E+000
 1.020E+002, 3.790E+000
 1.040E+002, 5.807E+000
 1.060E+002, 8.837E+000
 1.080E+002, 1.326E+001
 1.100E+002, 1.930E+001
 1.120E+002, 5.772E+001
 1.140E+002, 1.621E+002
 1.160E+002, 2.148E+002
 1.180E+002, 2.342E+002
 1.200E+002, 2.376E+002
 1.220E+002, 2.343E+002
 1.240E+002, 2.312E+002
 1.260E+002, 2.293E+002
 1.280E+002, 2.284E+002
 1.300E+002, 2.281E+002
 1.320E+002, 2.283E+002
 1.340E+002, 2.290E+002
 1.360E+002, 2.301E+002
 1.380E+002, 2.315E+002
 1.400E+002, 2.332E+002
 1.420E+002, 2.352E+002
 1.440E+002, 2.375E+002
 1.460E+002, 2.400E+002
 1.480E+002, 2.427E+002
 1.500E+002, 2.455E+002
 1.520E+002, 2.485E+002
 1.540E+002, 2.516E+002
 1.560E+002, 2.549E+002
 1.580E+002, 2.582E+002
 1.600E+002, 2.615E+002
 1.620E+002, 2.649E+002
 1.640E+002, 2.683E+002
 1.660E+002, 2.717E+002
 1.680E+002, 2.750E+002
 1.700E+002, 2.783E+002
 1.720E+002, 2.814E+002
 1.740E+002, 2.843E+002
 1.760E+002, 2.870E+002
 1.780E+002, 2.895E+002
 1.800E+002, 2.917E+002
 1.820E+002, 2.935E+002
 1.840E+002, 2.950E+002
 1.860E+002, 2.962E+002
 1.880E+002, 2.969E+002
 1.900E+002, 2.973E+002
 1.920E+002, 2.973E+002
 1.940E+002, 2.970E+002
 1.960E+002, 2.963E+002
 1.980E+002, 2.954E+002
 2.000E+002, 2.942E+002
 2.020E+002, 2.928E+002
 2.040E+002, 2.912E+002
 2.060E+002, 2.895E+002
 2.080E+002, 2.877E+002
 2.100E+002, 2.858E+002
 2.120E+002, 2.838E+002
 2.140E+002, 2.818E+002
 2.160E+002, 2.798E+002
 2.180E+002, 2.777E+002
 2.200E+002, 2.756E+002
 2.220E+002, 2.734E+002
 2.240E+002, 2.712E+002
 2.260E+002, 2.690E+002
 2.280E+002, 2.666E+002
 2.300E+002, 2.642E+002
 2.320E+002, 2.617E+002
 2.340E+002, 2.589E+002
 2.360E+002, 2.560E+002
 2.380E+002, 2.527E+002
 2.400E+002, 2.489E+002
 2.420E+002, 2.444E+002
 2.440E+002, 2.386E+002
 2.460E+002, 2.308E+002
 2.480E+002, 2.185E+002
 2.500E+002, 1.954E+002
 2.520E+002, 1.414E+002
 2.540E+002, 9.404E+001
 2.560E+002, 9.931E+001
 2.580E+002, 1.040E+002
 2.600E+002, 1.064E+002
 2.620E+002, 1.071E+002
 2.640E+002, 1.068E+002
 2.660E+002, 1.056E+002
 2.680E+002, 1.039E+002
 2.700E+002, 1.018E+002
 2.720E+002, 9.948E+001
 2.740E+002, 9.696E+001
 2.760E+002, 9.434E+001
 2.780E+002, 9.168E+001
 2.800E+002, 8.902E+001
 2.820E+002, 8.638E+001
 2.840E+002, 8.380E+001
 2.860E+002, 8.128E+001
 2.880E+002, 7.885E+001
 2.900E+002, 7.649E+001
 2.920E+002, 7.423E+001
 2.940E+002, 7.205E+001
 2.960E+002, 6.997E+001
 2.980E+002, 6.797E+001
 3.000E+002, 6.606E+001
 3.020E+002, 6.424E+001
 3.040E+002, 6.250E+001
 3.060E+002, 6.084E+001
 3.080E+002, 5.926E+001
 3.100E+002, 5.775E+001
 3.120E+002, 5.631E+001
 3.140E+002, 5.493E+001
 3.160E+002, 5.362E+001
 3.180E+002, 5.237E+001
 3.200E+002, 5.118E+001
 3.220E+002, 5.005E+001
 3.240E+002, 4.896E+001
 3.260E+002, 4.793E+001
 3.280E+002, 4.694E+001
 3.300E+002, 4.600E+001
 3.320E+002, 4.509E+001
 3.340E+002, 4.423E+001
 3.360E+002, 4.341E+001
 3.380E+002, 4.263E+001
 3.400E+002, 4.188E+001
 3.420E+002, 4.116E+001
 3.440E+002, 4.048E+001
 3.460E+002, 3.982E+001
 3.480E+002, 3.919E+001
 3.500E+002, 3.859E+001
 3.520E+002, 3.802E+001
 3.540E+002, 3.747E+001
 3.560E+002, 3.694E+001
 3.580E+002, 3.644E+001
 3.600E+002, 3.595E+001
 3.620E+002, 3.549E+001
 3.640E+002, 3.504E+001
 3.660E+002, 3.462E+001
 3.680E+002, 3.421E+001
 3.700E+002, 3.382E+001
 3.720E+002, 3.344E+001
 3.740E+002, 3.308E+001
 3.760E+002, 3.273E+001
 3.780E+002, 3.239E+001
 3.800E+002, 3.207E+001
 3.820E+002, 3.176E+001
 3.840E+002, 3.147E+001
 3.860E+002, 3.118E+001
 3.880E+002, 3.091E+001
 3.900E+002, 3.064E+001
 3.920E+002, 3.039E+001
 3.940E+002, 3.014E+001
 3.960E+002, 2.990E+001
 3.980E+002, 2.968E+001
 4.000E+002, 2.946E+001
 4.020E+002, 2.924E+001
 4.040E+002, 2.904E+001
 4.060E+002, 2.884E+001
 4.080E+002, 2.865E+001
 4.100E+002, 2.846E+001
 4.120E+002, 2.829E+001
 4.140E+002, 2.811E+001
 4.160E+002, 2.795E+001
 4.180E+002, 2.778E+001
 4.200E+002, 2.763E+001
 4.220E+002, 2.748E+001
 4.240E+002, 2.733E+001
 4.260E+002, 2.719E+001
 4.280E+002, 2.705E+001
 4.300E+002, 2.692E+001
 4.320E+002, 2.679E+001
 4.340E+002, 2.667E+001
 4.360E+002, 2.655E+001
 4.380E+002, 2.643E+001
 4.400E+002, 2.631E+001
 4.420E+002, 2.620E+001
 4.440E+002, 2.609E+001
 4.460E+002, 2.599E+001
 4.480E+002, 2.588E+001
 4.500E+002, 2.578E+001
 4.520E+002, 2.569E+001
 4.540E+002, 2.559E+001
 4.560E+002, 2.550E+001
 4.580E+002, 2.541E+001
 4.600E+002, 2.532E+001
 4.620E+002, 2.523E+001
 4.640E+002, 2.515E+001
 4.660E+002, 2.507E+001
 4.680E+002, 2.499E+001
 4.700E+002, 2.491E+001
 4.720E+002, 2.483E+001
 4.740E+002, 2.476E+001
 4.760E+002, 2.468E+001
 4.780E+002, 2.461E+001
 4.800E+002, 2.454E+001
 4.820E+002, 2.447E+001
 4.840E+002, 2.441E+001
 4.860E+002, 2.434E+001
 4.880E+002, 2.428E+001
 4.900E+002, 2.421E+001
 4.920E+002, 2.415E+001
 4.940E+002, 2.409E+001
 4.960E+002, 2.403E+001
 4.980E+002, 2.397E+001
 5.000E+002, 2.391E+001
 5.020E+002, 2.386E+001
 5.040E+002, 2.380E+001
 5.060E+002, 2.375E+001
 5.080E+002, 2.369E+001
 5.100E+002, 2.364E+001
 5.120E+002, 2.359E+001
 5.140E+002, 2.354E+001
 5.160E+002, 2.349E+001
 5.180E+002, 2.344E+001
 5.200E+002, 2.339E+001
 5.220E+002, 2.334E+001
 5.240E+002, 2.330E+001
 5.260E+002, 2.325E+001
 5.280E+002, 2.321E+001
 5.300E+002, 2.316E+001
 5.320E+002, 2.312E+001
 5.340E+002, 2.307E+001
 5.360E+002, 2.303E+001
 5.380E+002, 2.298E+001
 5.400E+002, 2.294E+001
 5.420E+002, 2.290E+001
 5.440E+002, 2.286E+001
 5.460E+002, 2.282E+001
 5.480E+002, 2.278E+001
 5.500E+002, 2.274E+001
 5.520E+002, 2.270E+001
 5.540E+002, 2.266E+001
 5.560E+002, 2.262E+001
 5.580E+002, 2.258E+001
 5.600E+002, 2.255E+001
 5.620E+002, 2.251E+001
 5.640E+002, 2.247E+001
 5.660E+002, 2.243E+001
 5.680E+002, 2.240E+001
 5.700E+002, 2.236E+001
 5.720E+002, 2.233E+001
 5.740E+002, 2.229E+001
 5.760E+002, 2.226E+001
 5.780E+002, 2.222E+001
 5.800E+002, 2.219E+001
 5.820E+002, 2.216E+001
 5.840E+002, 2.213E+001
 5.860E+002, 2.209E+001
 5.880E+002, 2.206E+001
 5.900E+002, 2.203E+001
 5.920E+002, 2.200E+001
 5.940E+002, 2.197E+001
 5.960E+002, 2.193E+001
 5.980E+002, 2.190E+001
 6.000E+002, 2.187E+001
