s,C,kg/m2/s,m
Time,"temp","MLR","thick"
 0.0000000E+000, 2.0000000E+001, 0.0000000E+000, 3.2134300E-002
 5.0100000E+000, 7.6087280E+001, 9.2567441E-029, 3.2134300E-002
 1.0010000E+001, 1.4316821E+002, 3.8826788E-012, 3.2134300E-002
 1.5010000E+001, 1.6986269E+002, 3.0371421E-009, 3.2134300E-002
 2.0000000E+001, 1.9799272E+002, 7.7978032E-008, 3.2134300E-002
 2.5000000E+001, 2.2359933E+002, 7.3781590E-007, 3.2134299E-002
 3.0000000E+001, 2.4718865E+002, 3.5668149E-006, 3.2134292E-002
 3.5000000E+001, 2.7069939E+002, 1.7126972E-005, 3.2134261E-002
 4.0000000E+001, 2.8885213E+002, 5.3987428E-005, 3.2134149E-002
 4.5010000E+001, 3.0729875E+002, 1.5521137E-004, 3.2133800E-002
 5.0010000E+001, 3.2227376E+002, 3.6310193E-004, 3.2132942E-002
 5.5010000E+001, 3.3609612E+002, 7.5034821E-004, 3.2131027E-002
 6.0010000E+001, 3.4698906E+002, 1.3306734E-003, 3.2127459E-002
 6.5010000E+001, 3.5618086E+002, 2.1134590E-003, 3.2121427E-002
 7.0010000E+001, 3.6273170E+002, 2.9549984E-003, 3.2112576E-002
 7.5000000E+001, 3.6806205E+002, 3.8702330E-003, 3.2100585E-002
 8.0000000E+001, 3.7163755E+002, 4.6495693E-003, 3.2085630E-002
 8.5000000E+001, 3.7460966E+002, 5.4377268E-003, 3.2067924E-002
 9.0000000E+001, 3.7679784E+002, 6.0925183E-003, 3.2047639E-002
 9.5000000E+001, 3.7846848E+002, 6.6748585E-003, 3.2025249E-002
 1.0000000E+002, 3.7998090E+002, 7.2449043E-003, 3.2000798E-002
 1.0500000E+002, 3.8110239E+002, 7.6997513E-003, 3.1974554E-002
 1.1000000E+002, 3.8210031E+002, 8.1489946E-003, 3.1946757E-002
 1.1500000E+002, 3.8300985E+002, 8.5708793E-003, 3.1917398E-002
